class,text
2,What is the acronym for the National Bureau of Investigation ?
2,What is acronym for the National Bureau of Investigation ?
4,What city 's theatrical district has been dubbed The Roaring Forties ?
4,What 's theatrical district has been dubbed The Roaring Forties ?
4,Where is Logan Airport ?
4,Where Logan Airport ?
1,What does the method called `` cold fusion '' create ?
1,What does method called `` cold fusion '' create ?
3,Who does the advertizing for Frito-Lay ?
3,Who does advertizing for Frito-Lay ?
2,What is the acronym for the National Bureau of Investigation ?
2,What is the acronym for National Bureau of Investigation ?
5,How many gallons of water go over Niagra Falls every second ?
5,How many gallons of go over Niagra Falls every second ?
5,When was the first Wall Street Journal published ?
5,When the first Wall Street Journal published ?
5,How long does the average domesticated ferret live ?
5,How does the average domesticated ferret live ?
1,What money was used here ?
1,What money used here ?
0,Why shouldn 't you remove a bee stinger with tweezers ?
0,Why 't you remove a bee stinger with tweezers ?
2,What is the abbreviation for micro ?
2,What is abbreviation for micro ?
5,What year was Janet Jackson 's first album released ?
5,What year Janet Jackson 's first album released ?
3,"What cigarette company urged us , `` Come to where the flavor is ? ''"
3,"What cigarette company urged , `` Come to where the flavor is ? ''"
5,How many e-commerce companies are started every day ?
5,How many e-commerce are started every day ?
0,How do you handle a hungry man ?
0,How do you a hungry man ?
1,What kind of creatures are the Canary Islands named for ?
1,What kind creatures are the Canary Islands named for ?
4,What continent pushes up the Executive Committee mountain range ?
4,What continent pushes the Executive Committee mountain range ?
0,What made the short-lived Star Hawks strip so unique ?
0,What made the Star Hawks strip so unique ?
3,Who played the original Charlie 's Angels ?
3,Who played the Charlie 's Angels ?
5,When does the Bible say the seasons started ?
5,When does Bible say the seasons started ?
2,What is the abbreviation for micro ?
2,What is abbreviation for micro ?
1,"In Hemingway 's `` Old Man and the Sea , '' what kind of fish does the old man catch ?"
1,"Hemingway 's `` Old Man and the Sea , '' what kind of fish does the old man catch ?"
2,What does snafu stand for ?
2,What does snafu for ?
4,What erupts every hour at Yellowstone National Park ?
4,What erupts every hour Yellowstone National Park ?
2,What does A&W of root beer fame stand for ?
2,What does A&W of beer fame stand for ?
0,How do birds find their way back to the same place every year ?
0,How do birds find their way back the same place every year ?
0,How did people respond to the idea of the first millenium ?
0,How did people respond to the idea of first millenium ?
4,"Where on the Web is Adventours Tours from Sydney , Australia ?"
4,"Where on the Web Adventours Tours from Sydney , Australia ?"
0,What is the circumorbital hematoma ?
0,What is circumorbital hematoma ?
1,What terror of the sea did Johnny Horton sing about ?
1,What terror of sea did Johnny Horton sing about ?
2,What 's the abbreviation for trinitrotoluene ?
2,What ' the abbreviation for trinitrotoluene ?
4,What state full of milk and honey was the destination in The Grapes of Wrath ?
4,What state full milk and honey was the destination in The Grapes of Wrath ?
2,What does the abbreviation cwt. ?
2,What does abbreviation cwt. ?
4,What state has the longest Great Lakes shoreline ?
4,What state has longest Great Lakes shoreline ?
4,"Where was helium first discovered , hence its name ?"
4,"Where helium first discovered , hence its name ?"
5,How many consecutive baseball games did Lou Gehrig play ?
5,How consecutive baseball games did Lou Gehrig play ?
0,"What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?"
0,"What Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?"
0,What 's the motto of the Boy Scouts ?
0,'s the motto of the Boy Scouts ?
0,What is June 's birthstone ?
0,What June 's birthstone ?
5,How long does the average domesticated ferret live ?
5,How does the average domesticated ferret live ?
1,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?
1,What instrument did Prewitt play in James Jones 's From Here to Eternity ?
1,Which two products use a tiger as their symbol ?
1,Which products use a tiger as their symbol ?
2,What is the abbreviation of General Motors ?
2,What is abbreviation of General Motors ?
3,Who was the Charlie perfume woman ?
3,Who the Charlie perfume woman ?
1,What type of currency is used in China ?
1,What of currency is used in China ?
