class,text
1,"For a sleeker, smaller and more ""average"" MP3 player the Nitrus is great but the iPod blows it out of the water - the interface is great and the design is wonderful."
1,"During a sleeker, smaller and more ""average"" MP3 player the Nitrus is great but the iPod blows it out of the water - the interface is great and the designed is splendid."
0,i called apex 's support number numerous times but it just kept ringing . 
0,i called apex 's helping number numerous times but it just kept ringing . 
0, The customer support is very rude .
0, The clientele support is very rude .
1,What makes it so great is the versatility and the number of features it has.
1,What makes it so fantastic is the versatility and the number of features it has.
0,This is not an enterprise piece of hardware that you will find in an office or corporate environment. 
0,This is not an corporation piece of hardware that you will find in an office or corporate environment. 
1,"On the contrary, I'm quite pleased with my upgrade."
1,i highly recommend this camera to anybody looking for a compact camera that can take good quality pictures. 
1,i eminently recommend this camera to anybody looking for a compact camera that can take good quality pictures. 
1,"On the contrary, I'm quite pleased with my freshen."
1,I think it's great.
1,I think it's huge.
1,"  Apple has definately fulfilled its reputation in making quality equipment, and surprisingly wasn't as expensive as its reputation normally holds.  "
1,"  Apple has definately fulfilled its reputation in making quality accoutrements, and remarkably wasn't as expensive as its reputation normally holds.  "
1,The accesories that come with the player are great. 
1,The accesories that come with the player are marvellous. 
1,The Zen offered a great alternative. 
1,The Zen offered a huge alternative. 
0,"little to no networking experience, just in case the automatic CD method has issues.  "
0,"little to no networking experience, just in case the automatic CD mode has issues.  "
0," There isn't much features on the iPod at all, except games."
0," There isn't much characters on the iPod at all, except games."
0,"also , the carrying case that came with mine covers up the display , so even though the side controls are reachable , i have to open it up to see the display . "
0,"also , the carrying case that came with mine covers up the exposition , so even though the side controls are reachable , i have to open it up to consults the displayed . "
0,my only significant complaint is sound quality . 
0,my only momentous complaint is sound quality . 
1,"the nokia 6610 is a relatively new phone , and what a great phone it is . "
0,"After 10 years, I now downloaded McCaffee's product after calling their support....they answered quickly, and for free, and were very helpful."
0,"After 10 ages, I now downloaded McCaffee's product after calling their support....they answered quick, and for free, and were very helpful."
1,"the nokia 6610 is a relatively new phone , and what a awesome phone it is . "
1,"with canon , you get pictures that appear to be photos , not still camcorder shots . "
1,"with canon , you get pictures that appear to be photographed , not still camcorder shots . "
1,"Very good ""every day"" camera. Fits nicely in the pocket of my jeans and takes quality photos."
1,"Very good ""every day"" camera. Fits nicely in the pocket of my jeans and takes quality picture."
1,"  Apple has definately fulfilled its reputation in making quality equipment, and surprisingly wasn't as expensive as its reputation normally holds.  "
1,"  Apple has definately fulfilled its renown in making quality equipment, and weirdly wasn't as expensive as its reputation normally holds.  "
1,This is a MUST HAVE product for all new moms!
1,This is a MUST HAVE product for all new mam!
1,"you can create playlists , drag & drop songs and playlists to your player , and rip directly from cd to your player . "
1,"you can create playlists , drag & drop melodies and playlists to your player , and tear directly from cd to your player . "
0,"I thought given all the ""10"" reviews about this camera that I would buy it in spite of being a bit pricey. "
1,It makes the Nomad I purchase feel and look like junk.  
1,It makes the Nomad I buy feel and look like junk.  
0,"I ideas given all the ""10"" reviews about this camera that I would bought it in spite of being a bit pricey. "
0,Video recording is limited at just 9 seconds.
0,"also , the carrying case that came with mine covers up the display , so even though the side controls are reachable , i have to open it up to see the display . "
0,"also , the carrying case that came with mine covers up the display , so even though the side controls are approachable , i have to opened it up to see the exposition . "
0,Video recording is limited at just 9 second.
0,will never purchase apex again . 
0,will never buy apex again . 
1,the phones are awesome . 
1,the phones are extraordinary . 
0,what the hell is wrong with this thing . 
0,what the dammit is wrong with this thing . 
0," However , since I am in an office , I normally keep them at a pretty low volume , and at low volumes , they sound a little weak ."
0," However , since I am in an office , I habitually keep them at a pretty low volume , and at low volumes , they sound a little puny ."
1, The moons speakers actually are really reach in the bass tones .
1,the g3 looks like a work of art ! 
1,the g3 looks like a collaborating of art ! 
1,the zen has minimal stoppage between tracks ; when listening to music that continues from one track to the next the gap is just a hesitation - a slightly audible click ; if i am not listening for the progress from one track to the next i do n't even notice the click . 
1,the zen has minimal judgment between track ; when listening to music that persist from one track to the next the gaps is just a hesitation - a slightly audible click ; if i am not listening for the progress from one track to the next i do n't even noticing the click . 
0,"Again, every review written about the Tech Line is true...after waiting close to 45 minutes I finally spoke to a rep."
0,"Again, all review written about the Tech Line is true...after waiting shutting to 45 minutes I finally spoke to a rep."
1,NIS 2003 worked like a charm last year.
1,NIS 2003 collaborating like a charm last year.
1, Excellent monitor .
1, Glorious monitor .
0,"The headphone jack gave out after only a couple weeks of use, and the stock earbuds were replaced same day with some high end sony's I'd been having. "
0,"The headphone jack gave out after only a couple weeks of utilised, and the stock earbuds were replaced same day with some high terminates sony's I'd been having. "
0,"2 ) having unfilled id3 tags will cause music to be potentially placed in a folder called "" unknown . "" "
0,"2 ) having unfilled id3 tags will cause music to be potentially placed in a folder called "" unfamiliar . "" "
0," I tried to use these with my laptop -LRB- Dell Inspiron 1720 -RRB- but could n't get rid of the buzzing noise others have mentioned , no matter how far I moved them from the computer or where I plugged them in ."
0," I attempts to use these with my moveable -LRB- Dell Inspiron 1720 -RRB- but could n't get rid of the buzzing noise others have mention , no matter how far I moved them from the computers or where I plugged them in ."
0," Hooked up to the D-Link extreme N , connected speed dropped to 18mbps and wireless down to 8mbps ."
0," Hooked up to the D-Link extreme N , connected quickens dropped to 18mbps and wireless down to 8mbps ."
0,the included earbuds were uncomfortable . 
0,the included earbuds were embarrassing . 
1,"From the Internet, woodworking books, local stores and personal opinions the Hitachi M12V 3-1/4 HP router time and time again came up to be the router of choice or best for its price."
1,"From the Internet, woodworking book, local boutiques and personal opinions the Hitachi M12V 3-1/4 HP router time and time again came up to be the router of choosing or best for its price."
1,"Whichever it may be, I'm happy I've made this purchase.  "
1,"Whichever it may be, I'm happy I've effected this purchase.  "
1,"the software runs smooth , it 's nice to look at , it 's very organized , easy to follow and makes things very simple . "
1,"the software runs smooth , it 's nice to look at , it 's very organising , simpler to follow and makes things very simple . "
0," The router has obviously problems with static IP addresses , firewalls and numerous other programs ."
0," The router has definitely problems with static IP addresses , firewalls and numerous other programs ."
0,seems it is always difficult to press to make a selection . 
0,seems it is always difficult to press to make a choose . 
0,"First of all, I've never been big on earbuds - they're just not that comfortable."
0,"First of all, I've never been grande on earbuds - they're just not that comfortable."
0,"But, sometimes, if the Champ is too full, the flip handle won't function."
0,"But, sometime, if the Champ is too full, the flip handle won't function."
1, The satellite speakers actually are really reach in the bass tones .
1,"Whichever it may be, I'm happy I've made this purchase.  "
1,"Whichever it may be, I'm contented I've made this purchase.  "
0,"well , within 45 days the video output quit working ( both rca & optic ) . "
0,"good , within 45 days the video output quit working ( both rca & optic ) . "
1,- Replaceable battery. 
1,- Replaceable batteries. 
0,"the setup process for the nomad is infuriating , and the interface with the player is sub-par . "
0,"their network coverage is very sporadic , and the network always seems overloaded , resulting in very unpleasant calling experience . "
0,"their network coverage is very sporadic , and the network always looks overloaded , resulting in very unpleasant calling experience . "
0,"the setup process for the nomad is annoying , and the interface with the player is sub-par . "
1,"for instance , i made several back-ups of my dvd movies using dvd-r ( w ) and + r ( w ) and it plays the dvds . "
1,"for instance , i effected myriad back-ups of my dvd movies using dvd-r ( w ) and + r ( w ) and it plays the dvds . "
1,"These tasks are faster and easier than in prior versions, and I found the menu to be much more navigable."
1,"These mission are speedily and easier than in prior versions, and I found the menu to be much more navigable."
