class,text
11, Patients were followed up for an average of 16 months after the operation.
11, Patients were followed up for an average of 15 months after the operation.
11, Patients were followed up for an average of 16 months after the operation.
11, Patients were followed up for an average of 22 months after the operation.
11, Patients were followed up for an average of 7 months after the operation.
11," The mass enlarged slightly over 3 months and a biopsy revealed histiocytes and Touton giant cells, compatible with juvenile xanthogranuloma."
11," The mass enlarged slightly over 1 months and a biopsy revealed histiocytes and Touton giant cells, compatible with juvenile xanthogranuloma."
23," Clearly, there is much to be learned about the relationship between biochemical abnormalities and the phenotypic variability of the peroxisomal disorders."
23," Clearly, there is much to be learned about the relationship between biochemical abnormalities and the phenotypic variability of the peroxisomal disorders."
23," Clearly, there's much to be learned about the relationship between biochemical abnormalities and the phenotypic variability of the peroxisomal disorders."
10,Acute twin-twin transfusion: a possible mechanism for brain-damaged survivors after intrauterine death of a monochorionic twin.
10,Acute twin-twin transfusion: a possible mechanism for brain-damaged survivors after intrauterine death of a monochorionic twin.
18," Women with low 25OHD had a reduced vertebral bone density (VBD), assessed by quantitative computed tomography, compared to age-matched controls (P less than 0.001)."
18," Women with low 25OHD had a reduced vertebral bone density (VBD), assessed by quantitative computed tomography, compared to age-matched controls (P less than 0.001)."
18," Women with low 25OHD had a reduced vertebral bone density (VBD), assessed by quantitative computed tomography, compared to age-matched controls (P less than 0.1)."
18," Women with low 25OHD had a reduced vertebral bone density (VBD), assessed by quantitative computed tomography, compared to age-matched controls (P less than 0.2)."
8, The majority were young female patients.
8, The majority were young female patients.
3,The effect of N-alkyl modification on the antimalarial activity of 3-hydroxypyridin-4-one oral iron chelators.
3,The effect of N-alkyl modification on the antimalarial activity of 3-hydroxypyridin-4-one oral iron chelators.
3,The effect of N-alkyl modification on the antimalarial activity of one oral iron chelators.
3,The effect of N-alkyl modification on the antimalarial activity of two oral iron chelators.
14, Transesophageal echocardiography revealed a potential cardiac source of embolism in 41% (26) of the patients; 27% (seven) of these patients had no clinical cardiovascular abnormalities.
14, Transesophageal echocardiography revealed a potential cardiac source of embolism in 12% (26) of the patients; 39% (seven) of these patients had no clinical cardiovascular abnormalities.
14, Transesophageal echocardiography revealed a potential cardiac source of embolism in 13% (26) of the patients; 27% (eleven) of these patients had no clinical cardiovascular abnormalities.
14, Transesophageal echocardiography revealed a potential cardiac source of embolism in 41% (22) of the patients; 37% (seven) of these patients had no clinical cardiovascular abnormalities.
14, Transesophageal echocardiography revealed a potential cardiac source of embolism in 43% (26) of the patients; 34% (seven) of these patients had no clinical cardiovascular abnormalities.
14," Since angioedema can progress to upper airway obstruction, otolaryngologists must be aware of this association."
14," Since angioedema can progress to upper airway obstruction, otolaryngologists must be aware of this association."
9," We found that the histology of the aural polyp was not a precise predictor of the presence or absence of cholesteatoma, nor of the subsequent course of the middle ear disease."
9," We found that the histology of the aural polyp was not a precise predictor of the presence or absence of cholesteatoma, nor of the subsequent course of the middle ear disease."
9," We found that the histology of the aural polyp wasn't a precise predictor of the presence or absence of cholesteatoma, nor of the subsequent course of the middle ear disease."
23, Beta-adrenergic blockade is of benefit in many of these patients.
23, Beta-adrenergic blockade is of benefit in many of these patients.
14, The only significant metabolized product to be released from labeled fatty acid utilization in either group was 14CO2.
14, The only significant metabolized product to be released from labeled fatty acid utilization in either group was 14CO2.
4,Bronchioloalveolar carcinoma of the lung and congenital cystic adenomatoid malformation.
4,Bronchioloalveolar carcinoma of the lung and congenital cystic adenomatoid malformation.
23, Each step has potential inhibitors that could be used for preventive therapy.
23, Each step has potential inhibitors that could be used for preventive therapy.
2, An overall complete response was observed in 35% of these patients; the figure was significantly higher in those who did not have a visceral localization or opportunistic infections.
2, An overall complete response was observed in 17% of these patients; the figure was significantly higher in those who did not have a visceral localization or opportunistic infections.
