class,text
2,"I got the banana nutella cupcake and love the banana bread-like cupcake. However, the frosting is way too sweet and overpowers the banana flavor of the cupcake. As many reviewers have already mentioned, the cupcake is also over-priced at $3.75 each for the size and the lack of creativity.  With so many desert/snack places in Scottsdale, I am unlikely to come back here."
2,"I got the banana nutella cupcade and love the banana bread-like cupcake. However, the frosting is way too sweet and overpowers the banana flavor of the cuQcake. s many reviewers have already mentioned, the cupacke is also over-priced at $3.75 each for the size and the lack of creativity.  With so manW desert/snack placecs in Scottsdale, I am unlikely to come back here."
2,"I got the banana nutella cupcahe and love the banana bread-like cupcake. However, the frostiwg is way too sweet and overpowers the banaxna lavor of the cupcake. WAs many reviewers have already mentioned, the cupake is also over-priced at $3.75 each for the size and the lack of creativity.  With so many desert/snack places in Scottsdale, I am unlikely to come back here."
2,"I got the banana nutella cupcake and love the banana bread-like cupcake. HoweFver, the frosting is wNay too sweet and voerpowers the banana flavor of the cupcake. As many reviewers have already mentioned, the cupcake is also over-priced at $3.75 each for the size and the lack of creaTivity.  With so many dcsert/suack places in Scottsdale, I am unlikely to come back here."
2,"I ngot the banana nutella cupcake and love the banana bread-like cupcake. However, the frosting is way too sweet and overpowers the banana flavor of the cupcakQ. As mnay reviewres have already mentioned, the cupcake is also over-priced at $3.75 each for the size and the lack of creativity.  With so any desert/snack places in Scottsdale, I am unlkely to come back here."
1,Not worth the money. Food was average and the portion was small for the price I paid.
1,Not worth the money. Food was aSverage and the portion was small for the price I paid.
1,Not worth the money. Food was average and the porJtion was small for the price I paid.
3,"Its three stars because I dont know how to rate it -- I didnt think it was very good at all when I went the other night during their grand opening, but maybe I just dont have a taste for it.  Service was prompt and polite.  The food?  Eh.  I had one of the house specials.  I didnt think it was very special.  I do think the waiter deserves bonus points for talking me into a half order rather than a full order.  The lemon-lime beverage was strong and sweet."
3,"Its three stars because I dont know how to rate it -- I didnt think it was very good at all when I went the other night during their grand opening, but aybe I just dont have a taste for it.  Service was prompt and polite.  The foLod?  Eh.  I had one of the house sbpecials.  I didnt think it was very special.  I do tihnk the waiter deserves bonus points for talking me into a half order rather than a full Porder.  hTe lemon-lime beverge was strong and wseet."
3,"Its three stars because I dont know how to rte it -- I didnt Bthink it was very good at all when I went the other night during their grand opening, but maybe I just dont have a taste for it.  Selrvice was prompt and polite.  The food?  Eh.  I had once of the house specials.  I didnt think it was very special.  I do thnik the waiteJr deserves bonus points for talking me into a half order rathe than a full order.  The lemon-lime everage was strong and sweet."
3,"Its three stasr because I dont know how to rate it -- I didnt think it was very good at all when I went the other night during their lrand opening, but maybe I just dont have a taste for it.  Service was prompt and polipe.  The food?  Eh.  I had one of the house specials.  I didnt think it was very specal.  I do think the waiter deserves bonus points for talking me into a half oeder rather than a fTull order.  The lemon-lidme beverage was strnog and sweet."
3,"Its three stasr because I dont now how to rate it -- I didnt think it was very good at all when I went the other night during their grand opening, but maybe I just dont have a taste for it.  Servce was prompt and polite.  Thge food?  Eh.  I had one of the house specials.  I didnt think it was very special.  I do think the waiter deserves bnous pints for talking me into a lhalf order rather than a full order.  The lemon-lime beverae was strong and sweet."
1,Not worth the money. Food was average and the portion was smaLll for the price I paid.
1,Not worth the money. Food was average and the portion was small for the pricge I paid.
1,"Im very displeased with the service I receive from the Republican party in Arizona.  First, they provide us with John McCain.  Then, Jan Brewer.  Then they crap SB 1070 all over us, which we didnt even vote on.  Ive never received anything but lousy politics from these people."
1,"Im very displeased with the service I receive from the Republcan party in Arizona.  First, they provid us with John McCain.  Then, Jan Brewer.  Then they crVap SB 1070 all over us, which we didnt even vote on.  Ive never received anything but lousy poltiics from these people."
