class,text
0,Ink consumption is little too much.
0,Ink consumption is little much.
1,"Functional (Vibrate & high mode, etc.)"
1,"(Vibrate & high mode, etc.)"
1,very slim. nice design. big screen
1,very slim. design. big screen
0,"spendy, but worth it"
0,", but worth it"
1,"Quality of build, compact, ease of use, big 2&amp;quot; LCD display"
1,"Quality of build, compact, ease of use, big 2&;quot; LCD display"
0,A drop-in charger would be nice.
0,A drop-in charger be nice.
0,"Flash, Pictures, Software, Drivers"
0,", Pictures, Software, Drivers"
0,"Battery life, Slow Message writing, No MMS or GPRS"
0,"Battery life, Slow Message writing, No MMS or "
1,"Smart design, reliable battery life, and clear calls."
1,"Smart design, battery life, and clear calls."
0,None!
0,None!
0,"older, size"
0,"Battery Time, Heat After Long Use, Reception, Screen Picks up Grime"
0,"Battery Time, After Long Use, Reception, Screen Picks up Grime"
0,"display went bad, but they replaced within days"
0,"display bad, but they replaced within days"
1,"Incredible value, black text print quality."
1,"Incredible value, black text quality."
0,"no optical zoom, sometimes get circles"
0,Very pricey
0,Very 
0,Very pricey
0,pricey
0,"no optical zoom, get circles"
0,Baterry life is momentary
0,Baterry is momentary
1,Inexpensive and Reliable
1,Inexpensive Reliable
0,Prohibitively expensive.
0,Prohibitively expensive.
0,Prohibitively.
1,"small size!, convenient and easy usability, reasonable solid performance"
1,"small size!, and easy usability, reasonable solid performance"
1,Nice idea
1,Nice 
1,Nice idea
1,idea
1,"Excellent call quality, bluetooth, clamshell form factor, sexy face plate."
1,"Excellent call quality, bluetooth, clamshell form factor, sexy face."
1,overall beauty
1,beauty
1,"Small Size, BIG Capabilities"
1,"Size, BIG Capabilities"
1,overall beauty
0,slow computer = slow uploading of images 
0,no battery indicator.
0,battery indicator.
0,no battery indicator.
0,no battery.
0,The phone lacks ergonomics and you end up hunting for the controls.
0,The phone lacks ergonomics and end up hunting for the controls.
0,"Loud, Slow To Start Up"
0,Big. Takes up alot of space on my desk though.
0,. Takes up alot of space on my desk though.
0,", Slow To Start Up"
0,"Slow, even on normal print jobs."
0,", even on normal print jobs."
1,Inexpensive and Reliable
0,"Crappy camera, terrible colors and poor speaker volume, does not support MP3s"
0,"Crappy camera, terrible and poor speaker volume, does not support MP3s"
1,and Reliable
1,"Great Prints, Great Color"
1,"Great Prints, Color"
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty light, etc."
1,"whitish backlight color, animated menus, clear sound, cheep price, pretty light, etc."
0,could use more memory
0,could more memory
1,Good picture quality
1,Good picture 
1,Good picture quality
1,Good quality
1,"Superb image quality, no mangenta/blue/red in your pics!Hi sharpness, 8M card to get started."
1,"Superb image quality, mangenta/blue/red in your pics!Hi sharpness, 8M card to get started."
1,"Clear, crisp and realistic color printing"
1,"Clear, crisp and color printing"
1,Priced right for a beginner.
1,Priced for a beginner.
1,"PRICE!, print quality, holds two ink cartridges"
1,"!, print quality, holds two ink cartridges"
0,It whines.
0,It whines.
0,It.
0,No zoom
0,No 
0,No zoom
0,zoom
0,"Features, user friendliness"
0,", user friendliness"
0,"Features, user friendliness"
0,Sliding door opens too often in pocket
0,Must learn all the options! Many! Get extra battery! 
0,Must learn all options! Many! Get extra battery! 
0,"Battery life, no image editing software"
0,"Battery life, image editing software"
1,Absolutely no redeeming qualities about this camera.
1,Absolutely no redeeming about this camera.
1,"Easy to use, good quality images, nice features, good for most people"
1,"Easy to use, good quality images, nice features, for most people"
1,"A speedy printer, basic and economical. "
1,"A speedy printer, and economical. "
1,"Changeable case, Ring tones, Good screen"
1,"Changeable case, Ring tones, Good "
1,"Thin, sexy, bright display, all the bells and whistles"
1,"Thin, sexy, bright display, all bells and whistles"
0,bed
0,bed
0,price
0,Doesn't have anything special other than just a camera phone.
0,Doesn't have anything special other than just a camera.
1,"small, light, long battery, direct-connect"
1,"small, light, battery, direct-connect"
