class,text
4,Where are the headquarters of Eli Lilly ?
4,where are the headquarters of eli lilly ?
4,where are the headquarters of eli lilly ?
3,What author of the Days of Our Lives Cookbook signed on in 198 as Liz Chandler in TV 's Days of Our Lives ?
3,what author of the days of our lives cookbook signed on in 198 as liz chandler in tv ' s days of our lives ?
3,"what author of the , of our lives cookbook signed on in 198 as liz chandler in tv ' s days of our lives ?"
1,What mammal of North America is the world 's longest-lived for its size ?
1,what mammal of north america is the world ' s longest - lived for its size ?
1,what mammal of north america is the world ' s longest - lived for its size ?
3,What female painter produced primitives of rural New England life ?
3,what female painter produced primitives of rural new england life ?
3,what female painter produced primitives of rural new england life ?
2,What does SIDS stand for ?
2,what does sids stand for ?
2,what does sids stand for ?
4,What city is near the mouth of the Amazon ?
4,? city is near the mouth of the amazon ?
4,? city is near the mouth of the amazon ?
2,What does A&W of root beer fame stand for ?
2,what does a & w of root beer fame stand for ?
2,what does a & w of root beer fame stand for ?
0,What is the difference between the Koran and The Bible ?
0,what is the difference between the koran and the bible ?
0,what is the difference between the koran and the bible ?
5,How long does the average domesticated ferret live ?
5,how long does the average domesticated ferret live ?
5,how long does the average domesticated ferret live ?
0,How did people respond to the idea of the first millenium ?
0,how did people respond to the idea of the first millenium ?
0,how did people react to the idea of the first millenium ?
0,Why do they sterilize the needle for lethal injection ?
0,why do they ste reize the needle for lethal injection ?
0,why do they sterilize the needle for lethal injection ?
2,What does SIDS stand for ?
2,what does sids stand for ?
2,what does sids stand for ?
4,What continent pushes up the Executive Committee mountain range ?
4,what continent votes up the executive committee mountain range ?
4,what continent . up the executive committee mountain range ?
2,What does e.g. stand for ?
2,what does e . g . stand for ?
2,what does e . g . stand for ?
4,What United States city produces the most oil ?
4,what united states city produces the most oil ?
4,what united states city produces the most oil ?
0,"What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?"
0,"what do hank aaron , jimmy stewart , and howard k . smith have in common ?"
0,"what do hank aaron , jimmy stewart , and howard k . smith have in common ?"
3,"What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?"
3,"what tv ratings said ; ` ` one of these days , alice , pow , right in the kisser ' ' ?"
3,"what tv host said ; ` ` one of these days , alice , pow , right in the kisser ' ' ?"
5,What year was Janet Jackson 's first album released ?
5,what year was janet . ' s first album released ?
5,what year was janet jackson ' s first album released ?
4,Where are the leading medical groups specializing in lung diseases ?
4,where are the national medical groups specializing in lung diseases ?
4,where are the leading medical groups specializing in lung diseases ?
5,How many double-word-score spaces are there on a Scrabble Crossword Game board ?
5,how many double - check - score spaces are there on a scrabble crossword game board ?
5,how many double - - - score spaces are there on a scrabble crossword game board ?
4,What are the ten safest American cities for pedestrians ?
4,what are the ten safest american cities for pedestrians ?
4,what are the ten safest american cities for pedestrians ?
3,Who was the Charlie perfume woman ?
3,who was the charlie perfume woman ?
3,who was the charlie perfume woman ?
4,What is one of the cities that the University of Minnesota is located in ?
4,what is one of the cities that the university of minnesota is located in ?
4,what is one of the cities that the university of minnesota is located in ?
1,What whisky is `` known by the company it keeps '' ?
1,what whisky is ` ` known by the company it keeps ' ' '
1,what whisky is ` ` known by the company it keeps ' ' '
3,What future President became Senate majority whip under Harry Truman ?
3,what future president became senate majority whip under harry truman ?
3,what future president became senate majority whip under harry truman ?
5,How long does the average domesticated ferret live ?
5,how long does the average domesticated ferret live ?
5,"how long does the average domesticated ,rret live ?"
0,How can I get a CCT diagram ?
0,how can i get a cct diagram ?
0,how can i get a cct diagram ?
5,How long does it take the typical hen to lay 19 dozen eggs ?
5,how long does it take the typical hen to lay 19 dozen eggs ?
5,how long does it take the typical hen to lay 19 dozen eggs ?
5,What percentage of the world 's plant and animal species can be found in the Amazon forests ?
5,what percentage of the world ' s plant and animal species can be found in the amazon forests ?
5,what percentage of the world ' s plant and animal species can be found in the amazon forests ?
5,How many web servers are there ?
5,how many web servers are there ?
5,how many web servers are there ?
0,What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?
0,what category does the color pink denote in the trivial ! baby boomer edition ?
0,what category does the color pink denote in the trivial # baby boomer edition ?
5,What percent of world 's fresh water is found in Canada ?
5,what percent of world ' s fresh water is found in canada ?
5,what percent of world ' s fresh water is found in canada ?
4,On which Hawaiian island is Pearl Harbor ?
4,on which hawaiian island is pearl harbor ?
4,on which hawaiian island is pearl harbor ?
0,What is the circumorbital hematoma ?
0,what is the circumorbital hematoma ?
0,what is the circumorbital hematoma ?
2,What is the acronym for the National Bureau of Investigation ?
2,what is the acronym for the national bureau of investigation ?
2,what is the acronym for the national bureau of investigation ?
4,What is Bill Gates of Microsoft E-mail address ?
4,what is bill gates of microsoft e - mail address ?
4,what is bill gates of microsoft e - mail address ?
2,What does A&W of root beer fame stand for ?
2,what does a & w of root beer fame stand for ?
2,what does a & w of root beer fame stand for ?
0,How can someone become a federal agent ?
0,how can someone become a federal agent ?
0,how can someone become a federal agent ?
4,Where is Windsor Castle ?
4,where is windsor castle ?
4,where is windsor castle ?
3,"Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?"
3,"who does shakespeare ' s antonio borrow 3 , 0 ducats from ?"
3,"who does shakespeare ' s antonio borrow 3 , 0 ducats from ?"
2,What is DSL ?
2,what is dsl ?
2,what is dsl ?
5,What is the student population at the University of Massachusetts in Amherst ?
5,what is the student population at the university of massachusetts in amherst ?
5,what is the student population at the university of massachusetts in amherst ?
1,What money was used by them ?
1,what money was used by them ?
1,what money was used by them ?
5,What is the cost of the drugs used in tuberculosis treatments ?
5,what is the cost of the drugs used in tuberculosis treatments ?
5,what is the cost of the drugs used in tuberculosis treatments ?
2,What is the abbreviation for micro ?
2,what is the abbreviation for micro ?
2,what is the abbreviation for micro ?
1,What does a deltiologist collect ?
1,what does a deltiologist collect ?
1,what does a deltiologist collect ?
4,What stadium do the Miami Dolphins play their home games in ?
4,what stadium do the miami championship play their home games in ?
4,what stadium do the miami ' play their home games in ?
0,What is the `` 7-minute cigarette '' ?
0,what is the ` ` 7 - minute cigarette ' ' ?
