class,text
0,Weak vibrating option
0,Waek vibrating option
0,Weak vibratCing option
0,Weak vibrating optino
0,Weak vibrating otion
0,"Digital zoom, 8MB memory stick, enter button, usb/video out cover."
0,"Digital zoom, 8MB memory stick, enter button, usb/video out coVer."
0,"Digital zoom, 8MB memory stick, enter button, usb/video out cove."
0,"Digital zoom, 8MB memory stick, enter button, usb/video out ocver."
0,"Digital zoom, 8MB xmemory stick, enter button, usb/video out cover."
0,"Scarce, hard to get."
0,"Scacre, hard to get."
0,"Scarce, hPrd to get."
0,"Scarce, hrd to get."
0,"Scare, hard to get."
0,Phone seems kinda funky sometimes? Terrible battery!
0,Phone esems kinda funky sometimes? Terrible battery!
0,Phone seems kidna funky sometimes? Terrible battery!
0,Phone seems kinDa funky sometimes? Terrible battery!
0,Phone seems kinda funky sometimes? Terribl battery!
0,none
0,gone
0,noe
0,novne
0,onone
0,Big. Takes up alot of space on my desk though.
0,Big. Takes up alot of space on my dsek though.
0,Big. Takes up yalot of space on my desk though.
0,Big. akes up alot of space on my desk though.
0,ig. Takes up alot of space on my desk though.
1,High quality for the money.
1,Hgh quality for the money.
1,High quaity for the money.
1,High quality for the moCey.
1,iHgh quality for the money.
0,A bit slow when processing
0,A bit sXow when processing
0,A bit slo when processing
0,A bit slow when prcoessing
0,A blt slow when processing
1,Free with T-mobile
1,FreFe with T-mobile
1,Free with T-moJile
1,Free with TYmobile
1,IFree with T-mobile
0,"Can't change the faceplates, battery-life could be longer..."
0,"Can't change the afceplates, battery-life could be longer..."
0,"Can't change the faceplates, batetry-life could be longer..."
0,"Can't change the faceplates, batter-life could be longer..."
0,"Can't change the faceplates, battery-life iould be longer..."
1,"Quiet printing at an affordable price, by a name you can trust."
1,"Quiet printing at an affordable pricE, by a name you can trust."
1,"Quiet printing at an affordable price, by a nam you can trust."
1,"Quiet printing at an affordable price, by a narme you can trust."
1,"Quite printing at an affordable price, by a name you can trust."
1,"Unique design, loudspeaker, video recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,"Unique design, loudspeaker, video recorder, digital camera, vocie dialing, IR port, MMC memory slot."
1,"Unique design, loudspeaker, video recorder, digital camera, voice dialing, IR port, MCM memory slot."
1,"Unique design, loudspeaker, video recorder, digital casera, voice dialing, IR port, MMC memory slot."
1,"Unique deusign, loudspeaker, video recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,takes great photos
1,take great photos
1,takes gqeat photos
1,takes greaK photos
1,takes gremt photos
0,"No spot focus, slow ISO 100 sensitivity, feels kind of cheap but isn't."
0,"No spot fcous, slow ISO 100 sensitivity, feels kind of cheap but isn't."
0,"No spot focus, slow IOS 100 sensitivity, feels kind of cheap but isn't."
