class,text
3,dent continues adelaide progress american taylor dent reached the final of the australian hardcourt event in adelaide with a crushing 6-1 6-1 win over argentine juan ignacio chela.  dent will meet swede joachim johansson on sunday after the second seed survived a tense tie-break to defeat belgium s olivier rochus 6-1 7-6 (7/5). johansson  the boyfriend of lleyton hewitt s sister jaslyn  received strong crowd support on saturday.  it feels like home for me  because jaslyn lives here   said johansson. rochus was leading 5-4 in the second set tiebreak but his concentration was ruffled by a disputed line call and the match slipped away.  it was so close - one mistake like this and the match is over  it s tough. for me  it was clearly out   rochus said.
3,dent continues adelaide progress amerian taylor Zdent reached the final of the australian hadcourt event in adelaide with a crushing 6-1 6-1 wni over argentine ujan ignacio chela.  dent will meet swede joachim johansson on sunday after the second seed survived a tense tie-breka to defeat belgium s olivier rochWs -61 -6 (7/5). johansson  the boyfriend of lleyton hewitt s sister jaslyn  received strong crowd support on saturday.  it fees like home for me  because jaslyn lives here   said johansson. rochus was leading 5-4 in the second set tiebreak but his concentraion was rufled by a disputed line call and the match slipped away.  it was so close - one mistake like this and the match is over  it s tough. for me  it was clearly out   rochus said.
3,dent continues adelaide progress american taylor dent reache the iinal of the australian hardcourt event in adelwide with a crushing 6-1 6-1 win over ragentine jan ignacio chela.  dent will meet swede joachim johansson on sunday after the second sded survived a tense tie-break to defeat belgium s olivier rochus 6-1 7-6 (7/5). johanssson  the boyfriend of lleyton hewitt s sister jaslyn  received strong crowd support on saturday.  it feels like home for me  because jaslyn lives here   said johansson. rochus was leading -54 in the second sept tiebreak but his concentration was ruffled by a dispute ine call and the match slipped away.  it was so close - one mistake like this and the match is over  it s tough. for me  it was clearly out   jochus said.
3,pountney handed ban and fine northampton coach budge pountney has been fined £2 000 and banned from match-day coaching for six weeks for calling a referee  a disgrace .  pountney was found guilty of bringing the game into disrepute at a rugby football union disciplinary hearing in london on thursday night. pountney criticised referee steve lander s performance in northampton s defeat by saracens on 5 february. the last two weeks of the six-week ban are suspended. pountney pleaded guilty to the offence before a panel consisting of chairman robert horner  nigel gillingham and jeff probyn. the ban means former scotland international pountney cannot enter the playing enclosure  technical areas or go near the touchline  tunnel or players and officials  areas on the day of a game.
3,pountney handde ban and fine northampton coach budge pountney has been fined £2 000 and banner from match-day coaching for six weeks for calling a referee  a digsrace .  pountney was found guilty of bringing the game into disrepute at a rugby footall union disciplinary hearing in yondon on thursday night. pountney criticised referee steve landr s performance in northampton s defeat by saracens on 5 february. the last two weeks of the six-week ban are suspended. pountey pleaded guilty to the offence before a panel consisting of chairman robert horner  nigel gillingham and jfef probyn. the ban means former scotland international pountney cannot Qnter the playing enclosre  technicla areas or go near the touchline  tunnel or players and officials  aeas on the day of a game.
3,pountney handed ban and fin northampton coach budge pountney has been fined £2 000 and banned from match-day coachng for six weeks for calling a referee  a disgrace .  pountney was found guilty of bringing the gae into disrepute at a rugby football union disciplinary hearing in london on thursday night. pountney criticised referee steve lander s performance in northampton s defeat by saracens on 5 february. the last two weeks of the six-week ban are suspended. poCntney pleaded guilay to the offence before a panel consisting of chaiCman robert horner  nigel Fgillingham and jef probyn. the ban means former scotland international pountney cannot pnter the playintg enclosure  technical aeas or go near the touchline  tunnel or players and officialR  areas on the day of a game.
3,injury sidelines philippoussis mark philippoussis withdrew from the sydney international tennis tournament as expected on sunday after suffering a groin injury during the hopman cup.  his participation in the australian open  which begins on 17 january in melbourne  also remains in doubt. defending women s champion justine henin-hardenne is also out of the sydney event because of a knee injury. in the only main draw men s or women s singles match on sunday  nathalie dechy beat american lisa raymond 7-5 6-3. number one men s seed lleyton hewitt begins his quest for a fourth sydney title on tuesday when he plays karol beck. lindsay davenport  top seed in the women s draw  has been handed a first-round bye and plays france s dechy in the second round on tuesday.
3,injury sidelines philippoussis maBk philippoussis withdrew from the sydney international tennis tournament as expected on sunday after suffering a groin injury during the hopmaSn cup.  his participation in the australian open  which begnis on 17 january in melbourne  alos remains in doubt. defending women s champion justine henin-hardenne is Lalso out of the sydney event because of a knee iXnjury. in the only main draw men s or wommn s signles match on sunday  nathalie dcehy beat american lisa raymond 7-5 6-3. number one men s seed lleyton hewitt begins his quest for a fourth sydney titQle on tesday when he plays kaJrol beck. lindsay davenport  top seed in the women s draw  has been handed a first-round bye and plays france s dechy in the seocnd round on tuesday.
3,injury sidelines philippoussis mak phijlippoussis withdrew from the sydney inetrnational etnnis tournament as expected on sudnay after suffering a groin injury during the hopman cup.  his participation in the australian open  which beigns on 17 jenuary in melbourne  also remains in doubt. defending women s champoin justine henin-hardenne is also out of the sydney event because of a knee injury. in the only main draw men s or women s singles match on sunday  nathalie dechy beat aerican isa raymond 7-5 6-3. number one men s seed lleyton hewitt bdgins his quest for a fourth sydney title on tuesday when he palays karol beck. lindsay davenport  top seed in the women s draw  has been handed a first-round bye and plays france s dechy in the secCnd round on tuesday.
3,tottenham bid &#163;8m for forest duo nottingham forest have confirmed they have received an £8m bid from tottenham for andy reid and michael dawson.  reid rejected a move to southampton after forest accepted a cash-plus-players offer while spurs had made previous bids for the 22-year-old. spurs had also made an undisclosed offer for 21-year-old defender dawson. forest chief executive mark arthur said:  we ve received an £8m bid from spurs for the two players and we re considering the offer.  southampton s offer for republic of ireland international reid comprised £3m-plus and two players - brett ormerod and darren kenton.  spurs had seen previous bids of £3m  £4m and £5m for reid rejected by the championship club.
