class,text
0,millions of dollars heaped upon a project of such vast proportions need to reap more rewards than spiffy bluescreen technique and stylish weaponry .
0,millions of dollars heaped upon a project of such vast proportions need to reap more rewards than spiffy bluescreen technique and stylish weaponry .
1,able to provide insight into a fascinating part of theater history .
1,able to provide insight into a fascinating part of theater history .
0,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie ."
0,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie ."
1,there are scenes of cinematic perfection that steal your heart away .
1,there are scenes of cinematic perfection that steal your heart away .
1,`` brown sugar '' admirably aspires to be more than another `` best man '' clone by weaving a theme throughout this funny film .
1,`` brown sugar '' admirably aspires to be more than another `` best man '' clone by weaving a theme throughout this funny film .
0,"... an incredibly heavy-handed , manipulative dud that feels all too familiar ."
0,"... an incredibly heavy-handed , manipulative dud that feels all too familiar ."
0,"the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom ."
0,"the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom ."
1,"what 's so fun about this silly , outrageous , ingenious thriller is the director 's talent ."
1,"what 's so fun about this silly , outrageous , ingenious thriller is the director 's talent ."
0,"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting ."
0,"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting ."
0,"no , i hate it ."
0,"no , i hate it ."
1,"like shrek , spirit 's visual imagination reminds you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world ."
1,"like shrek , spirit 's visual imagination reminds you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world ."
0,the story alone could force you to scratch a hole in your head .
0,the story alone could force you to scratch a hole in your head .
0,american chai encourages rueful laughter at stereotypes only an indian-american would recognize .
0,american chai encourages rueful laughter at stereotypes only an indian-american would recognize .
0,it 's bedeviled by labored writing and slack direction .
0,it 's bedeviled by labored writing and slack direction .
0,i 'm not exactly sure what this movie thinks it is about .
0,i 'm not exactly sure what this movie thinks it is about .
0,i 'm not exactly sure what this movie thinks it's about .
1,"like vardalos and corbett , who play their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and hilarious in ways you ca n't fake ."
1,"like Davian and corbett , who play their roles with vibrant charm , the film , directed by joel Weintraub , is heartfelt and hilarious in ways you ca n't fake ."
1,"like Lamonica and corbett , who play their roles with vibrant charm , the film , directed by joel Kautz , is heartfelt and hilarious in ways you ca n't fake ."
0,"the first hour is tedious though ford and neeson capably hold our interest , but its just not a thrilling movie ."
0,"the first hour is tedious though ford and neeson capably hold our interest , but its just not a thrilling movie ."
1,a return to pure disney magic and is enjoyable family fare .
1,a return to pure disney magic and is enjoyable family fare .
1,"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy ."
1,"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy ."
0,a crass and insulting homage to great films like some like it hot and the john wayne classics .
0,a crass and insulting homage to great films like some like it hot and the john wayne classics .
1,"entirely suspenseful , extremely well-paced and ultimately ... dare i say , entertaining !"
1,"entirely suspenseful , extremely well-paced and ultimately ... dare i say , entertaining !"
1,"very amusing , not the usual route in a thriller , and the performances are odd and pixilated and sometimes both ."
1,"very amusing , not the usual route in a thriller , and the performances are odd and pixilated and sometimes both ."
0,"a piece of mildly entertaining , inoffensive fluff that drifts aimlessly for 90 minutes before lodging in the cracks of that ever-growing category : unembarrassing but unmemorable ."
0,"a piece of mildly entertaining , inoffensive fluff that drifts aimlessly for 102 minutes before lodging in the cracks of that ever-growing category : unembarrassing but unmemorable ."
0,"a piece of mildly entertaining , inoffensive fluff that drifts aimlessly for 34 minutes before lodging in the cracks of that ever-growing category : unembarrassing but unmemorable ."
0,these characters become wearisome .
0,these characters become wearisome .
0,more tiring than anything .
0,more tiring than anything .
0,"take away the controversy , and it 's not much more watchable than a mexican soap opera ."
0,"take away the controversy , and it 's not much more watchable than a mexican soap opera ."
1,george lucas returns as a visionary with a tale full of nuance and character dimension .
1,Alethia lucas returns as a visionary with a tale full of nuance and character dimension .
1,Annaka lucas returns as a visionary with a tale full of nuance and character dimension .
1,cinematic poetry showcases the city 's old-world charm before machines change nearly everything .
1,cinematic poetry showcases the city 's old-world charm before machines change nearly everything .
0,"they just have problems , which are neither original nor are presented in convincing way ."
0,"they just have problems , which are neither original nor are presented in convincing way ."
0,"long before it 's over , you 'll be thinking of 51 ways to leave this loser ."
0,"long before it 's over , you 'll be thinking of 1 ways to leave this loser ."
0,"long before it 's over , you 'll be thinking of 100 ways to leave this loser ."
0,"i 'll stay with the stage versions , however , which bite cleaner , and deeper ."
0,"i 'll stay with the stage versions , however , which bite cleaner , and deeper ."
1,one ca n't deny its seriousness and quality .
1,one ca n't deny its seriousness and quality .
1,two ca n't deny its seriousness and quality .
0,disney again ransacks its archives for a quick-buck sequel .
0,disney again ransacks its archives for a quick-buck sequel .
1,-lrb- a -rrb- strong piece of work .
1,-lrb- a -rrb- strong piece of work .
1,"like blended shades of lipstick , these components combine into one terrific story with lots of laughs ."
1,"like blended shades of lipstick , these components combine into one terrific story with lots of laughs ."
1,"like blended shades of lipstick , these components combine into two terrific story with lots of laughs ."
0,like a soft drink that 's been sitting open too long : it 's too much syrup and not enough fizz .
0,like a soft drink that 's been sitting open too long : it 's too much syrup and not enough fizz .
0,"even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities ."
0,"even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities ."
0,is n't it a bit early in his career for director barry sonnenfeld to do a homage to himself ?
0,is n't it a bit early in his career for director Cosmo sonnenfeld to do a homage to himself ?
0,is n't it a bit early in his career for director Jadyn sonnenfeld to do a homage to himself ?
1,the chateau cleverly probes the cross-cultural differences between gauls and yanks .
1,the chateau cleverly probes the cross-cultural differences between gauls and yanks .
0,"the so-inept - it 's - surreal dubbing -lrb- featuring the voices of glenn close , regis philbin and breckin meyer -rrb- brings back memories of cheesy old godzilla flicks ."
0,"the so-inept - it 's - surreal dubbing -lrb- featuring the voices of Brennan close , regis Butterfield and breckin meyer -rrb- brings back memories of cheesy old godzilla flicks ."
0,"the so-inept - it 's - surreal dubbing -lrb- featuring the voices of Finnley close , Lanell philbin and breckin meyer -rrb- brings back memories of cheesy old godzilla flicks ."
1,"the filmmakers wisely decided to let crocodile hunter steve irwin do what he does best , and fashion a story around him ."
