class,text
3,Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?
3,Which oil company almost picked a news that meant `` stalled car '' in Japanese as its new international name ?
3,Which oil company almost picked a watchword that meant `` stalled car '' in Japanese as its new international name ?
3,Which oil company almost picked a word that imply `` stalled car '' in Japanese as its new international name ?
3,Which oil society almost picked a word that meant `` stalled car '' in Japanese as its new international name ?
3,What is Pittsburgh 's baseball team called ?
3,What is Pittsburgh 's baseball squad called ?
3,What is Pittsburgh 's baseball team anticipate ?
3,What is Pittsburgh 's baseball team bid ?
3,What is Pittsburgh 's baseball team squall ?
5,How many dollars a day did Arthur Frommer say you could get by on in Europe in 1968 ?
5,How many dollars a day did Arthur Frommer say you could beget by on in Europe in 1968 ?
5,How many dollars a day did Arthur Frommer say you could experience by on in Europe in 1968 ?
5,How many dollars a day did Arthur Frommer say you could obtain by on in Europe in 1968 ?
5,How many dollars a day did Arthur Frommer say you could produce by on in Europe in 1968 ?
2,What is the abbreviated form of the National Bureau of Investigation ?
2,What is the abbreviated form of the National bureau of Investigation ?
2,What is the abbreviated form of the National chest of Investigation ?
2,What is the abbreviated mould of the National Bureau of Investigation ?
2,What is the abbreviated phase of the National Bureau of Investigation ?
5,What percent of world 's fresh water is found in Canada ?
5,What percent of world 's fresh irrigate is found in Canada ?
5,What percent of world 's fresh water is ground in Canada ?
5,What percent of world 's new water is found in Canada ?
5,What percent of world 's refreshed water is found in Canada ?
4,What sprawling U.S. state boasts the most airports ?
4,What sprawling U.S. state bluster the most airports ?
4,What sprawling U.S. state swash the most airports ?
4,What sprawling U.second. state boasts the most airports ?
4,What straggling U.S. state boasts the most airports ?
1,What was the first TV set to include a remote control ?
1,What was the 1st TV set to include a remote control ?
1,What was the commencement TV set to include a remote control ?
1,What was the first TV adjust to include a remote control ?
1,What was the first TV coiffure to include a remote control ?
4,What erupts every hour at Yellowstone National Park ?
4,What erupt every hour at Yellowstone National Park ?
4,What erupts every hour at Yellowstone National ballpark ?
4,What erupts every hour at Yellowstone internal Park ?
4,What recrudesce every hour at Yellowstone National Park ?
3,What is Goldfinger 's first name ?
3,What is Goldfinger 's first gens ?
3,What is Goldfinger 's first list ?
3,What is Goldfinger 's first refer ?
3,What is Goldfinger 's maiden name ?
2,What is the abbreviation of General Motors ?
2,What is the abbreviation of General drive ?
2,What is the abbreviation of general Motors ?
2,What is the abbreviation of oecumenical Motors ?
2,What is the abbreviation of world-wide Motors ?
5,How many chemical elements are there ?
5,How many chemic elements are there ?
