class,text
1,"they get on from the word go , but now dad needs a liver transplant and ludvig and harald set about raising the wherewithal . "
1,"they get from the word go , but dad needs a liver transplant and ludvig and harald set about raising the wherewithal . "
0,"an uncomfortable movie , suffocating and sometimes almost senseless , the grey zone does have a center , though a morbid one . "
0,"an uncomfortable movie , suffocating and almost senseless , the grey zone does have a center , though a morbid one . "
0,"nicks , seemingly uncertain what's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . "
0,", seemingly uncertain what's going make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . "
0,"by turns gripping , amusing , tender and heart-wrenching , laissez-passer has all the earmarks of french cinema at its best . "
0,"by turns gripping , , tender and heart-wrenching , laissez-passer has all the earmarks of french cinema at its best . "
1,"she spends her days catering to edgar's whims and fighting off lame advances from his taciturn partner in crime , flowers ( arie verveen ) . "
1,"she spends her days catering to edgar's whims and fighting off lame advances from his taciturn partner in crime , flowers ( ) . "
1,his emotionally wrenching and often humorous long first night back ends in a mutually relentless swordfight with his prospective brother-in-law that forces him into coming to terms with his loss . 
1,his emotionally wrenching and often humorous long first night back ends in a mutually relentless swordfight with his brother-in-law that forces him into coming to terms loss . 
0,"chris columbus , the director , does a real wonderful job of being faithful to the story but also taking it into a cinematic era . "
0,"chris columbus , the , does a real wonderful job of being faithful to story but also taking it into a cinematic era . "
0,it is just too bad the film's story does not live up to its style . 
0,it is just too bad the film's story does not live up to its . 
1,archeology professor robert burns is on location leading an important dig in the ancient ruins on the far eastern chinese border . 
1,archeology professor robert burns is location leading an important dig in the ancient ruins on far eastern chinese border . 
0,it's pithy without being saccharine ; it's funny without ever not taking itself seriously ; it's full of beautiful characters and great performances . 
0,it's pithy being saccharine ; it's funny without ever not itself seriously ; it's full of beautiful characters and great performances . 
0,"it stars schticky chris rock and stolid anthony hopkins , who seem barely in the same movie . their contrast is neither dramatic nor comic -- it's just a weird fizzle . "
0,"it stars schticky chris rock and stolid anthony , who seem barely in the same movie . their contrast neither dramatic nor comic -- it's just a weird fizzle . "
1,"with utter certainty that druden is the one from butcher's vision , inez plans their escape to richmond . "
1,"utter certainty that druden is the one from butcher's vision , inez plans their escape to richmond . "
0,"smith examines the intimate , unguarded moments of folks who live in unusual homes -- which pop up in nearly every corner of the country . "
0,"smith examines intimate , unguarded moments of folks live in unusual homes -- which pop up in nearly every corner of the country . "
1,"he's confused , he's hurt , and he doesn't know what to do . "
1,"he's , he's hurt , and he doesn't know what to do . "
0,"what is unique about his secret life is that an assumption of intelligence , tolerance , and acceptance is already made , and thus the movie can focus on telling a compelling story . "
0,"what is about his secret is that an assumption of intelligence , tolerance , and is already made , and thus the movie can focus on telling a compelling story . "
1,"james regards the cia's mission as an intriguing alternative to an ordinary life , but before he becomes an ops officer , james has to survive the agency's secret training ground , where green recruits are molded into seasoned veterans . "
1,"james regards cia's mission as an intriguing alternative to an ordinary , but before becomes an ops officer , james has to survive the agency's secret training ground , where green recruits are molded into seasoned veterans . "
0,"the film fits into a genre that has been overexposed , redolent of a thousand cliches , and yet remains uniquely itself , vibrant with originality . "
0,"the film fits into a genre that has , redolent of a thousand cliches , and yet remains uniquely itself , vibrant with originality . "
0,it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times . 
0,it is intensely personal and yet -- quills -- deftly shows us the temper of the times . 
1,"but all four are having trouble dealing with it , and steve has a job offer in san francisco . "
1,"but all four are having trouble dealing it , and steve has a job offer in san francisco . "
0,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . "
0,"it has charm to spare , and unlike many romantic comedies , does not alienate either gender in the audience . "
1,"but for trey segal , that dream comes at a cost . "
1,"but for trey , that dream comes at a cost . "
0,"although the film boils down to a lightweight story about matchmaking , the characters make italian for beginners worth the journey"
0,"although the film boils down to a lightweight story about , the characters make for beginners worth the journey"
0,"none of this is meaningful or memorable , but frosting isn't , either , and you wouldn't turn down a big bowl of that , would you ? "
0,"none of this is meaningful or , but frosting isn't , either , and you wouldn't turn down a big bowl of , would you ? "
1,"she wants his blessing to marry a man she loves , but he tells her that she must marry a man of his choosing , and that she must undergo female circumcision . "
1,"she wants his blessing to marry a man she , but he tells her that she must a man of his choosing , and that must undergo female circumcision . "
0,it somehow managed to make its way past my crappola radar and find a small place in my heart
0,it somehow managed to make its way past crappola radar and find a small place in my heart
1,"he enlists the support of other prisoners including crips , bloods and a very powerful jamaican mobster and is able to expand his drug empire . "
1,"enlists the of other prisoners including crips , bloods and a very powerful jamaican mobster and is able to expand his drug empire . "
0,"both stars manage to be funny , but , like the recent i spy , the star chemistry begs the question of whether random gags add up to a movie . "
0,"both stars manage be funny , but , like the i spy , the star chemistry begs the question of whether random gags add up to a movie . "
0,"it will probably prove interesting to ram dass fans , but to others it may feel like a parody of the mellow , peace-and-love side of the '60s counterculture . "
0,"it will probably prove interesting ram dass fans , to others it may feel like a parody of the mellow , peace-and-love side of the '60s counterculture . "
1,"ruthie &#38 ; connie demonstrates the wit and wisdom , heartache and joy of these two wonderfully funny and deeply complex women who live their private lives in public and with passion . "
1,"ruthie &# ; connie demonstrates the wit and wisdom , heartache and joy of these two wonderfully and deeply complex women who live their private in public and with passion . "
1,"he and his friends : virgil , daric and han lead a double life of mischief and petty crimes to alleviate the pressures of perfection . "
1,"he and his : virgil , daric and han lead a double life mischief and petty crimes to alleviate the pressures of perfection . "
0,"while the script starts promisingly , it loses steam towards the middle and never really develops beyond attacking obvious target . "
0,"while the script promisingly , it loses steam towards the middle and never really develops beyond attacking obvious target . "
1,"but still , the killings do not stop with his death . "
1,"but still , the killings do not stop his death . "
0,"anyone who suffers through this film deserves , at the very least , a big box of consolation candy . "
0,"anyone who suffers through this deserves , at the very least , a big box of consolation candy . "
1,"swept into the final moments of the ceremony , jenny must decide ; should she hurt all the people who love her by running away , or simply say "" i do "" ? "
1,"swept into final moments of the ceremony , jenny must decide ; should she hurt all the people who love her by running away , simply say "" i do "" ? "
0,the problem with all of this : it's not really funny . 
0,the problem all of this : it's not really funny . 
0,what doesn't this film have that an impressionable kid couldn't stand to hear ? 
0,what doesn't this film have that an impressionable couldn't stand to hear ? 
1,"heart-stopping talent doesn't seem to be enough when your parents want you to hang up your football boots , find a nice boyfriend and learn to cook the perfect chapatti . "
1,"heart-stopping doesn't seem to be enough when your parents want you to hang your football boots , find a nice boyfriend and learn to cook the perfect chapatti . "
1,katie is a young girl who loves to climb . 
1,katie a young girl who loves to climb . 
1,"klein ischgl actually turns out to be a stone-age-like townlet ( 9 inhabitants ) up the mountain , and t&#252 ; rlichs grandfather , who runs the place , even resists to electricity and indoor plumbing . "
1,"klein actually turns out to be a stone-age-like townlet ( 9 inhabitants ) up mountain , and t&#252 ; rlichs grandfather , who runs the place , even resists to electricity and indoor . "
0,this sort of cute and cloying material is far from zhang's forte and it shows . 
0,this of cute and cloying material is far from zhang's forte and it shows . 
1,will superfag save the world from peckerhead's evil diabolical plan ? 
1,will superfag save the from peckerhead's evil diabolical plan ? 
1,"they discover a little bit about love , dating and each other as the search through the thousands of hopefuls . "
1,"they discover a little bit about love , dating and each as the search through the thousands of hopefuls . "
1,alex enlists the aid of his old comrade father thomas ( addy ) and of a troubled artist ( sossamon ) upon whom he once performed an exorcism . 
1,alex enlists aid of old comrade father thomas ( addy ) and of a troubled artist ( sossamon ) upon whom he once performed an exorcism . 
0,"a charming , vibrant , if under-edited adaptation of v . s . naipaul's genially cynical novel . "
0,"a charming , , if under-edited adaptation of v . s . naipaul's genially cynical novel . "
1,"now , johnny and lena ( wayne's girlfriend ) are asked to make the ultimate baby product , called mighty baby . "
1,"now , johnny and lena ( wayne's ) are asked to make the ultimate baby product , called mighty baby . "
1,"the teamster's union goes on strike against overnite transportation , a nationwide freight company that has resisted unionization . "
1,"the teamster's union goes on strike against overnite transportation , a freight company that has resisted unionization . "
0,behan himself knew how to spin a tale and one can't help but think he'd appreciate this attempt to turn his life into art . 
0,behan himself knew how to spin a tale and one can't help but he'd appreciate this attempt turn his life into art . 
0,"if director michael dowse only superficially understands his characters , he doesn't hold them in contempt . "
0,"director michael dowse only superficially understands his characters , he doesn't hold them in contempt . "
1,"always excitable and volatile , jie becomes reckless and dangerous when he has the gun in his hand . "
1,"always and volatile , jie becomes reckless and dangerous when he has the gun in his hand . "
0,the disjointed mess flows as naturally as jolie's hideous yellow 'do . 
0,the disjointed flows as naturally as jolie's hideous yellow 'do . 
0,"if this movie belonged to a sorority , it would be called beta alpha delta . "
0,"if this belonged to a sorority , it would be called beta alpha delta . "
1,"he meets sunny , an afghan immigrant hot dog vendor , whose son is a would-be rapper , among others , and falls for laila , a fashion designer who still carries the expectations of her traditional parents . "
1,"he meets sunny , an afghan immigrant dog vendor , whose son is a would-be rapper , among others , and falls for laila , a who still carries the expectations of her traditional parents . "
0,an atonal estrogen opera that demonizes feminism while gifting the most sympathetic male of the piece with a nice vomit bath at his wedding . 
0,an atonal estrogen opera demonizes feminism while the most sympathetic male of the piece with a nice vomit bath at his wedding . 
0,"the film is probably worth seeing for the sheer spectacle of it all , for the sake of obtaining valuable information , and for finding more closure on a story that has always been missing several pieces . "
0,"film is probably worth seeing for the sheer spectacle of it all , for the of obtaining valuable information , and for finding closure on a story that has always been missing several pieces . "
1,wishing to free himself more firmly he locks himself into d&#233 ; pendance and lack of power . 
1,wishing to free himself firmly he locks himself into d&#233 ; pendance and lack of power . 
0,little more than a super-sized infomercial for the cable-sports channel and its summer x games . 
0,little more than a super-sized infomercial for the cable-sports channel and summer x games . 
1,"he enters an unknown world of rituals and cutural perceptions , and fixes everything in his own unique way . "
1,"he enters an unknown world of rituals and cutural , and fixes everything in his own unique way . "
0,it somehow managed to make its way past my crappola radar and find a small place in my heart
0,it managed to make its way past my crappola radar and find a small place in my heart
0,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodvar style . "
0,"funny , always very colorful and enjoyably overblown in the traditional almodvar style . "
1,"a little girl uses her overactive imagination to turn her doll into a real live friend ; but when a monster kidnaps her doll , she must enter a dangerous , surreal world to find the monster and rescue her doll . "
1,"a little girl imagination to turn her doll into a real live friend ; but when a monster kidnaps her doll , she must enter a dangerous , surreal world to find the monster and rescue her doll . "
0,"it's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that . "
0,"hard to like a film about a guy who is utterly , and shiner , starring michael caine as an aging british boxing promoter desperate for taste of fame and fortune , is certainly that . "
0,"by the time its otherwise paint-by-numbers story reaches a finale , drumline has made band seem cool -- no small feat in the wake of american pie 2 . "
0,"by the time its otherwise paint-by-numbers story reaches a finale , drumline has band seem -- no small feat in the wake of american pie 2 . "
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people . "
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the east struggle and into the humanity its people . "
0,"sounding like arnold schwarzenegger , with a physique to match , [ahola] has a wooden delivery and encounters a substantial arc of change that doesn't produce any real transformation . "
0,"sounding arnold schwarzenegger , with a physique to match , [ahola] has a wooden delivery encounters a substantial arc of change that doesn't produce any real transformation . "
0,as simple and innocent a movie as you can imagine . this is a movie you can trust . 
0,as simple and innocent a movie as you can . this is a movie you can trust . 
1,"the remaining friends must now rescue the captives , while desperately trying to avoid the long arm of the law . "
1,"the remaining friends must now rescue the , while desperately trying to avoid the long arm of the law . "
0,the movie starts with a legend and ends with a story that is so far-fetched it would be impossible to believe if it weren't true . this is the stuff that disney movies are made of . 
0,the movie starts a legend and ends with a story that is far-fetched it would be impossible to believe if it weren't true . this is the that disney movies are made of . 
0,"the screenwriters dig themselves in deeper every time they toss logic and science into what is essentially a "" dungeons and dragons "" fantasy with modern military weaponry . . . "
0,"the screenwriters dig in deeper every time toss logic and science into what is essentially a "" dungeons and dragons "" fantasy with modern military weaponry . . . "
1,especially when you would much rather want to be one of the cool muslim boys who wears those golden necklages and say cool stuff in arabian . 
1,especially when you much rather want to be one of the cool muslim boys who wears golden necklages and say cool stuff in arabian . 
1,jamie lee curtis ( true lies ) and lindsay lohan ( the parent trap ) star in the remake of the 1976 disney classic freaky friday . 
1,jamie curtis ( true lies ) and lindsay lohan ( the trap ) star in the remake of the 1976 disney classic freaky friday . 
1,"two pairs , each married for quite a long time , are living in a small east german town . "
1,"two pairs , each married for quite a long , are living in a small east german town . "
0," "" sorority boys "" was funnier , and that movie was pretty bad . "
0," "" boys "" was funnier , and that movie was pretty bad . "
1,"his plan goes awry , however , when the group is forced to work for a drug ring . "
1,"his plan goes awry , however , when the group forced to work for a drug ring . "
1,"it tells a hard-hitting story of some of the people's lives which are affected by letters delivered by "" the lady in red "" night mail train from london to scotland . "
1,"it tells a hard-hitting story of some of people's lives which are affected by letters delivered "" the lady in red "" night mail train from london to scotland . "
0,"sandler has played weirdos for zany comic effect , and it's interesting to finally see him play one in a relatively subdued romantic dramedy . "
0,"sandler has played weirdos for zany comic effect , and it's interesting finally see him play one in a subdued romantic dramedy . "
0,"there's a scientific law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces . "
0,"there's a law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when start , they fall to pieces . "
0,"not for all tastes . but i , for one , was hooked by this fish's tale . "
0,"not for all tastes . but i , for , was hooked by this fish's tale . "
1,his story explores the ramifications of leaving afghanistan and living as a refugee in america . 
1,his story explores the ramifications of leaving afghanistan and as a refugee in america . 
1,"looking for a good story she also meets a welfare official , thomas , who also thinks that the foundation should be looked into . "
1,"looking a good story she also a welfare official , thomas , who also thinks that the foundation should be looked into . "
0,"visits spy-movie territory like a novel you can't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last . "
