class,text
0,brand me down as a non-believer in werewolf films that are not serious and rely on folly as a substitute for humor . 
1,"in this sense it is merely a travelogue , yet there is so much more , spanning from the traditional to the avant-garde , from the sublime to the ridiculous , very different , highly original and with a unique zeitgeist narrative structure . "
1,"in this sense it is merely a travelogue , nonetheless there is so much more , spanning from the traditional to the avant-garde , from the sublime to the foolish , very diversified , highly original and with a unique zeitgeist narrative structure . "
1,"mo is beautiful but bald , mei has excessive body hair ( that somehow resulted from a sexual assault ) , hung has a large red birthmark on her face , and pao has abnormally small eyes . "
1,"mo is beautiful but bald , mai has excessive body hair ( that somehow resulted from a nationality assault ) , hung has a sizable red birthmark on her face , and pao has abnormally small eyes . "
1,a group of british students enbark on summoning spirits on a ouija board after a night of clubbing . 
1,a group of british pupils enbark on summoning spirits on a ouija board after a night of clubbing . 
1,"one is little miss perfect , one is an engaged prom queen , and the other is a pregnant outcast . "
1,"one is little miss flawless , one is an engaged prom queen , and the other is a pregnant outcast . "
0,the cast comes through even when the movie doesn't . 
0,the cast comes through even when the cinematic doesn't . 
0,"twohy is not only skilled at building and maintaining suspense , he's also aware that a cast chock full of experienced character actors is the right fit for a haunted sub flick . "
0,"twohy is not only adept at building and retain suspense , he's also aware that a cast chock full of experienced character actors is the right suited for a haunted sub flick . "
0,"sandler has played weirdos for zany comic effect , and it's interesting to finally see him play one in a relatively subdued romantic dramedy . "
0,"sandler has accomplished weirdos for zany comic effects , and it's interesting to finally see him play one in a relatively subdued romantic dramedy . "
1,"narrated by james ellroy , stan brakhage , and dr . roy menninger . "
1,especially when you would much rather want to be one of the cool muslim boys who wears those golden necklages and say cool stuff in arabian . 
1,especially when you would much rather wanna to be one of the groovy muslim boys who wears those golden necklages and say cool stuff in arabian . 
0," "" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see . "
0," "" red dragon "" is entertaining . an overt copy of one of the better films ever effected , how could it not be ? but it is entertaining on an inferior plano . it is a popcorn film , not a must-own , or even a must-see . "
1,they quickly realize that the answer to their problems and the key to their happiness do not lie in achieving a perfect score . 
1,they promptly realize that the answer to their trouble and the key to their happiness do not lie in achieving a perfect score . 
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people . "
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the milieu east struggle and into the human of its people . "
1,"they get on from the word go , but now dad needs a liver transplant and ludvig and harald set about raising the wherewithal . "
1,"they get on from the word go , but now dad gotta a liver transplant and ludvig and harald set about rising the wherewithal . "
0,it recycles every clich about gays in what is essentially an extended soap opera . 
0,it recycle every clich about gays in what is essentially an extended soap opera . 
0,"sandler has played weirdos for zany comic effect , and it's interesting to finally see him play one in a relatively subdued romantic dramedy . "
0,"sandler has played psychos for zany comic effect , and it's interesting to finally see him play one in a relatively subdued romance dramedy . "
1,from that moment on nothing is as it was before . . . 
1,from that moment on anything is as it was before . . . 
0,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . "
0,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audiences . "
0,"soul is what's lacking in every character in this movie and , subsequently , the movie itself . "
0,"soul is what's lacking in each character in this movie and , subsequently , the movie itself . "
0,"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away . "
0,"the kind of cinematic that comes along only occasionally , one so unconventional , heroic and perfectly executed it takes your breath away . "
1,"the fact that he owns the gun of a popular man , who got killed , from that town makes him prime suspect . "
1,"the fact that he owns the gun of a popular man , who got assassination , from that town makes him prime accuser . "
1,"by contrast , tom finds her world increasingly seductive , and as fatal gradually loses the only person she trusts , she discovers destiny has other plans . "
1,"by contrast , tom finds her monde increasingly seductive , and as fatal gradually loses the only person she trusting , she discovers destiny has other plans . "
0,"fans of plympton's shorts may marginally enjoy the film , but it is doubtful this listless feature will win him any new viewers . "
0,"fans of plympton's shorts may marginally enjoy the cinematic , but it is doubtful this listless characteristics will win him any new viewers . "
0,"no earth-shattering accomplishment , but an unusually smart movie that the whole family can go to without a single person getting bored or talked down to . "
0,"no earth-shattering accomplishment , but an incredibly smart movie that the whole family can go to without a single individual getting bored or talked down to . "
1,"levi , is an ex-navy man and an animal rights activist who returns home to find the war at home harder to fight than anything he's ever encountered , but what and who is he fighting for ? "
1,"levi , is an ex-navy hombre and an animal rights activist who returns home to found the war at household harder to fight than anything he's ever encountered , but what and who is he fighting for ? "
0,"an uncomfortable movie , suffocating and sometimes almost senseless , the grey zone does have a center , though a morbid one . "
0,"an uncomfortable cinema , suffocating and sometimes almost senseless , the grey zone does have a center , though a morbid one . "
1,"the teamster's union goes on strike against overnite transportation , a nationwide freight company that has resisted unionization . "
1,"the teamster's union goes on strike against overnite transportation , a nationwide freight corporate that has resisted unionization . "
0,"featuring a dangerously seductive performance from the great daniel auteuil , "" sade "" covers the same period as kaufmann's "" quills "" with more unsettlingly realistic results . "
0,"featuring a dangerously seductive performance from the awesome daniel auteuil , "" sade "" covers the same timeframe as kaufmann's "" quills "" with more unsettlingly realistic results . "
1,"he and his friends : virgil , daric and han lead a double life of mischief and petty crimes to alleviate the pressures of perfection . "
1,"he and his friends : virgil , daric and hahn lead a double life of mischief and trifling crimes to alleviate the pressures of perfection . "
1,"his mother persuades a renowned entomologist to take them on a trip to the jungle to search for the butterfly , leading to an adventure that will transform their lives . "
1,"his momma persuades a renowned entomologist to take them on a excursion to the jungle to search for the butterfly , leading to an adventure that will transform their lives . "
1,"klein ischgl actually turns out to be a stone-age-like townlet ( 9 inhabitants ) up the mountain , and t&#252 ; rlichs grandfather , who runs the place , even resists to electricity and indoor plumbing . "
1,"klein ischgl actually turns out to be a stone-age-like townlet ( 9 inhabitants ) up the jebel , and t&#252 ; rlichs grampa , who runs the place , even resists to electricity and indoors plumbing . "
0,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodvar style . "
0,"occasionally funny , always very colorful and enjoyably inflated in the traditional almodvar style . "
0,"smart , sassy interpretation of the oscar wilde play . "
0,"cunning , sassy interpretation of the oscar wilde play . "
1,mother turns out to be his crazy accomplice in mass murder and his quest for immortality . 
1,mother turns out to be his crazy accomplice in mass manslaughter and his quest for immortality . 
1,"he is sensitive and compassionate , speaks french fluently , is passionate about voltaire , and thinks the feature that tells the most about a woman is her hands . "
1,"he is sensitive and compassionate , conversation french fluently , is passionate about voltaire , and thinks the feature that tells the most about a mujer is her hands . "
1,alex enlists the aid of his old comrade father thomas ( addy ) and of a troubled artist ( sossamon ) upon whom he once performed an exorcism . 
1,alex enlists the aid of his antigua comrade father thomas ( addy ) and of a troubled entertainer ( sossamon ) upon whom he once performed an exorcism . 
0,a film that loses sight of its own story . 
0,a cinematography that loses sight of its own story . 
1,"but then the crew detects a break-in on their computer systems , and picard is captured by the romulans because shinzon needs him as his only matching supplier of genetic material . "
1,"but then the crew detect a break-in on their computer systems , and picard is caught by the romulans because shinzon needs him as his only couple supplier of genetic material . "
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to guard the money , and does not really have the player's best interests , or even basic safety , at heart . "
1,"unbeknownst to the contenders , the game's host has slugged a deal with the solider hired to guard the money , and does not really have the player's best interests , or even basic safety , at heart . "
1,a malediction passed from generation to generation has it that any woman in her family who sings will die . 
0,the film's thoroughly recycled plot and tiresome jokes . . . drag the movie down . 
0,the film's carefully recycled plot and tiresome jokes . . . drag the movie down . 
1,a malediction passed from generation to generation has it that any mujer in her family who sings will die . 
1,"his plan goes awry , however , when the group is forced to work for a drug ring . "
1,"his plan goes awry , albeit , when the group is forced to work for a drug ring . "
0,"a b-movie you can sit through , enjoy on a certain level and then forget . "
0,"a b-movie you can sit through , enjoy on a certain level and then forgets . "
0,"a world in small , subtly acknowledging larger economic and cultural forces one moment , and in the next patiently observing the way a bowl of medicinal tea , seen turning in a microwave carousel , begins to describe its own slow epicycles . "
0,"a world in minor , subtly acknowledging biggest economic and culturally forces one moment , and in the next patiently observing the way a bowl of medicinal tea , seen turning in a microwave carousel , begins to describe its own slow epicycles . "
0,"instead of a hyperbolic beat-charged urban western , it's an unpretentious , sociologically pointed slice of life . "
0,"instead of a hyperbolic beat-charged urban western , it's an unpretentious , sociologically emphasized slice of life . "
0,late marriage is an in-your-face family drama and black comedy that is filled with raw emotions conveying despair and love . 
0,late marriage is an in-your-face family drama and black travesty that is filled with raw emotions conveying despair and amour . 
0,it somehow managed to make its way past my crappola radar and find a small place in my heart
0,it somehow managed to make its path past my crappola radar and find a small place in my heart
0,by the final whistle you're convinced that this mean machine was a decent tv outing that just doesn't have big screen magic . 
0,by the final whistle you're convinced that this mean machine was a decent televisions outing that just doesn't have vast screen magic . 
1,"two pairs , each married for quite a long time , are living in a small east german town . "
1,"two pairs , each married for altogether a long time , are living in a small east german town . "
1,will superfag save the world from peckerhead's evil diabolical plan ? 
1,will superfag economize the world from peckerhead's evil diabolical plan ? 
1,this curious figure gives nicholas the impression he is pressing his young son closer to the girls in his life and away from bobby . 
1,this curious figure delivers nicholas the impression he is pressing his young son closer to the girls in his vida and away from bobby . 
0,"with a story inspired by the tumultuous surroundings of los angeles , where feelings of marginalization loom for every dreamer with a burst bubble , the dogwalker has a few characters and ideas , but it never manages to put them on the same path . "
0,the ring just left me cold and wet like i was out in the seattle drizzle without rainwear . 
0,the ring just left me cold and wet like i was out in the seattle drizzle sans rainwear . 
0,scores by marshaling facts that speak for themselves . and they don't speak kindly . 
0,scores by marshaling facts that speak for themselves . and they don't speaks kindly . 
0,"with a fairytales inspired by the stormy surroundings of los angeles , where feelings of marginalization loom for every dreamer with a burst bubble , the dogwalker has a few character and notions , but it never manages to put them on the same path . "
0,"anyone who suffers through this film deserves , at the very least , a big box of consolation candy . "
0,"anyone who suffers through this cinema deserves , at the very least , a big box of consolation candy . "
1,"based on an attraction at disneyland , the country bear jamboree , "" the country bears "" ( 2002 ) is one in a long line of live action disney family films . "
1,"based on an attraction at disneyland , the country bear jamboree , "" the nation bears "" ( 2002 ) is one in a lang line of live action disney family films . "
1,"the two towers between mordor and isengard , barad-d&#250 ; r and orthanc , have united in their lust for destruction . "
1,"the two towers between mordor and isengard , barad-d&#250 ; r and orthanc , have united in their lust for demolishing . "
1,"it is then an intimate view of the smoldering monochromatic site and the surrounding solitary streets , the ashen outskirts of new york's financial center , desolate and strewn with debris , the epicenter , a steel moonscape of dresdenesque remains . "
