class,text
19,Paradoxical response of growth hormone to peptide histidine methionine in acromegaly: comparison with the effects of thyrotropin-releasing hormone and vasoactive intestinal peptide.
19,Paradoxical response of growth hormTne to peptide histidine methionine in acromegaly: comparison with the effects of thyrotropin-releasing hoFmone and vasoactive intestinal peptide.
21," Results from this stuLy indicate that in spite of wide-spread HIV-associated isk behaviors, the extent of HIV-seropositivity among incoming inmates in Michigan is relatively low."
14, The origin of the neoplastic cells remains still undetermined.
18," Women with low 25OHD had a reduced vertebral bone density (VBD), assessed by quantitative computed tomography, compared to age-matched controls (P less than 0.001)."
18," WWomen with low 25OHD had a reduced vertebral bone density (VBD), sasessed by quantitative computed tomography, compared to age-matched controls (P less than 0.001)."
14, The origin of the neopXlastic cells remains still undetermined.
15,Heparin-induced thrombocytopenia: a case report.
2, An overall complete response was observed in 35% of these patients; the figure was significantly higher in those who did not have a visceral localization or opportunistic infections.
2, An overall complbete response was observed in 35% of these patients; the figure was significantly higher in those who did not have a visceral localization or opporunistic infections.
15,Heparin-induced thormbocytopenia: a case report.
17, The longer activity of the metabolism of type III collagen related antigens could reflect their function in the regulation of collagen fibril formation.
22," This direct patient-xenograft correlation further validates the usefulness of the nude mouse model in the search for effective therapies for malignant mesothelioma, a tumor characterized by frequent refractoriness to most available agents."
22," This direct patient-xenograft correlation further Zalidates the usefulness of the nude mouse model in the search for effective thrapies for malignant mesothelioma, a tumor characterized by frequent refractoriness to most available agQents."
17, The longer acitvity of the metabolism of type IYII collagen related antigens could reflect their function in the regulation of collagen fibril formation.
14, The etiology for the progressive organ injury in hypertension is largely speculative.
16," Both patients demonstrated somatic hemihypertrophy, which is considered to have the same implications as the Beckwith-Wiedemann syndrome in terms of tumor risk."
16," BQth patients demonstrated somatic hemihypertrophy, which is considered to have the same implications as the Beckwith-Wiedemann szyndrome in terms of tumor risk."
14, The etiology for the progressive organ injury in hypertensXon is largely speculative.
8," The cardiac index rose significantly at rest and under exercise only after the administration of nifedipine (+16 percent and +8 percent, resp)."
9, Hence those with dark eyes will suffer greater damage to the hearing than those with pale eyes.
9, Hence those with dark eyes will suffer greater damage to the heacring than those with pale eyes.
8," Teh cardiac index rose significantly at rest and under ebercise only after the administration of nifedipine (+16 percent and +8 percent, resp)."
16, Maternal age was significantly (P less than .005) related to the incidence of major anomalies.
15," Low-dose cytarabine, which has been studied extensively because of its differentiating activity in vitro, is associated with a generally low rate of complete remission and substantial toxicity."
15," Low-dose cytarabine, which has been studied extensively because of its differentiating activity in vitro, is associatde with a generally low rate of complete remission and substantial otxicity."
16, Maternal age was significantly (P less than .00) related to the incidence of major anomalies.
2, The men with AIDS all had pyosemia and grossly abnormal sperm.
13, Further data are needed regarding the fascinating concept of the placenta as a modulator of infection.
13, Furter data are needed regarding the fascinating concept of the placenta as a modulator of infection.
2, The men with AFIDS all had pyosemia and grossly abnormal sperm.
15, This article reviews the CT manifestations of the most common chronic interstitial lung diseases.
22," A second experiment was performed with 58 animals fed five different mixtures of fats, all at 14% of total calories."
22," A second experiment was perforAed with 58 animals fed five different mixtures of fats, all at 14% of total caloUies."
15, This article reviews the CO manifestations of the most common chronic interstitial lung diseases.
13, Cytotoxic and immunobead-binding antibody assays were used to document possible changes in antigenicity after the spermatozoa were subjected in vitro to capacitating conditions.
2," Of five additional H-2k murine strains tested, C3H/HEJ and CBA/N mice develop this GH-like disorder, whereas neither AKR/J, B10/BR, nor BALB/KAE mice do, indicating that the H-2K haplotype does not control the GH susceptibility."
2," Of five additional H-2Xk murine strains tested, C3H/HEJ and CBA/N mice develop this GH-like disorder, whereas neither AKR/J, B10/BR, nor BALB/KAE mice do, indicating that the H-2K haplotype does not controH the UGH susceptibility."
13, Cytotoxic and immunobead-bindiUng antibody assays were used to document possible changes in antigenicity after the spermatozoa were sLubjected in vitro to capacitating conditions.
10,Gastrointestinal transit of solid-liquid meal in chronic alcoholics.
4, All patients received irradiation to the whole brain with parallel opposed fields.
4, All pVatients received irradiation to the whole brain with parallel opposed fields.
10,Gastrointestinal transit of solid-iquid meal in chronic alcoholics.
14, Transesophageal echocardiography revealed a potential cardiac source of embolism in 41% (26) of the patients; 27% (seven) of these patients had no clinical cardiovascular abnormalities.
6, Remaining animals were followed to calculate survival.
6, Remaining animals were followek to calculate survival.
14, TJansesophageal echocardiography revealed a potential cardiac source of embolism in 41% (26) of the patiwents; 27% (seven) of these patients had no clinical cardiovascular abnormalities.
18," In the Early Treatment Diabetic Retinopathy Study, a randomized clinical trial sponsored by the National Eye Institute, one eye of each patient was assigned to early photocoagulation and the other to deferral of photocoagulation (i.e., careful follow-up and initiation of photocoagulation only if high-risk proliferative retinopathy developed)."
11," A prospective, double-blind study was conducted to compare the effect of pressure at the P6 (Neikuan) point with placebo as an antiemetic in children."
11," A prolspective, double-blind study was conducted to compare the effect of pressure at the P6 (Neikuan) point with placeb as an antiemetic in children."
18," In the EaArly Treatment Diabetic Reitnopathy Study, a randomized clinical trial sponsored by the National Eye Institute, one eye of each patient was assigned to early photocoagulation and the other to deferral of photocoaguation (i.e., careful follow-up and initiation of photocoagulation only if high-risk proliferative retinopathy feveloped)."
16," We studied sFc epsilon R II levels in normal children and in patients with immunodeficiencies, including common variable immunodeficiency (CVI), partial DiGeorge syndrome, and immunodeficiency associated with ectodermal dysplasia to examine the relationship of sFc epsilon R II levels to B cell numbers and other immunoparameters."
3," The patient was treated with topical dibromopropamidine isethionate (Brolene) drops, neomycin and polymyxin B drops and fortified gentamicin drops."
3," The patient was treated with topical dibromjopropamidine isethionate (Brolene) drops, neomycin and polymyxin B drops and fortified gentamicin drops."
