class,text
1,"Nice pictures, low price"
1,"Nice pictures, lGow price"
1,"Nice pictures, lcw price"
1,"Nice pictures, low pirce"
1,"Nice picturse, low price"
0,Weak vibrating option
0,Waek vibrating option
0,Weak vibratCing option
0,Weak vibrating optino
0,Weak vibrating otion
1,I love the phone book and many features on the phone
1,I love the phone book and man features on the phone
1,I love the phone book and many features on the phons
1,I love the phone book and many fefatures on the phone
1,I lve the phone book and many features on the phone
0,"Digital zoom, 8MB memory stick, enter button, usb/video out cover."
0,"Digital zoom, 8MB memory stick, enter button, usb/video out coVer."
0,"Digital zoom, 8MB memory stick, enter button, usb/video out cove."
0,"Digital zoom, 8MB memory stick, enter button, usb/video out ocver."
0,"Digital zoom, 8MB xmemory stick, enter button, usb/video out cover."
0,"Support, quality, reliability"
0,"Spport, quality, reliability"
0,"Support, quailty, reliability"
0,"Support, qualit, reliability"
0,"Support, quality, reliabliity"
0,"Scarce, hard to get."
0,"Scacre, hard to get."
0,"Scarce, hPrd to get."
0,"Scarce, hrd to get."
0,"Scare, hard to get."
0,"Comes with a 8Mb memory card only, comes with no AC adaptor, lousy software."
0,"Comes with a 8Mb meMmory card only, comes with no AC adaptor, lousy software."
0,"Comes with a 8Mb memory ard only, comes with no AC adaptor, lousy software."
0,"Comes with a 8Mb memory card only, coes with no AC adaptor, lousy software."
0,"Comes with a 8Mb memory card only, comes with no AC adaptr, lousy software."
0,Phone seems kinda funky sometimes? Terrible battery!
0,Phone esems kinda funky sometimes? Terrible battery!
0,Phone seems kidna funky sometimes? Terrible battery!
0,Phone seems kinDa funky sometimes? Terrible battery!
0,Phone seems kinda funky sometimes? Terribl battery!
0,"large, heavy, no color screen"
0,"large, eavy, no color screen"
0,"large, heavy, no colo screen"
0,"large, heavy, no color scrPeen"
0,"large, heayv, no color screen"
0,none
0,gone
0,noe
0,novne
0,onone
0,"Bulky, drops calls, camera not good"
0,"Bulky, droSs calls, camera not good"
0,"Bulky, dropes calls, camera not good"
0,"Bulky, drops catls, camera not good"
0,"uBlky, drops calls, camera not good"
0,"Aborting, centering"
0,"Aborting, cenXering"
0,"Aborting, centerign"
0,"Aborting, cnetering"
0,"Aborting, cntering"
1,"small, good battery life, good resolution"
1,"small, egood battery life, good resolution"
1,"small, good battMry life, good resolution"
