class,text
1,"she frequently offers her hospitality to a 16-year-old prostitute , gr&#233 ; goire , a young man who became her friend . "
1,"she frequently offers her hospitality to a 16-year-old cyprian , gr&#233 ; goire , a young man who became her friend . "
1,"she frequently offers her hospitality to a 16-year-old prostitute , gr&#233 ; goire , a young humanity who became her friend . "
1,"she frequently offers her hospitality to a 16-year-old prostitute , gr&#233 ; goire , a young man who become her friend . "
1,"she frequently whirl her hospitality to a 16-year-old prostitute , gr&#233 ; goire , a young man who became her friend . "
0,"intriguing and beautiful film , but those of you who read the book are likely to be disappointed . "
0,"intriguing and beautiful film , but those of you who read the Koran are likely to be disappointed . "
0,"intriguing and beautiful film , but those of you who read the book are likely to be frustrated . "
0,"intriguing and beautiful film , but those of you who read the leger are likely to be disappointed . "
0,"intriguing and beautiful flick , but those of you who read the book are likely to be disappointed . "
1,"as this sacrifice draws to its close , our story begins . "
1,"as this sacrifice draws to its airless , our story begins . "
1,"as this sacrifice draws to its ending , our story begins . "
1,"as this sacrifice draws to its near , our story begins . "
1,"as this sacrifice hooking to its close , our story begins . "
0,little more than a super-sized infomercial for the cable-sports channel and its summer x games . 
0,lilliputian more than a super-sized infomercial for the cable-sports channel and its summer x games . 
0,little more than a super-sized infomercial for the cable-sports channel and its summer X games . 
0,little more than a super-sized infomercial for the cable-sports channel and its summer ex games . 
0,little more than a super-sized infomercial for the cable-sports channelize and its summer x games . 
0,"an awful lot like one of [spears'] music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it . "
0,"an awful distribute like one of [spears'] music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to devote if you want to construe it . "
0,"an awful lot like one of [spears'] music videos in content -- except that it function on for at least 90 more transactions and , worse , that you have to pay if you want to check it . "
0,"an awful passel like one of [spears'] music videos in content -- except that it goes on for at least 90 more mo and , worse , that you have to pay if you want to envision it . "
0,"an fearsome lot like single of [spears'] music videos in substance -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it . "
0,"while insomnia is in many ways a conventional , even predictable remake , nolan's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . "
