class,text
1,Long battery life.  Compact size.  Nice color screen.
1,Long batteries life.  Compact size.  Nice color screen.
1,Excellent quality
1,Delightful quality
0,Displays not readable in sunlight.
0,Displays not understandable in sunlight.
1,Excellent high resolution photos with 35mm camera functions
1,Delightful high resolution photos with 35mm camera functions
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large phone book, transflash"
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large phone books, transflash"
0,Doesn't have anything special other than just a camera phone.
0,Doesn't have anything extraordinaire other than just a camera phone.
0,"Poor image quality,no flash"
0,"Deficient image quality,no flash"
1,"MP3 player, camera, good antenna, video camera, lots of memory space."
1,"MP3 player, camera, alright antenna, video camera, lots of memory space."
1,"Easy to maneuver, very lightweight"
1,"Easy to maneuvers, very lightweight"
1,"Easy Menu system, standard vibrator ring, customizable face plates"
1,"Easy Menu system, standard vibrate ring, customizable face plates"
1,"Keyboard, IM, GPS, camera, perfect for texters!"
1,"Keyboard, IM, GPS, camera, consummate for texters!"
1,"Quality of build, compact, ease of use, big 2&amp;quot; LCD display"
1,"Quality of build, compact, ease of use, big 2&amp;quot; LCD exhibit"
0,"No spot focus, slow ISO 100 sensitivity, feels kind of cheap but isn't."
0,"No spot concentrating, slow ISO 100 sensitivity, feels kind of cheap but isn't."
0,"Battery life, form factor."
0,"Battery life, shape factor."
0,A drop-in charger would be nice.
0,A drop-in changer would be nice.
1,Price
1,Cost
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses are among the best"
1,"Excellent build quality, durable, formidable resolution and clarity, Nikon lenses are among the best"
1,Low Price
1,Low Costing
1,"When it is working, it is spectacular."
1,"When it is collaborating, it is spectacular."
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty light, etc."
1,"whitish blue backlight color, animate menus, clear sound, cheep price, pretty light, etc."
1,"Easy to use, good photos"
1,"Easy to use, good photograph"
1,"Color screen, light weight, polyphonic ring, downloadable software, good signal retention"
1,"Color screen, light weighed, polyphonic ring, downloadable software, good signal retention"
1,"Overall a nice, easy to use printer"
1,"General a nice, easy to use printer"
1,"Separate ink cart. Quick. Easy install. Prints good photos, great graphics."
1,"Separate ink cart. Quick. Easy install. Prints good photographs, great graphics."
0,None yet...
0,Nil yet...
0,Gets some stray work groups from time to time.
0,Get some stray work groups from time to time.
1,"Excellent call quality, bluetooth, clamshell form factor, sexy face plate."
1,"Excellent call quality, bluetooth, clamshell form factor, sexier face plate."
1,cost.
1,fees.
0,"No Digita OS, ships with little memory, no time-lapse timer."
0,"No Digita OS, freighter with little memory, no time-lapse timer."
1,Cheap
1,Cheap
1,Cheaper
0,Phone seems kinda funky sometimes? Terrible battery!
0,Phone seems kinda funky sometimes? Terrible heaps!
1,"Small, stylish, vibrant color display, AWESOME RECEPTION, external display, ""voice"" keypad sound (makes it unique)"
1,"Small, stylish, vibrant color display, AWESOME RECEPTION, external display, ""voice"" keyboards sound (makes it unique)"
1,"all in one, pcfax is great."
1,"all in one, pcfax is awesome."
1,"Ease of operation, no downloading required."
1,"Ease of operate, no downloading required."
0,patience required on high quality photo printing
0,patience needed on high quality photo printing
0,"size, color printing not up to photo standards"
0,"caliber, color printing not up to photo standards"
1,"Great picture quality, auto-flash, red-eye control, nice LCD"
1,"Great picture quality, auto-flash, red-eye oversight, nice LCD"
0,mechanisms stick after awhile
0,arrangements stick after awhile
1,Simple and solid.  No whiz-bang junk to break or malfunction.
1,Easy and solid.  No whiz-bang junk to break or malfunction.
1,"VERY fast, good sized, easy setup, USB or parralel port friendly"
1,"EMINENTLY fast, good sized, easy setup, USB or parralel port friendly"
0,Manual focus is slightly awkward; chromatic aberrations in bright sunlight
0,Manual focus is marginally awkward; chromatic aberrations in bright sunlight
1,Easy to use
1,Easy to usage
1,"Unique design, loudspeaker, video recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,"Unique design, loudspeaker, video recorder, digital camera, vocals dialing, IR port, MMC memory slot."
0,"Crappy camera, terrible colors and poor speaker volume, does not support MP3s"
0,"Crappy camera, harrowing colors and poor speaker volume, does not support MP3s"
1,"For the price, it is a great printer"
1,"At the price, it is a great printer"
1,"large seats, lightweight, easy to push/steer"
1,"considerable seats, lightweight, easy to push/steer"
1,"Bang for the Buck, Mega-pixel, LCD for under $300"
1,"Bang for the Buck, Mega-pixel, LCD for under $300"
1,"Moderately fast printing, multifunctionality"
0,no sound with mpeg movie mode
0,no sound with mpeg film mode
0,pay long distance for tech support
0,pay long distance for tech succour
1,it has lexmark technology
1,it has lexmark tech
1,"PRICE!, print quality, holds two ink cartridges"
1,"PRICE!, print quality, holds two inks cartridges"
0,None!
0,No!
0,"Small internal memory, included software not anything great"
0,"Small internal memento, included software not anything great"
0,"Everything, breaks often!"
0,"Everything, breaks normally!"
0,None
0,Nil
0,"video is not really that great, but oh well."
0,"video is not really that great, but ooh well."
0,slow computer = slow uploading of images 
0,slow computer = slow loaded of images 
0,none
0,nil
0,Baterry life is momentary
0,Baterry iife is momentary
1,Please give comment
1,Invites give comment
0,Usually it doesn't
0,Generally it doesn't
1,I love the easy access and not hard to get things.
1,I iike the easy access and not hard to get things.
1,"Great Prints, Great Color"
1,"Fantastic Prints, Great Color"
0,Short battery life
0,Short battery lives
1,"Great pictures, corrects red eye problem in Coolpix2500, compact and stores loads of pictures"
1,"Fabulous pictures, corrects red eye problem in Coolpix2500, compact and stores loads of pictures"
1,Brilliant Blue Backlighting; Easy to Use; Color Screen; Great Ringtones
1,Brilliant Blue Backlighting; Easy to Use; Color Screen; Fantastic Ringtones
1,Priced right for a beginner.
1,Costing right for a beginner.
0,"The atomic flash, memory"
0,"The atom flash, memory"
0,Battery life isn't great and the memory card is not large enough
0,Battery life isn't great and the memory card is not grands enough
1,"Incredible value, black text print quality."
1,"Incredible value, black text printouts quality."
1,"Unique design, loudspeaker, video recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,"Singular design, loudspeaker, video recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,alot
1,afar
1,alot
1,lots
1,Good reception. MP3 and Bluetooth capable.
1,Buena reception. MP3 and Bluetooth capable.
1,"price, ease of use , compact size"
1,"price, ease of use , compact calibre"
1,Easy to use
0,"Battery Time, Heat After Long Use, Reception, Screen Picks up Grime"
0,"Battery Time, Heat After Long Use, Reception, Screen Chosen up Grime"
1,Easy to usage
1,"inexpensive, high quality, small, quiet"
1,"inexpensive, high quality, small, hush"
0,expensive
0,costly
0,expensive
0,pricey
1,"Good form factor, decent reception, easy to use"
1,overall beauty
1,entire beauty
1,"Good form factor, decent reception, easier to use"
0,"Digital zoom, 8MB memory stick, enter button, usb/video out cover."
0,"Hard to find accessories, could have shipped with better battery."
0,"Hard to find accessories, could have shipped with best battery."
0,"Digital zoom, 8MB recollection stick, enter button, usb/video out cover."
0,"Sound quality just a hair fuzzy, in my opinion"
0,"Sound quality just a hair blurry, in my opinion"
0,"unsupported, MP3 software"
0,"groundless, MP3 software"
0,"Features, user friendliness"
0,"Characteristic, user friendliness"
0,Must learn all the options! Many! Get extra battery! 
0,Must learn all the alternates! Many! Get extra battery! 
1,Nice idea
1,Delightful idea
1,"A speedy printer, basic and economical. "
1,"A rapids printer, basic and economical. "
1,"Smart design, reliable battery life, and clear calls."
1,"Intelligent design, reliable battery life, and clear calls."
1,"Large Screen, Reception, Software"
1,"Huge Screen, Reception, Software"
1,"Inexpensive, setup is easy, works properly in Windows 98, easy to use"
1,"Inexpensive, setup is easier, works properly in Windows 98, easy to use"
0,battery use
0,battery usage
1,"User-friendly, simple, nice-looking body"
1,"User-friendly, simple, nice-looking cadaver"
0,Battery life
0,Batteries life
1,Print job and Ink level monitor
1,Print job and Ink grades monitor
1,"Scans, Copies, Faxes AND Prints! It's an HP!! Sleek"
1,"Scans, Copies, Faxes AND Footprint! It's an HP!! Sleek"
1,"Changeable case, Ring tones, Good screen"
1,"Changeable cases, Ring tones, Good screen"
1,Excellent  photos and features for the price
1,Excellent  imaging and features for the price
0,price
0,priced
0,Sliding door opens too often in pocket
0,Sliding door opens too normally in pocket
1,"Very well designed, floppy disk compatibility, ease of use, zoom, macro."
1,"Quite well designed, floppy disk compatibility, ease of use, zoom, macro."
1,extremely compact; Web-enabled; can set rings; voice activated; durable; standard jacks
1,greatly compact; Web-enabled; can set rings; voice activated; durable; standard jacks
1,"Good Quad band world phone. Bluetooth, Camera, great connectivity. Must have for a Geek/Gadget Freak."
1,"Good Quad band world phone. Bluetooth, Camera, huge connectivity. Must have for a Geek/Gadget Freak."
0,"Plastic tripod connector, questionable battery life"
0,"Plastic tripod connector, questionable battery lives"
0,"Un-ergonomic, fragile, battery weak"
0,"Un-ergonomic, delicate, battery weak"
0,horrible color issues left my pictures looking unrealistic &amp; cartoon-like
0,abysmal color issues left my pictures looking unrealistic &amp; cartoon-like
0,"no optical zoom, sometimes get circles"
0,"no optical zoom, intermittently get circles"
0,"digital zoom gets pretty bad picture, but thats on all digital zoom"
0,"digital zoom gets pretty bad imagery, but thats on all digital zoom"
0,"Some neutered features, small navigation issues, and poor external display planning."
0,"Some neutered features, petit navigation issues, and poor external display planning."
1,Very light and good reception
1,Highly light and good reception
1,Need i say more
1,Gotta i say more
1,A Reliable printer; Inexpensive
1,A Reliable printer; Affordable
0,Difficult to adjust to low light settings.
0,Difficult to adapting to low light settings.
1,"Easy to use, good quality images, nice features, good for most people"
1,"Easy to use, buena quality images, nice features, good for most people"
0,A little Slow. Uses ink up fast
0,A little Deceleration. Uses ink up fast
0,Batteries take about 8 hours to charge.
0,Batteries take about 8 hours to burdens.
1,Simple &amp;amp; easy to use!
1,Easy &amp;amp; easy to use!
0,"Software package, alkaline battery life."
0,"Software package, alkaline pile life."
1,"Great photographic output, very good price."
1,"Formidable photographic output, very good price."
0,"spendy, but worth it"
0,"spendy, but worth it"
1,Price
1,Cost
0,bed
0,bed
0,bedside
1,"Size and Weight&#13;&#10;Features, and NO ANTENNA!"
1,"Size and Weight&#13;&#10;Characteristics, and NO ANTENNA!"
0,"the screen get dirty easy, but that is about it."
0,"the screen get dirty easier, but that is about it."
0,Speed is a bit leisurely.
0,Accelerated is a bit leisurely.
0,Price of Ink Cartridges
0,Cost of Ink Cartridges
0,"bad battery life, bad reception, expensive, outdated technology"
0,"amiss battery life, bad reception, expensive, outdated technology"
1,very slim. nice design. big screen
1,very delgado. nice design. big screen
1,High quality
1,Alto quality
0,none
0,no
0,none
0,nothin
1,Tough and Rugged.
1,Challenging and Rugged.
1,Accessories
1,Accessories
1,Accessory
1,"Good reception, assignable ringtones, easy to read screen and navigation, good bat life"
1,"Good hospitality, assignable ringtones, easy to read screen and navigation, good bat life"
0,The phone lacks ergonomics and you end up hunting for the controls.
0,The phone absence ergonomics and you end up hunting for the controls.
0,No zoom
0,No zooming
1,"Good price, easy to use, storage on floppy disks"
1,"Good price, easy to use, store on floppy disks"
