class,text
0,... overly melodramatic ...
0,... excessively melodramatic ...
0,"it 's hard to say who might enjoy this , are there tolstoy groupies out there ?"
0,"it 's hard to say who might revel this , are there tolstoy groupies out there ?"
0,the characters are never more than sketches ... which leaves any true emotional connection or identification frustratingly out of reach .
0,the reach are never more than sketches ... which leaves any true emotional connection or identification frustratingly out of characters .
1,birthday girl walks a tricky tightrope between being wickedly funny and just plain wicked .
1,birthday girl walks a tricky tightrope between being wickedly funny and just plain evilly wicked .
0,"we 're left with a story that tries to grab us , only to keep letting go at all the wrong moments ."
0,"we 're impart with a story that tries to grab us , only to keep letting live at all the wrong moments ."
1,"a sun-drenched masterpiece , part parlor game , part psychological case study , part droll social satire ."
1,"a sun-drenched masterpiece , part parlor game , part psychological case study , part droll satire ."
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks ."
0,"it 's not original , and , robbed of the element of , it does n't have any huge laughs in its story of irresponsible cops love to play pranks ."
0,"there is n't nearly enough fun here , despite the presence of some appealing ingredients ."
0,"there is nearly enough fun here , despite the presence of some appealing ingredients ."
1,ken russell would love this .
1,ken this would love russell .
1,"it 's a technically superb film , shining with all the usual spielberg flair , expertly utilizing the talents of his top-notch creative team ."
1,"it 's a technically superb film , shining with all the talents spielberg flair , expertly utilizing the usual of his top-notch creative team ."
1,"visually breathtaking , viscerally exciting , and dramatically moving , it 's the very definition of epic adventure ."
1,"dramatically breathtaking , viscerally exciting , and visually moving , it 's the very definition of epic adventure ."
0,director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .
0,acquire director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .
1,"yes , mibii is rote work and predictable , but with a philosophical visual coming right at the end that extravagantly redeems it ."
1,"yes , mibii is rote work and predictable , but with a philosophical visual coming represent right at the end that extravagantly redeems it ."
0,"well , this movie proves you wrong on both counts ."
0,"well , this movie proves you wrong counts both on ."
1,"amy and matthew have a bit of a phony relationship , but the film works in spite of it ."
1,"amy and matthew have a bit of a phony relationship , but the film works in bitchiness of it ."
1,"yes , mibii is rote work and predictable , but with a philosophical visual coming right at the end that extravagantly redeems it ."
1,"yes , mibii is rote shape and predictable , but with a philosophical visual coming right at the end that extravagantly redeem it ."
0,"this is surely one of the most frantic , virulent and foul-natured christmas season pics ever delivered by a hollywood studio ."
0,"this is surely one of the most frantic , virulent and foul-natured christmas season film ever save by a hollywood studio ."
0,"... while each moment of this broken character study is rich in emotional texture , the journey does n't really go anywhere ."
0,"... while each moment of this interrupt role study is rich in emotional texture , the journey does n't really go anywhere ."
0,"shunji iwai 's all about lily chou chou is a beautifully shot , but ultimately flawed film about growing up in japan ."
0,"shunji iwai 's all about lily chou chou is a beautifully shot , simply but ultimately flawed film about growing up in japan ."
0,"take away the controversy , and it 's not much more watchable than a mexican soap opera ."
0,"take away the controversy , and it 's not much ampere more watchable than a mexican soap opera ."
1,"entirely suspenseful , extremely well-paced and ultimately ... dare i say , entertaining !"
1,"entirely suspenseful , extremely well-paced ultimately ... dare i say , entertaining !"
0,novak contemplates a heartland so overwhelmed by its lack of purpose that it seeks excitement in manufactured high drama .
0,novak excitement a heartland so overwhelmed by its lack of purpose that it seeks contemplates in manufactured high drama .
1,"ultimately , `` mib ii '' succeeds due to its rapid-fire delivery and enough inspired levity that it ca n't be dismissed as mindless ."
1,"ultimately , `` mib ii '' succeeds due to its rapid-fire delivery and inspired levity that it ca n't be as mindless ."
1,"chicago offers much colorful eye candy , including the spectacle of gere in his dancing shoes , hoofing and crooning with the best of them ."
1,"chicago crack much colorful centre candy , including the spectacle of gere in his dancing shoes , hoofing and crooning with the best of them ."
0,"this is sandler running on empty , repeating what he 's already done way too often ."
0,"this is sandler running on empty , repeating what he 's already way too often ."
1,"like vardalos and corbett , who play their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and hilarious in ways you ca n't fake ."
1,"like vardalos and corbett , who play their roles with vibrant charm , the film , address by joel zwick , is heartfelt and hilarious in ways you ca n't juke ."
0,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video ."
0,"combining quick-cut and a heavy metal much of the time , seems to be under the illusion that he 's shooting the latest system of a down video ."
1,the charms of the lead performances allow us to forget most of the film 's problems .
1,the charms trail of the lead performances allow us to forget most of the film 's problems .
1,"a sloppy , amusing comedy that proceeds from a stunningly unoriginal premise ."
1,"premise sloppy , amusing comedy that proceeds from a stunningly unoriginal a ."
1,offers an interesting look at the rapidly changing face of beijing .
1,offers an interesting look at the rapidly changing grimace of beijing .
0,"offers big , fat , dumb laughs that may make you hate yourself for giving in ."
0,"offers big , fat , dumb laughs that may make you hate for giving in ."
1,a tour de force of modern cinema .
1,a tour de force modern cinema .
1,there 's a lot of tooth in roger dodger .
1,'s a lot of tooth in roger dodger .
0,"a piece of mildly entertaining , inoffensive fluff that drifts aimlessly for 90 minutes before lodging in the cracks of that ever-growing category : unembarrassing but unmemorable ."
0,"a piece of mildly entertaining , unoffending fluff that drifts aimlessly for 90 minutes before lodgment in the cracks of that ever-growing category : unembarrassing but unmemorable ."
0,hollywood ending just is n't very funny .
0,hollywood ending just is n't very rum .
1,sleek and arty .
1,silklike and arty .
1,"watching this film , one is left with the inescapable conclusion that hitchens ' obsession with kissinger is , at bottom , a sophisticated flower child 's desire to purge the world of the tooth and claw of human power ."
1,"watching this film , one is left with the inescapable conclusion that hitchens ' obsession with kissinger is , at bottom , a fixation sophisticated flower child 's desire to purge global the world of the tooth and claw of human power ."
1,it 's no lie -- big fat liar is a real charmer .
1,it 's no lie -- big fat liar is a real .
0,plays like an unbalanced mixture of graphic combat footage and almost saccharine domestic interludes that are pure hollywood .
0,trifle like an unbalanced mixture of graphic combat footage and almost saccharine domestic interludes that are pure hollywood .
1,"although mainstream american movies tend to exploit the familiar , every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel ."
1,"although mainstream american movies tend to exploit the familiar , every once feat in a while a film arrives from the margin that gives viewers a spell chance to learn , to grow , to travel ."
1,"on the granger movie gauge of 1 to 10 , the powerpuff girls is a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience ."
1,"on the granger movie gauge of 1 10 , the powerpuff girls a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience ."
0,"the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration ."
0,"the memorable moment was when green threw medical equipment a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my 's walker and toss at the screen in frustration ."
0,blue crush is as predictable as the tides .
0,blue crush is as predictable as surge the tides .
0,"an exit sign , that is ."
0,"represent an exit sign , that is ."
0,constantly slips from the grasp of its maker .
0,the slips from constantly grasp of its maker .
0,poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions .
0,poor ben bratt could n't find point-to-point if mapquest emailed him stardom driving directions .
0,poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions .
0,poor ben bratt could n't incur stardom if mapquest emailed him point-to-point driving directions .
0,to call this film a lump of coal would only be to flatter it .
1,"the movie itself is far from disappointing , offering an original take on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star bruce willis ."
