class,text
3,rusedski forced out in marseille greg rusedski was forced to withdraw from the open 13 in marseille on thursday with a rib injury.  the british number two had been scheduled to play qualifier sebastien de chaunac  who beat world number five guillermo coria 6-4 7-5 in round one. but rusedski was unable to take to the court because of a problem with the left-hand side of his rib-cage. american taylor dent caused a shock with a 7-6 6-2 victory over second seed david nalbandian. but third seed joachim johansson made it through after beating frenchman gilles simon 7-6 6-3 while in the first match of the day  sixth seed feliciano lopez defeated ivo karlovic. there were also wins for slovakia s karol beck and croatian duo ivan ljubicic and mario ancic.
3,rusedski forced out in marseille greg rusedski was forced to withdraw from the open 13 in palermo on thursday with a coasts wounded.  the british number two had been projected to play adjective sebastien of chaunac  who bested world number five guillermo coria 6-4 7-5 in round one. but rusedski was unable to take to the court because of a problem with the left-hand side of his rib-cage. americas taylor dent caused a shock with a 7-6 6-2 win over second seed davids nalbandian. but third seed joachim johansson made it through after beating frenchman gilles simon 7-6 6-3 while in the first match of the day  sixth seed feliciano santana beat ivo karlovic. there were also wins for slovak s karol beck and croatian duo ivan ljubicic and mario ancic.
3,boro suffer morrison injury blow middlesbrough midfielder james morrison has been ruled out for up to eight weeks after an operation on tuesday.  the 18-year-old  who has played in 13 of the club s last 14 games  had surgery to repair a double hernia. a club spokesman confirmed:  it is a bilateral sportsman s hernia  which was operated on yesterday.  morrison was sent for scans after being substituted at half-time during boro s 2-1 uefa cup win over graz ak in which he scored the equaliser. his injury is the latest blow for the teessiders  who have been without gaizka mendieta  george boateng and mark viduka for extended periods. meanwhile  the kick-off time for boro s uefa cup match at sporting lisbon on 17 march has been brought forward from 2115 gmt to 1945 gmt.
3,boro suffer morrison injured blow fulham midfielder james morrison has been ruled out for up to eight chow after an function on wednesday.  the 18-year-old  who has played in 13 of the club s last 14 games  had surgery to repair a double hernia. a club spokesman confirmed:  it is a bilateral sportsman s hernia  which was operated on yesterday.  morrison was sent for scans after being substitutes at half-time during boro s 2-1 uefa cup victorious over graz ak in which he scored the equaliser. his injuries is the latest blow for the teessiders  who have been without gaizka mendieta  jorge boateng and marked viduka for expanded periods. meanwhile  the kick-off time for boro s uefa cup match at sport lisbon on 17 march has been introduced forward from 2115 gmt to 1945 gmt.
3,soderling wins tense milan final fifth seed robin soderling took the milan indoors title with a dramatic win over radek stepanek in sunday s final.  the 20-year-old swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after winning in lyon last year.  i m delighted to have won against such a good opponent in a tournament of this importance   said soderling.  i was really on form  my service was good and i really liked playing on the synthetic surface.  soderling  the world number 37  shrugged off a nervous start to take the opening set on his first set point. a change in approach from fourth seed stepanek in the second set paid dividends as he took it on a tie-break  but soderling s superior power proved too much in the third.
3,soderling wins tense milan final fifth seed robin soderling picked the milan indoors title with a dramatic win over radek stepanek in sonntag s last.  the 20-year-old swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after earning in lyon last annual.  i m delighted to have won against such a good adversary in a tournament of this importance   said soderling.  i was really on form  my service was good and i really liked playback on the synthesize surface.  soderling  the worldwide number 37  glanced off a jumpy starts to take the open set on his first set point. a change in approach from fourth seed stepanek in the second set paid dividends as he picked it on a tie-break  but soderling s superior power proved too much in the third.
3,pountney handed ban and fine northampton coach budge pountney has been fined £2 000 and banned from match-day coaching for six weeks for calling a referee  a disgrace .  pountney was found guilty of bringing the game into disrepute at a rugby football union disciplinary hearing in london on thursday night. pountney criticised referee steve lander s performance in northampton s defeat by saracens on 5 february. the last two weeks of the six-week ban are suspended. pountney pleaded guilty to the offence before a panel consisting of chairman robert horner  nigel gillingham and jeff probyn. the ban means former scotland international pountney cannot enter the playing enclosure  technical areas or go near the touchline  tunnel or players and officials  areas on the day of a game.
3,pountney handed ban and fine northampton coach budge pountney has been fined £2 000 and aban from match-day coaching for sixes weeks for calling a referee  a disgrace .  pountney was uncovered guilty of bring the game into disrepute at a rugby football union disciplined hearing in london on monday night. pountney criticised referee steve lander s performance in northampton s defeat by saracens on 5 february. the last two weeks of the six-week forbid are suspended. pountney pleaded guilty to the misdemeanour before a panel consisting of chairing robert horner  nigel gillingham and jeff probyn. the prohibitions means former scotland worldwide pountney cannot enter the playing enclosure  technical areas or go close the touchline  tunnel or players and officials  areas on the day of a game.
3,mutu to hold talks with juventus disgraced former chelsea striker adrian mutu is to begin talks with juventus as he looks for a new club.   mutu will be in our club s main stand to watch the match between juventus and fiorentina   said a juventus official  who declined to be named.  then he will meet some important people of the club   he added. mutu  25  sacked by chelsea and banned for seven months for taking cocaine  is now represented by alessandro moggi  son of juve manager luciano moggi. mutu  banned by the english fa  can resume playing next may. he is to undergo a drug education and rehabilitation programme. mutu wants to train with romanian side dinamo bucharest whilst serving his ban  say the bucharest side.
3,mutu to hold talking with juventus disgraced former chelsea striker adrian mutu is to begun talks with juventus as he looks for a new club.   mutu will be in our club s main stand to watch the matches between juventus and fiorentina   says a juventus official  who declined to be named.  then he will satisfy some important people of the club   he added. mutu  25  sacked by chelsea and prohibits for seven months for taking cocaine  is now represented by alessandro moggi  son of juve manager luciano moggi. mutu  banned by the english fa  can restart playing next may. he is to undergo a drug education and rehabilitation programs. mutu wanting to train with romanians side dinamo bucharest whilst serve his prohibition  say the bucharest side.
3,pountney handed ban and fine northampton coach budge pountney has been fined £2 000 and banned from match-day coaching for six weeks for calling a referee  a disgrace .  pountney was found guilty of bringing the game into disrepute at a rugby football union disciplinary hearing in london on thursday night. pountney criticised referee steve lander s performance in northampton s defeat by saracens on 5 february. the last two weeks of the six-week ban are suspended. pountney pleaded guilty to the offence before a panel consisting of chairman robert horner  nigel gillingham and jeff probyn. the ban means former scotland international pountney cannot enter the playing enclosure  technical areas or go near the touchline  tunnel or players and officials  areas on the day of a game.
3,pountney handed ban and fine northampton coach budge pountney has been fine £2 000 and banished from match-day coaching for six weeks for calling a referee  a disgrace .  pountney was found guilty of bringing the game into disrepute at a rugby football union disciplinary hearing in london on thursday nightly. pountney criticised referee steve lander s performance in northampton s defeat by saracens on 5 february. the latter two weeks of the six-week ban are suspended. pountney pleaded guilty to the offenses before a panel consisting of chairmen robert horner  nigel gillingham and jeff probyn. the forbid means former scotland international pountney cannot enter the playback enclosure  technical sphere or going near the touchline  tunnel or players and officials  area on the day of a ballgame.
3,tulu to appear at caledonian run two-time olympic 10 000 metres champion derartu tulu has confirmed she will take part in the bupa great caledonian run in edinburgh on 8 may.  the 32-year-old ethiopian is the first star name to enter the event. tulu has won the boston  london and tokyo marathons  as well as the world 10 000m title in 2001.  we are delighted to have secured the services of one the most decorated competitors the sport has ever seen   said race director matthew turnbull.  her record speaks for herself and there are few other women distance runners who would dare compare their pedigree with tulu s   he added.  she might be 33 next month  but that didn t stop her winning the olympic 10 000m bronze medal last summer. she s an ultra-consistent championships racer.
3,tulu to appear at caledonia run two-time olympic 10 000 metres champion derartu tulu has confirmed she will take part in the bupa sublime caledonian executes in edinburgh on 8 may.  the 32-year-old ethiopian is the first star denomination to enter the event. tulu has won the boston  london and tokyo marathons  as well as the world 10 000m title in 2001.  we are delighted to have secured the services of one the most decorated competitors the sport has ever seen   indicated errand director matthew turnbull.  her records chitchat for herself and there are few other women distance runners who would dare compare their pedigree with tulu s   he adding.  she conceivably be 33 future mes  but that didn t stop her winning the olympiad 10 000m bronze medal last summer. she s an ultra-consistent championships racer.
3,curbishley delight for johansson charlton manager alan curbishley paid tribute to two-goal striker jonatan johansson after beating norwich.  curbishley said after the 4-0 win:  there was talk about norwich being interested in the summer but i have a lot of faith in jonatan.  when there was talk of other clubs i just told him he was going nowhere.  he s part of our squad and he got us a couple of important goals early on. i m sure he s happy here  but i was delighted with all the players.  curbishley was subjected to criticism from charlton fans recently  and he said:  the thing about this club is that we have got where we are by all pulling in the same direction.  that s happened for however long i ve been here and we don t want people taking sides.
3,curbishley delight for johansson charlton administrator alan curbishley salaried tribute to two-goal striker jonatan johansson after beating norwich.  curbishley told after the 4-0 win:  there was talk about norwich being interested in the summer but i have a lot of faith in jonatan.  when there was speaking of other clubs i just said him he was going nowhere.  he s part of our squad and he got us a couple of vital goal early on. i m sure he s pleased here  but i was delighted with all the players.  curbishley was subject to criticizing from charlton stalkers recently  and he indicated:  the thing about this club is that we have got where we are by all pulling in the same direction.  that s happened for however lang i ve been here and we don t wish people taking sides.
3,soderling wins tense milan final fifth seed robin soderling took the milan indoors title with a dramatic win over radek stepanek in sunday s final.  the 20-year-old swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after winning in lyon last year.  i m delighted to have won against such a good opponent in a tournament of this importance   said soderling.  i was really on form  my service was good and i really liked playing on the synthetic surface.  soderling  the world number 37  shrugged off a nervous start to take the opening set on his first set point. a change in approach from fourth seed stepanek in the second set paid dividends as he took it on a tie-break  but soderling s superior power proved too much in the third.
3,soderling victories tense milan final fifth seed robin soderling took the milano indoors title with a whopping win over radek stepanek in thursday s final.  the 20-year-old swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second journey title after win in jerome last year.  i m delighted to have won against such a good opponent in a tournament of this importance   said soderling.  i was really on form  my service was good and i really liked playing on the synthetic surface.  soderling  the world number 37  shrugged off a nervous started to take the opens set on his fiirst set point. a amendments in approach from fourth seed stepanek in the seconds set pay dividends as he took it on a tie-break  but soderling s supreme power proved too much in the third.
3,ronaldo considering new contract manchester united winger cristiano ronaldo said he is close to agreeing to a new contract at old trafford.  the portugal star  who joined in august 2003 on a five-year-deal  is a regular in the united first-team.  the united board have already made an offer to renew the contract but i m trying not to think about it   he told the news of the world.  my agent has spoken with the club and it will be resolved soon. i think we ll reach a good agreement for both sides.  ronaldo refused to commit his long-term future to the club.   nobody knows what will come tomorrow. i like being here  but who knows   he added.  there aren t many bigger and better clubs than this one. it s my ambition to be at a big club. i m happy but nobody knows the future.
3,ronaldo consideration new contract manchester united winger cristiana ronaldo said he is closing to agreeing to a nouveau contract at old trafford.  the portugal star  who joined in august 2003 on a five-year-deal  is a regular in the unify first-team.  the united board have already made an offers to renewed the contract but i m trying not to thought about it   he told the news of the world.  my agent has spoken with the club and it will be resolved soon. i thinks we ll reach a good agreement for both sides.  ronaldo dismiss to commit his long-term future to the club.   nobody knows what will come tomorrow. i like being here  but who knows   he adding.  there aren t many taller and better clubs than this one. it s my ambition to be at a huge club. i m happier but nobody knows the future.
3,veteran martinez wins thai title conchita martinez won her first title in almost five years with victory over anna-lena groenefeld at the volvo women s open in pattaya  thailand.  the 32-year-old spaniard came through 6-3 3-6 6-3 for her first title since berlin in 2000.  it feels really good   said martinez  who is playing her last season on the tour.  to come through like that in an important match feels good.  it s been nearly five years and i didn t think i could do it.  groenefeld was the more powerful player but could not match her opponent s relentless accuracy.  it was my first final  a new experience   said the german.  i think she played a good match  a tough match  but i tried to stay in there. i think the whole week was good for me.
3,veteran gomez wins thai title conchita martins won her fiirst title in almost five yr with victory over anna-lena groenefeld at the volvo women s open in pattaya  thailand.  the 32-year-old spaniard came through 6-3 3-6 6-3 for her outset title since berlin in 2000.  it feels really good   said dominguez  who is playing her last season on the tour.  to come through like that in an important match thinks good.  it s been nearly five years and i didn t idea i could do it.  groenefeld was the more powerful player but could not match her enemy s relentless accuracy.  it was my outset final  a new experience   indicated the german.  i think she effected a good match  a tough match  but i tried to stay in there. i think the whole week was well for me.
3,soderling wins tense milan final fifth seed robin soderling took the milan indoors title with a dramatic win over radek stepanek in sunday s final.  the 20-year-old swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after winning in lyon last year.  i m delighted to have won against such a good opponent in a tournament of this importance   said soderling.  i was really on form  my service was good and i really liked playing on the synthetic surface.  soderling  the world number 37  shrugged off a nervous start to take the opening set on his first set point. a change in approach from fourth seed stepanek in the second set paid dividends as he took it on a tie-break  but soderling s superior power proved too much in the third.
