class,text
0,Baterry life is momentary
0,Baterry life is momentary
0,Outside case can damage too easily!
0,Outside case can damage too easily!
1,Cheap
1,Cheap
1,"Excellent call quality, bluetooth, clamshell form factor, sexy face plate."
1,"Small Size, BIG Capabilities"
1,"Small Size, BIG Capabilities"
1,large LCD display &#13;&#10;Crystal Clear Reception all over the United States. &#13;&#10;
1,large LCD display &#10;&#10;Crystal Clear Reception all over the United States. &#13;&#10;
1,large LCD display &#13;&#10;Crystal Clear Reception all over the United States. &#11;&#10;
1,large LCD display &#13;&#2;Crystal Clear Reception all over the United States. &#13;&#10;
1,"Excellent call quality, bluetooth, clamshell form factor, sexy face plate."
1,Priced right for a beginner.
1,Priced right for a beginner.
1,extremely compact; Web-enabled; can set rings; voice activated; durable; standard jacks
1,extremely compact; Web-enabled; can set rings; voice activated; durable; standard jacks
1,it has lexmark technology
1,it has lexmark technology
1,Nice idea
1,overall beauty
1,overall beauty
0,Wheels NEVER worked - I bought/returned 3 Maclaren Mistrals.  Awkward brakes.
0,Wheels NEVER worked - I bought/returned 1 Maclaren Mistrals.  Awkward brakes.
0,Wheels NEVER worked - I bought/returned 3 Maclaren Mistrals.  Awkward brakes.
0,Wheels NEVER worked - I bought/returned 3 Maclaren Mistrals.  Awkward brakes.
1,Nice idea
0,Usually it doesn't
0,Usually it does not
1,"Easy to use, good quality images, nice features, good for most people"
1,"Easy to use, good quality images, nice features, good for most people"
1,Very light and good reception
1,Very light and good reception
1,"Functional (Vibrate & high mode, etc.)"
1,"Functional (Vibrate & high mode, etc.)"
0,None that I have found
0,None that I have found
0,None that I've found
1,"High resolution, right size, good preview, powerful zoom"
1,"small, light, long battery, direct-connect"
1,"small, light, long battery, direct-connect"
1,"Color screen, light weight, polyphonic ring, downloadable software, good signal retention"
1,"Color screen, light weight, polyphonic ring, downloadable software, good signal retention"
1,"large seats, lightweight, easy to push/steer"
1,"large seats, lightweight, easy to push/steer"
1,"Clear, crisp and realistic color printing"
1,"Clear, crisp and realistic color printing"
0,Long delay between shots. Viewing screen can be difficult to see in bright light.
0,Long delay between shots. Viewing screen can be difficult to see in bright light.
0,bad price
0,bad price
0,no sound with mpeg movie mode
0,"Flash, Pictures, Software, Drivers"
0,"Flash, Pictures, Software, Drivers"
0,Flash pop up in your hand.
0,Flash pop up in your hand.
0,Just about everything else about it
0,Just about everything else about it
0,It whines.
0,It whines.
1,Excellent  photos and features for the price
1,Excellent  photos and features for the price
1,"weight, folding mechanism, cupholders"
1,"weight, folding mechanism, cupholders"
1,Absolutely no redeeming qualities about this camera.
1,Absolutely no redeeming qualities about this camera.
0,Cannot upload ringtones or graphics - They must be bought. Awkward power connector.
0,Cannot upload ringtones or graphics - They must be bought. Awkward power connector.
0,"Picture quality poor, video runs less than 25fps, no preview screen, only 4MB memory."
0,"Picture quality poor, video runs less than 25fps, no preview screen, only 4MB memory."
0,Very pricey
0,Very pricey
0,Manual focus requires button pushing
0,Manual focus requires button pushing
1,"2xAAs,USB,NTSC Videos-sound, Semi pro, automatic lense cover,aluminium case"
1,"2xAAs,USB,NTSC Videos-sound, Semi pro, automatic lense cover,aluminium case"
0,Doesn't have anything special other than just a camera phone.
0,Doesn't have anything special other than just a camera phone.
1,Battery life; voice clarity; volume
1,Battery life; voice clarity; volume
0,Print quality is not as good as a more expensive printer
0,Print quality is not as good as a more expensive printer
0,"Battery life, Slow Message writing, No MMS or GPRS"
0,"Battery life, Slow Message writing, No MMS or GPRS"
0,bed
0,bed
1,"Nice pictures, affordable price"
1,"Nice pictures, affordable price"
0,"Can't change the faceplates, battery-life could be longer..."
0,"Can't change the faceplates, battery-life could be longer..."
0,A drop-in charger would be nice.
0,A drop-in charger would be nice.
1,Value for money.
1,Value for money.
1,"cheap,good print quality"
1,"cheap,good print quality"
0,Ink consumption is little too much.
0,Ink consumption is little too much.
1,"Style, Size, ease of use, pure simple feel of it."
1,"Style, Size, ease of use, pure simple feel of it."
0,"No AC adapter, cannot make movies, pictures taken indoors are poorer quality than outdoor ones"
0,"No AC adapter, cannot make movies, pictures taken indoors are poorer quality than outdoor ones"
0,The phone lacks ergonomics and you end up hunting for the controls.
0,The phone lacks ergonomics and you end up hunting for the controls.
0,Manual focus is slightly awkward; chromatic aberrations in bright sunlight
0,Manual focus is slightly awkward; chromatic aberrations in bright sunlight
1,"Aesthetics, Speakerphone, Battery Life"
1,"Aesthetics, Speakerphone, Battery Life"
1,very slim. nice design. big screen
1,very slim. nice design. big screen
1,"Size, ease of use, ability to link to PC for backup and faxing."
1,"Size, ease of use, ability to link to PC for backup and faxing."
1,easy to use
1,easy to use
0,Usually it doesn't
0,Must learn all the options! Many! Get extra battery! 
0,Must learn all the options! Many! Get extra battery! 
1,Cheap
1,Cheap
1,"A speedy printer, basic and economical. "
1,"A speedy printer, basic and economical. "
0,Ridiculously tacky.
0,Ridiculously tacky.
1,Durable
1,Durable
0,Battery life
0,Battery life
0,"Battery Time, Heat After Long Use, Reception, Screen Picks up Grime"
0,"Battery Time, Heat After Long Use, Reception, Screen Picks up Grime"
0,Big. Takes up alot of space on my desk though.
0,Big. Takes up alot of space on my desk though.
0,"Just prints b&amp;w, toners are costly"
0,"Just prints b&amp;w, toners are costly"
1,"small size!, convenient and easy usability, reasonable solid performance"
1,"small size!, convenient and easy usability, reasonable solid performance"
0,no battery indicator.
0,no battery indicator.
0,very very very very expensive
0,very very very very expensive
0,None
0,None
0,could use more memory
0,could use more memory
0,"buttons too small for my small fingers, not intuitive, difficult navigation, confusing menu nesting"
0,"buttons too small for my small fingers, not intuitive, difficult navigation, confusing menu nesting"
1,"Stylish, sturdy, and an improvement over its predecessor."
1,"Stylish, sturdy, and an improvement over its predecessor."
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty light, etc."
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty light, etc."
0,"No spot focus, slow ISO 100 sensitivity, feels kind of cheap but isn't."
0,"No spot focus, slow ISO 126 sensitivity, feels kind of cheap but isn't."
0,"No spot focus, slow ISO 168 sensitivity, feels kind of cheap but isn't."
0,"No spot focus, slow ISO 52 sensitivity, feels kind of cheap but isn't."
1,"Great Prints, Great Color"
1,"Great Prints, Great Color"
1,special tones
1,special tones
1,cost.
1,cost.
0,"Crappy camera, terrible colors and poor speaker volume, doesn't support MP3s"
0,Investment needed $200 to get this thing the way it should be.
0,Investment needed $343 to get this thing the way it should be.
0,Investment needed $350 to get this thing the way it should be.
0,"spendy, but worth it"
0,"spendy, but worth it"
0,patience required on high quality photo printing
0,patience required on high quality photo printing
1,"nice quality output (especially on coated paper), quiet"
1,"nice quality output (especially on coated paper), quiet"
0,No zoom
0,No zoom
0,None!
0,None!
1,"PRICE!, print quality, holds two ink cartridges"
1,"PRICE!, print quality, holds two ink cartridges"
0,Flip top easily broken; ringer stops working occasionally; horrible warranty program
0,Flip top easily broken; ringer stops working occasionally; horrible warranty program
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large phone book, transflash"
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large phone book, transflash"
0,Prohibitively expensive.
0,Prohibitively expensive.
0,"Antenna Close to Head, Some Problems with Call Quality"
0,"Antenna Close to Head, Some Problems with Call Quality"
1,Good reception. MP3 and Bluetooth capable.
1,Good reception. MP3 and Bluetooth capable.
0,"Loud, Slow To Start Up"
0,"Loud, Slow To Start Up"
0,"Digital zoom, 8MB memory stick, enter button, usb/video out cover."
0,"Digital zoom, 8MB memory stick, enter button, usb/video out cover."
0,"no optical zoom, sometimes get circles"
0,"no optical zoom, sometimes get circles"
0,Antenna on this phone isnt any good.
0,Antenna on this phone isnt any good.
0,Lack of shutter/aperature control. Complicated menu system for advanced features.
0,Lack of shutter/aperature control. Complicated menu system for advanced features.
1,"Quality of build, compact, ease of use, big 2&amp;quot; LCD display"
1,"Quality of build, compact, ease of use, big 2&amp;quot; LCD display"
0,Software interface can still confuse some
0,Software interface can still confuse some
0,Long battery recharge time.
0,Long battery recharge time.
1,"Smart design, reliable battery life, and clear calls."
1,"Smart design, reliable battery life, and clear calls."
0,price
0,price
0,"several seconds between shots, only 2x zoom, flash card eject button awkward"
0,"several seconds between shots, only 2x zoom, flash card eject button awkward"
1,"Changeable case, Ring tones, Good screen"
1,"Changeable case, Ring tones, Good screen"
0,"Small internal memory, included software not anything great"
0,"Small internal memory, included software not anything great"
1,"Good reception, assignable ringtones, easy to read screen and navigation, good bat life"
1,"Good reception, assignable ringtones, easy to read screen and navigation, good bat life"
0,"Slow, even on normal print jobs."
0,"Slow, even on normal print jobs."
0,mechanisms stick after awhile
0,mechanisms stick after awhile
1,"Great image quality, stylish, compact, take-anywhere, useful, impressive"
1,"Great image quality, stylish, compact, take-anywhere, useful, impressive"
1,Good picture quality
1,Good picture quality
0,THE HEADPHONE JACK! Static.
0,THE HEADPHONE JACK! Static.
0,"battery doesn't last long, phone directory is not easy to use"
0,"battery does not last long, phone directory is not easy to use"
1,Inexpensive and Reliable
1,Inexpensive and Reliable
0,"Small storage basket, no built in cup holders."
0,"Small storage basket, no built in cup holders."
0,"Lens Cap, Expensive Battery"
0,"Lens Cap, Expensive Battery"
1,"Thin, sexy, bright display, all the bells and whistles"
1,"Thin, sexy, bright display, all the bells and whistles"
0,You can't get through certain mall doors.
0,You can't get through certain mall doors.
0,You cannot get through certain mall doors.
1,"Moderately fast printing, multifunctionality"
0,"Features, user friendliness"
0,"Features, user friendliness"
0,"digital zoom gets pretty bad picture, but thats on all digital zoom"
0,"digital zoom gets pretty bad picture, but thats on all digital zoom"
1,"Compact, loaded with features, displays are easy to customize"
1,"Compact, loaded with features, displays are easy to customize"
0,"Battery life, no image editing software"
0,"Battery life, no image editing software"
0,"display went bad, but they replaced within days"
0,"display went bad, but they replaced within days"
0,Battery life
0,Battery life
0,Startup Speed
0,Startup Speed
0,"To many to list- chiefly, difficulty with programming phone book and reception."
