class,text
1,"if s&m seems like a strange route to true love , maybe it is , but it 's to this film 's -lrb- and its makers ' -rrb- credit that we believe that that 's exactly what these two people need to find each other -- and themselves ."
1,"If s&m seems to be a strange road to true love, maybe it is, but it is to this film - lrb- and its manufacturers - rrb- credit that we believe that this is exactly what these two people need to be - and they themselves."
1,there are some movies that hit you from the first scene and you know it 's going to be a trip .
1,There are movies that hit you from the first scene and you know it's going to be a trip.
0,a great script brought down by lousy direction .
0,A great script brings down the wrong direction.
1,"on the granger movie gauge of 1 to 10 , the powerpuff girls is a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience ."
1,"on the movie barber gauge from 1 to 10, the powerpuff girls is a fast, frenzied, funny, even punny 6 -- specifically intended for a level school audience."
1,"last orders nurtures the multi-layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be embraced ."
1,"last orders nourishes the multi-layers of his characters, allowing us to remember that life is finally a bet and the last orders must be embraced."
0,a feeble tootsie knockoff .
0,A weak knockoff botsie.
0,ends up offering nothing more than the latest schwarzenegger or stallone flick would .
0,eventually offer nothing more than the last schwarzenegger or stalone flick.
1,"amy and matthew have a bit of a phony relationship , but the film works in spite of it ."
1,"Amy and matthew have a little false relationship, but the film works despite it."
0,"no new plot conceptions or environmental changes , just different bodies for sharp objects to rip through ."
0,"no new plot designs or environmental changes, just different bodies for sharp objects to tear."
1,"unfolds in a low-key , organic way that encourages you to accept it as life and go with its flow ."
1,takes place in an organic low-key way that encourages you to accept it as life and go with its flow.
1,kinnear ... gives his best screen performance with an oddly winning portrayal of one of life 's ultimate losers .
1,Kinnear... gives his best screen performance with a strangely winning image of one of the ultimate losers of life.
1,but mr. polanski creates images even more haunting than those in mr. spielberg 's 1993 classic .
1,But M. polanski created images that were even more haunting than those of Mr. spielberg's 1993 classic.
1,"the son of the bride 's humour is born out of an engaging storyline , which also is n't embarrassed to make you reach for the tissues ."
1,"the son of the bride's humor was born of an exciting story, which is not embarrassed also to make you reach for the fabrics."
1,"much credit must be given to the water-camera operating team of don king , sonny miller , and michael stewart ."
1,"a lot of credit has to be given to the team of operating the water-camera of don king, sonny miller, and michael stew."
0,insufferably naive .
0,unbearably naive.
1,`` the best disney movie since the lion king ''
1,`` the best disney movie since the king of the lion ''
1,able to provide insight into a fascinating part of theater history .
1,able to give an overview of a fascinating part of the history of the theatre.
0,"no , i hate it ."
0,"No, I hate it."
0,one of those so-so films that could have been much better .
0,one of those movies that could have been much better.
0,daughter from danang reveals that efforts toward closure only open new wounds .
0,Danang's daughter reveals that efforts to close only open new wounds.
1,"the far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past ."
1,"the distant future can be great to consider, but from the detailed period to the questions of the heart, this film is the most transporting when it remains in the past."
0,"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting ."
0,"non sensory, dull `` cyber-horror'' cop is a dark exercise, hollow in flat fears and bad act."
1,"this is an extraordinary film , not least because it is japanese and yet feels universal ."
1,"It is an extraordinary film, especially because it is Japanese and yet feels universal."
1,"-lrb- reynolds -rrb- takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch ."
1,"-lrb- reynolds -rrb- takes a classic story, launches attractive and talented actors and uses a beautiful landscape to create a feature film that is terribly fun to watch."
0,"an ugly , revolting movie ."
0,"A ugly, revolting movie."
0,"too stagey , talky -- and long -- for its own good ."
0,"too stylish, chatty -- and long -- for his own good."
1,"while broomfield 's film does n't capture the effect of these tragic deaths on hip-hop culture , it succeeds as a powerful look at a failure of our justice system ."
1,"While the broomfield film does not capture the effect of these tragic deaths on hip-hop culture, it succeeds as a powerful look at a failure of our justice system."
0,bad movie .
0,Bad movie.
0,"an exit sign , that is ."
0,"An exit panel, that is."
0,"well , this movie proves you wrong on both counts ."
0,"Well, this movie proves you're both wrong."
1,"the movie enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle ."
1,"The film enters a realm where few non-porn movies adventure, and meets as darkly funny, energetic, and surprisingly sweet."
0,"muddled , melodramatic paranormal romance is an all-time low for kevin costner ."
0,"muddy, melodramatic paranormal romance is a low of all time for kevin costner."
0,"franco is an excellent choice for the walled-off but combustible hustler , but he does not give the transcendent performance sonny needs to overcome gaps in character development and story logic ."
0,"Franco is an excellent choice for the walled but combustible oyster, but it does not give the transcendent performance sonny needs to overcome the gaps in the development of the characters and the logic of history."
0,"did no one on the set have a sense of humor , or did they not have the nerve to speak up ?"
0,"Nobody on the set had a sense of humor, or didn't they have the courage to talk?"
0,"unfortunately , that 's precisely what arthur dong 's family fundamentals does ."
0,"Unfortunately, this is precisely what the fundamentals of Arthur Dong's family do."
1,leigh makes these lives count .
1,Leigh counts these lives.
1,some remarkable achival film about how shanghai -lrb- of all places -rrb- served jews who escaped the holocaust .
1,a remarkable achival film about how shanghai -lrb- from all places -rrb- served Jews who escaped the Holocaust.
1,toes the fine line between cheese and earnestness remarkably well ; everything is delivered with such conviction that it 's hard not to be carried away .
1,toes the fine line between cheese and seriousness remarkably well; everything comes with such a conviction that it is difficult not to be carried away.
0,one of the most highly-praised disappointments i 've had the misfortune to watch in quite some time .
0,One of the most appreciated disappointments I've had the misfortune of watching for a while.
0,"replacing john carpenter 's stylish tracking shots is degraded , handheld blair witch video-cam footage ."
0,"replacement of john framer's stylish follow-up shots is degraded, brackish hand witchcraft film."
1,"ultimately , `` mib ii '' succeeds due to its rapid-fire delivery and enough inspired levity that it ca n't be dismissed as mindless ."
1,"In the end, ""mib ii "" succeeds because of its rapid delivery of fire and enough levitation inspired that it is not rejected as without spirit."
