class,text
1,"Easy to use, good quality images, nice features, good for most people"
1,"Easy to use, good quality images, nice features, good ! for most people"
0,could use more memory
0,could use ! more memory
1,very slim. nice design. big screen
1,very slim. nice : design. big screen
1,"Clear, crisp and realistic color printing"
0,Big. Takes up alot of space on my desk though.
0,Big. Takes ! up alot of space on my desk ! though.
1,"Clear, crisp and . realistic color printing"
0,Prohibitively expensive.
0,Prohibitively ; expensive.
1,Nice idea
1,; Nice idea
0,"spendy, but worth it"
0,", spendy, but worth it"
1,overall beauty
1,overall ? beauty
1,Priced right for a beginner.
1,"Priced right for a , beginner."
0,"Loud, Slow To Start Up"
0,"Loud, Slow To ; Start Up"
1,"Thin, sexy, bright display, all the bells and whistles"
1,"Thin, sexy, bright display, ? all the bells and whistles"
1,Inexpensive and Reliable
1,Inexpensive . and Reliable
0,None!
0,. None!
0,"Crappy camera, terrible colors and poor speaker volume, does not support MP3s"
0,"Crappy camera, terrible colors ? and ; poor speaker volume, does not support MP3s"
0,"Battery life, no image editing software"
0,"Battery . life, no image editing software"
0,No zoom
0,No ! zoom
1,"Smart design, reliable battery life, and clear calls."
1,": Smart design, reliable battery life, and clear calls."
1,"PRICE!, print quality, holds two ink cartridges"
1,"PRICE!, print quality, holds two ink . cartridges"
0,Baterry life is momentary
0,Baterry life ? is momentary
1,"Small Size, BIG Capabilities"
1,"Small ! Size, BIG Capabilities"
1,Absolutely no redeeming qualities about this camera.
1,Absolutely no redeeming ! qualities about this camera.
0,"Features, user friendliness"
0,"Features, ! user friendliness"
1,"Incredible value, black text print quality."
1,"Incredible value, black : text print quality."
0,bed
0,", bed"
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty light, etc."
1,"whitish blue . backlight color, animated menus, clear sound, . cheep price, pretty light, etc."
0,Ink consumption is little too much.
0,Ink consumption is little ? too much.
0,"Battery Time, Heat After Long Use, Reception, Screen Picks up Grime"
0,"Battery Time, Heat . After Long Use, Reception, Screen Picks up Grime"
0,Very pricey
0,. Very pricey
0,"Battery life, Slow Message writing, No MMS or GPRS"
0,"Battery life, Slow Message writing, No MMS or , GPRS"
0,"display went bad, but they replaced within days"
0,"display went . bad, but they replaced within days"
1,"Functional (Vibrate & high mode, etc.)"
1,"Functional (Vibrate . & high mode, etc.)"
0,A drop-in charger would be nice.
0,"A drop-in , charger would be nice."
0,"Slow, even on normal print jobs."
0,"Slow, even on normal , print jobs."
1,Good picture quality
1,Good picture : quality
0,Doesn't have anything special other than just a camera phone.
0,Doesn't have anything special other than ? just a camera ? phone.
1,"A speedy printer, basic and economical. "
1,"? A speedy printer, basic and economical. "
1,"small, light, long battery, direct-connect"
1,"small, light, long battery, . direct-connect"
1,"small size!, convenient and easy usability, reasonable solid performance"
1,", small size!, convenient and easy usability, reasonable solid performance"
1,"Changeable case, Ring tones, Good screen"
1,"; Changeable case, Ring tones, Good screen"
0,Must learn all the options! Many! Get extra battery! 
0,"Must , learn all the options! Many! Get extra battery! . "
1,"Quality of build, compact, ease of use, big 2&amp;quot; LCD display"
1,"Quality of build, compact, ease , of use, big 2&amp;quot; LCD display"
0,no battery indicator.
0,! no battery indicator.
1,"Superb image quality, no mangenta/blue/red in your pics!Hi sharpness, 8M card to get started."
1,"Superb image quality, . no mangenta/blue/red in ! your pics!Hi sharpness, 8M card to get started."
1,"Great Prints, Great Color"
1,"? Great Prints, Great Color"
0,"Flash, Pictures, Software, Drivers"
0,"Flash, Pictures, ! Software, Drivers"
1,"Excellent call quality, bluetooth, clamshell form factor, sexy face plate."
1,"Excellent call quality, bluetooth, . clamshell form factor, sexy face : plate."
0,The phone lacks ergonomics and you end up hunting for the controls.
0,"The phone lacks ergonomics , and you end up hunting for ? the controls."
0,It whines.
0,: It whines.
0,"no optical zoom, sometimes get circles"
0,"no optical zoom, sometimes get ? circles"
