class,text
0,"well , this movie proves you wrong on both counts ."
0,"well , this cinematic proves you wrong on both counts ."
0,"well , this filmmaking proves you wrong on both counts ."
0,"well , this movie proves you flawed on both counts ."
0,"well , this movie proves you wrong on both tally ."
0,"no new plot conceptions or environmental changes , just different bodies for sharp objects to rip through ."
0,"no new plot conceptions or environmental alterations , just different bodies for sharp objects to rip through ."
0,"no new plot conceptions or environmental changes , just diverse bodies for sharp objects to rip through ."
0,"no new plot conceptions or environmental changes , just multiple bodies for sharp objects to rip through ."
0,"no new plot conceptions or environmental modify , just different bodies for sharp objects to rip through ."
0,"an exit sign , that is ."
0,"an departing sign , that is ."
0,"an exiting sign , that is ."
0,"an outgoing sign , that is ."
0,"an sortie sign , that is ."
0,"it 's so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget jones 's diary ."
0,"it 's so monotonous that it makes you forgive every fake , dishonest , amusing and , ultimately , more perceptive moment in bridget jones 's diary ."
0,"it 's so tedious that it makes you forgive every bogus , dishonest , entertaining and , ultimately , more perceptive moment in bridget jonesy 's diary ."
0,"it 's so tedious that it makes you forgive every fake , fraudulent , droll and , ultimately , more perceptive moment in bridget jones 's diary ."
0,"it 's so tedious that it makes you forgive every spurious , dishonourable , entertaining and , ultimately , more perceptive moment in bridget jones 's diary ."
1,"too damn weird to pass up , and for the blacklight crowd , way cheaper -lrb- and better -rrb- than pink floyd tickets ."
1,"too damn bizarro to pass up , and for the blacklight crowd , way cheaper -lrb- and better -rrb- than pinks floyd tickets ."
1,"too fucking weird to pass up , and for the blacklight crowd , way cheaper -lrb- and better -rrb- than pink floyd banknote ."
1,"too geez freaky to pass up , and for the blacklight crowd , way cheaper -lrb- and better -rrb- than pink floyd tickets ."
1,"too motherfucking nosy to pass up , and for the blacklight crowd , way cheaper -lrb- and better -rrb- than pink floyd tickets ."
1,"except it 's much , much better ."
1,"except it 's much , much optimum ."
1,"except it 's very , much better ."
1,"excepting it 's much , much better ."
1,"salvo it 's much , much better ."
1,"if you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film ."
1,"if you 're as gratified listening to movies as you are watching them , and the deceleration parade of human frailty fascinates you , then you 're at the right film ."
1,"if you 're as happy listening to cinema as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right filmmaking ."
1,"if you 're as happy listening to film as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right cinematography ."
1,"if you 're as happy listening to kino as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right cinematographic ."
0,"... an incredibly heavy-handed , manipulative dud that feels all too familiar ."
0,"... an appallingly heavy-handed , manipulative dud that feels all too familiar ."
0,"... an uncommonly heavy-handed , manipulative dud that feels all too familiar ."
0,"... an unusually heavy-handed , manipulative dud that feels all too familiar ."
0,"... an vastly heavy-handed , manipulative dud that feels all too familiar ."
1,the charms of the lead performances allow us to forget most of the film 's problems .
1,the charms of the lead performances allow us to forget most of the cinema 's problems .
1,the charms of the lead performances allow us to forget most of the film 's difficulty .
1,the charms of the lead performances allow us to forget most of the movie 's problems .
1,the enchanting of the lead performances allow us to forget most of the film 's problems .
1,there 's a lot of tooth in roger dodger .
1,there 's a batch of tooth in roger dodger .
1,there 's a lot of dent in roger dodger .
1,there 's a lot of tooth in roget dodger .
1,there 's a lot of toothache in roger dodger .
0,lacks depth .
0,lack depth .
0,lacking depth .
0,lacks depths .
0,shortage depth .
1,"by not averting his eyes , solondz forces us to consider the unthinkable , the unacceptable , the unmentionable ."
