class,text
4,Where are the headquarters of Eli Lilly ?
1,What does a deltiologist collect ?
3,What author of the Days of Our Lives Cookbook signed on in 198 as Liz Chandler in TV 's Days of Our Lives ?
1,What kind of wine is Spumante ?
1,What mammal of North America is the world 's longest-lived for its size ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
3,What female painter produced primitives of rural New England life ?
3,Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?
2,What does SIDS stand for ?
0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
4,What city is near the mouth of the Amazon ?
2,What does A&W of root beer fame stand for ?
2,What is the abbreviation for micro ?
0,What is the difference between the Koran and The Bible ?
2,What is DTMF ?
5,How long does the average domesticated ferret live ?
0,How did people respond to the idea of the first millenium ?
0,Why do they sterilize the needle for lethal injection ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
4,"Where on the Web is Adventours Tours from Sydney , Australia ?"
4,What stadium do the Miami Dolphins play their home games in ?
4,What erupts every hour at Yellowstone National Park ?
5,When was the first Wall Street Journal published ?
2,What does SIDS stand for ?
0,What is the `` 7-minute cigarette '' ?
4,What continent pushes up the Executive Committee mountain range ?
5,How many chairs are shown in Vincent Van Gogh 's 188 work The Artist 's Room in Arles ?
0,What do bee hives do in cranberry bogs ?
2,What does e.g. stand for ?
4,What United States city produces the most oil ?
0,"What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?"
4,What are the four largest mountain ranges in the continental United States ?
0,What is tyvek ?
3,"What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?"
5,What year was Janet Jackson 's first album released ?
4,Where are the leading medical groups specializing in lung diseases ?
2,What is the abbreviation of General Motors ?
5,How fast does the fastest car go ?
0,What is a virtual IP address ?
5,How many double-word-score spaces are there on a Scrabble Crossword Game board ?
4,What are the ten safest American cities for pedestrians ?
5,What percentage of Americans own their homes ?
5,How long does a human live ?
0,How do birds find their way back to the same place every year ?
3,Who was the Charlie perfume woman ?
5,The Iraqis launched their attack on Kuwait on what day ?
0,What is saltpeter ?
0,How did the tradition of best man start ?
3,Who made the first airplane ?
4,What city 's theatrical district has been dubbed The Roaring Forties ?
4,What is one of the cities that the University of Minnesota is located in ?
2,What is the abbreviation of General Motors ?
1,What whisky is `` known by the company it keeps '' ?
5,When does the Bible say the seasons started ?
3,What future President became Senate majority whip under Harry Truman ?
0,What 's the motto of the Boy Scouts ?
0,What 's the meaning of the zoological term ruminant ?
5,How long does the average domesticated ferret live ?
3,Who was the Democratic nominee in the American presidential election ?
0,How can I get a CCT diagram ?
2,What does A&W of root beer fame stand for ?
2,What is the abbreviation of General Motors ?
1,What 1965 film had Jack Lemmon portraying a cartoonist ?
5,How long does it take the typical hen to lay 19 dozen eggs ?
0,What is porphyria ?
5,What percentage of the world 's plant and animal species can be found in the Amazon forests ?
1,What creature scares people in the film `` Jaws '' ?
5,How many web servers are there ?
0,Why do they call a hamburger a hamburger when there is no ham ?
4,Name a country that is developing a magnetic levitation railway system ?
0,What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?
5,What percent of world 's fresh water is found in Canada ?
3,What is Pittsburgh 's baseball team called ?
2,What does ` PSI ' stand for ?
4,On which Hawaiian island is Pearl Harbor ?
0,What is the circumorbital hematoma ?
2,What 's the abbreviation for trinitrotoluene ?
2,What is the acronym for the National Bureau of Investigation ?
2,What is the acronym for the National Bureau of Investigation ?
4,What is Bill Gates of Microsoft E-mail address ?
5,What is the date of Bastille Day ?
3,What major airline has the best safety record in the world ?
2,What does A&W of root beer fame stand for ?
1,What 's the hardest substance in the human body ?
0,How can someone become a federal agent ?
0,What are the powers and weaknesses of Green Lantern 's ring ?
4,Where is Windsor Castle ?
4,Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?
3,"Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?"
2,What is DSL ?
2,What does A&W of root beer fame stand for ?
4,What city 's theatrical district has been dubbed The Roaring Forties ?
5,What is the student population at the University of Massachusetts in Amherst ?
1,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
4,In what part of the world is Mozambique ?
1,What money was used by them ?
0,What is the origin of Boxing Day ?
0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
0,How can I get a CCT diagram ?
5,When is a woman most fertile ?
5,How many head injuries are there in recreational ice skating each year ?
5,How many different languages are spoken in Europe ?
2,What is the abbreviation for micro ?
5,What is the cost of the drugs used in tuberculosis treatments ?
0,What is the Home Rule Act ?
5,How much did the minimum wage amount to in 1991 ?
3,What 's Japan 's largest car manufacturer ?
4,What city is served by Logan International Airport ?
1,What terror of the sea did Johnny Horton sing about ?
0,What is the meaning of `` CPR '' ?
1,What did the pyramid-builders of Egypt mainly eat ?
5,How many electoral college votes does Colorado have ?
3,Who asked the musical question : `` Have you ever been to electric lady land ? ''
2,What is the abbreviation for micro ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
