class,text
0,What 's the motto of the Boy Scouts ?
0,What 's the mottN of the Boy Scouts ?
0,What 's the motto of the Boy ScEouts ?
0,What 's the motto of the Boy Scotus ?
0,Whta 's the motto of the Boy Scouts ?
2,What is the abbreviation of General Motors ?
2,What is the abberviation of General Motors ?
2,What is the abbeviation of General Motors ?
2,What is the abbreviation of Gederal Motors ?
2,What is the abbreviation of General Mtors ?
5,What is the student population at the University of Massachusetts in Amherst ?
5,What is the student population at the University of Masosachusetts in Amherst ?
5,What is the student population at the University of Massachusetts in Amhest ?
5,What is the student population at the University of Massahcusetts in Amherst ?
5,What is the student poulation at the University of Massachusetts in Amherst ?
2,What 's the abbreviation for trinitrotoluene ?
2,What 's the Mbbreviation for trinitrotoluene ?
2,What 's the abberviation for trinitrotoluene ?
2,What 's the abbreviation for rinitrotoluene ?
2,Wht 's the abbreviation for trinitrotoluene ?
0,What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?
0,What category does the color pink denote in the Trivial Pursuit BXaby Boomer Edition ?
0,What category does the color pink denote in the Trivial Pursuit Baby Boomer EdCition ?
0,What category does the color pink denote in the Trivial Pursuit Baby Boomer Ndition ?
5,When is a woman most fertile ?
5,When is a wman most fertile ?
5,When is a womaR most fertile ?
5,When is a woman most efrtile ?
5,Whne is a woman most fertile ?
0,What category does the color pnik denote in the Trivial Pursuit Baby Boomer Edition ?
4,What city is served by Logan International Airport ?
2,What is DSL ?
2,WQhat is DSL ?
2,What is DLS ?
2,What is DSbL ?
2,What is DtSL ?
4,What citmy is served by Logan International Airport ?
4,What city is served by Logan International AJirport ?
4,hWat city is served by Logan International Airport ?
4,What are the ten safest American cities for pedestrians ?
4,What are the tUn safest American cities for pedestrians ?
1,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
1,What agme do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
4,What is one of the cities that the University of Minnesota is located in ?
4,What is one of the citie that the University of Minnesota is located in ?
4,What is one of the icties that the University of Minnesota is located in ?
4,Whta is one of the cities that the University of Minnesota is located in ?
4,Wvat is one of the cities that the University of Minnesota is located in ?
1,What game do Stee McQueen and Edward G. Robinson play in The Cincinnati Kid ?
1,What game do Steve McQeuen and Edward G. Robinson play in The Cincinnati Kid ?
1,What gme do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
4,What are the ten safest American cities for pedestians ?
4,What are the ten safset American cities for pedestrians ?
4,Name a country that is developing a magnetic levitation railway system ?
4,Name a counry that is developing a magnetic levitation railway system ?
4,Name a country that is develoGing a magnetic levitation railway system ?
4,Name a country that is developing a magnetic levitation railway systm ?
4,Name a country that is developing a magnetic levitation railway systme ?
0,What is a virtual IP address ?
0,What is a virtual OP address ?
0,What is a virtual PI address ?
0,What is a virtula IP address ?
0,What is a vritual IP address ?
0,What is the origin of Boxing Day ?
0,What is the origin of BoxMng Day ?
0,What is the origin of Boxing Dary ?
0,What is the origmn of Boxing Day ?
0,What is the roigin of Boxing Day ?
5,How long does a human live ?
5,How along does a human live ?
5,How long does a hmuan live ?
5,How long does a human liwe ?
5,How long does a human lvie ?
1,What kind of wine is Spumante ?
1,What kind of Nine is Spumante ?
1,What kind of wine is Spmuante ?
1,What kind of wixne is Spumante ?
1,Whta kind of wine is Spumante ?
1,What does a deltiologist collect ?
0,What is porphyria ?
0,WZat is porphyria ?
0,Waht is porphyria ?
0,What is porphryia ?
0,hWat is porphyria ?
1,What does a deltiologist Hollect ?
1,What does a deltiologist cohllect ?
1,What does a deltiologist collec ?
4,What city is near the mouth of the Amazon ?
4,WMhat city is near the mouth of the Amazon ?
4,Wat city is near the mouth of the Amazon ?
4,What city is enar the mouth of the Amazon ?
4,Wht city is near the mouth of the Amazon ?
5,When does the Bible say the seasons started ?
5,When does the Bible sal the seasons started ?
5,When does the Bible say the seasons Cstarted ?
5,When does the Bible say the seasons staqrted ?
5,When does the Bile say the seasons started ?
1,What whisky is `` known by the company it keeps '' ?
1,What whisky is `` known by the comapny it keeps '' ?
1,What whisky is `` known by the company it kMeps '' ?
1,What whisky is `` known by the company it keep '' ?
1,Wht whisky is `` known by the company it keeps '' ?
5,How many web servers are there ?
5,Ho many web servers are there ?
5,How long does the average domesticated ferret live ?
5,How lng does the average domesticated ferret live ?
5,How long does the average domesticaetd ferret live ?
5,How long does the average domesticated ferret laive ?
5,How long does the average domesticated ferret livue ?
5,How any web servers are there ?
5,How many wb servers are there ?
5,How many weX servers are there ?
5,How much did the minimum wage amount to in 1991 ?
5,How muc did the minimum wage amount to in 1991 ?
5,How mucQh did the minimum wage amount to in 1991 ?
5,How much did the imnimum wage amount to in 1991 ?
5,How much did the minimum wae amount to in 1991 ?
5,How long does the average domesticated ferret live ?
5,How Blong does the average domesticated ferret live ?
5,How Bong does the average domesticated ferret live ?
5,How long does the average domesticated ferret lFive ?
5,Hwo long does the average domesticated ferret live ?
0,"What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?"
0,"What do Han Aaron , Jimmy Stewart , and Howard K. Smith have in common ?"
0,"What do Hank Aaron , JMimmy Stewart , and Howard K. Smith have in common ?"
0,"What do Hank Aaron , Jimmy Stewart , and Howard K. Smiath have in common ?"
0,"What do Hank Aaron , Jimmy Stewoart , and Howard K. Smith have in common ?"
5,What percentage of Americans own their homes ?
5,WhBat percentage of Americans own their homes ?
5,What percentagXe of Americans own their homes ?
5,What percentage of Americans own their ohmes ?
5,hWat percentage of Americans own their homes ?
2,What is the abbreviation of General Motors ?
2,What is the abbrevFation of General Motors ?
2,What is the abbreviation of General MoHtors ?
2,What is the abbreviation of General Mtoors ?
2,Wwat is the abbreviation of General Motors ?
5,How many electoral college votes does Colorado have ?
5,How amny electoral college votes does Colorado have ?
5,How many eectoral college votes does Colorado have ?
5,How many electoral cllege votes does Colorado have ?
5,How many electoral college votes does Clorado have ?
0,What is the difference between the Koran and The Bible ?
0,FWhat is the difference between the Koran and The Bible ?
