class,text
0,"forget the misleading title , what 's with the unexplained baboon cameo ?"
0,"forget misleading title , what 's with the unexplained baboon cameo ?"
1,a well-executed spy-thriller .
1,well-executed spy-thriller .
0,"he seems to want both , but succeeds in making neither ."
0,"replacing john carpenter 's stylish tracking shots is degraded , handheld blair witch video-cam footage ."
0,"replacing john carpenter 's stylish tracking shots is , handheld blair witch video-cam footage ."
0,"he seems to both , but succeeds in making neither ."
0,ends up offering nothing more than the latest schwarzenegger or stallone flick would .
0,ends offering nothing more than the latest schwarzenegger or stallone flick would .
1,the chateau cleverly probes the cross-cultural differences between gauls and yanks .
1,the chateau cleverly probes cross-cultural differences between gauls and yanks .
0,a grand fart coming from a director beginning to resemble someone 's crazy french grandfather .
0,a grand fart coming from a director beginning to resemble someone 's crazy grandfather .
0,shot like a postcard and overacted with all the boozy self-indulgence that brings out the worst in otherwise talented actors ...
0,like a postcard and overacted with all the self-indulgence that brings out the worst in otherwise talented actors ...
0,more tiring than anything .
0,more than anything .
0,a feeble tootsie knockoff .
0,a feeble knockoff .
1,evokes the style and flash of the double-cross that made mamet 's `` house of games '' and last fall 's `` heist '' so much fun .
1,evokes style and flash of the double-cross that made mamet 's `` house of games '' and last fall 's heist '' so much fun .
1,"over the years , hollywood has crafted a solid formula for successful animated movies , and ice age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor ."
1,"over the years , hollywood crafted a formula for successful animated movies , and ice age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of ."
1,able to provide insight into a fascinating part of theater history .
1,able provide insight into a fascinating part of theater history .
0,the master of disguise is awful .
0,the master disguise is awful .
0,blue crush is as predictable as the tides .
0,blue crush as predictable as the tides .
1,a zinger-filled crowd-pleaser that open-minded elvis fans -lrb- but by no means all -rrb- will have fun with .
1,a zinger-filled crowd-pleaser that elvis fans -lrb- but by no means all -rrb- will have fun with .
1,"you may leave the theater with more questions than answers , but darned if your toes wo n't still be tapping ."
1,"you may leave the theater with more questions answers , but darned your toes wo n't still be tapping ."
1,"like vardalos and corbett , who play their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and hilarious in ways you ca n't fake ."
1,"like vardalos and , who play their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and in ways you ca n't fake ."
1,"last orders nurtures the multi-layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be embraced ."
1,"last orders nurtures the multi-layers of its , allowing us to remember that life 's ultimately a gamble and last orders are to be ."
0,"i just saw this movie ... well , it 's probably not accurate to call it a movie ."
0,"i just saw this movie ... well , 's probably not accurate to call it a movie ."
1,cinematic poetry showcases the city 's old-world charm before machines change nearly everything .
1,cinematic poetry showcases the city 's old-world charm before change nearly everything .
0,"for a film about explosions and death and spies , `` ballistic : ecks vs. sever '' seems as safe as a children 's film ."
0,"a film about explosions and death and spies , `` ballistic : ecks vs. sever '' seems as safe a children 's film ."
0,these characters become wearisome .
0,characters become wearisome .
1,they can and will turn on a dime from oddly humorous to tediously sentimental .
1,they and will turn on a dime from oddly humorous to tediously sentimental .
1,an ingenious and often harrowing look at damaged people and how families can offer either despair or consolation .
1,an ingenious and often harrowing look at damaged people and how families can offer either despair consolation .
0,"offers big , fat , dumb laughs that may make you hate yourself for giving in ."
0,"offers , fat , dumb laughs that may make you hate yourself for giving in ."
1,"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film ."
1,"first-time writer-director serry a remarkable gift for storytelling with this moving , effective little film ."
1,it 's a day at the beach -- with air conditioning and popcorn .
1,it ' a day at the beach -- with air conditioning and popcorn .
1,"as part of mr. dong 's continuing exploration of homosexuality in america , family fundamentals is an earnest study in despair ."
1,"as part of mr. 's continuing exploration of in america , family fundamentals is an earnest study in despair ."
1,kinnear ... gives his best screen performance with an oddly winning portrayal of one of life 's ultimate losers .
1,kinnear ... gives his best performance with an oddly winning portrayal of one of life 's ultimate losers .
0,american chai encourages rueful laughter at stereotypes only an indian-american would recognize .
0,american chai encourages rueful at stereotypes only an indian-american would recognize .
1,"if the film fails to fulfill its own ambitious goals , it nonetheless sustains interest during the long build-up of expository material ."
1,"if the film fails fulfill its ambitious goals , it nonetheless sustains interest during the long build-up of expository material ."
1,"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough ."
1,"for those an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough ."
1,a subtle and well-crafted -lrb- for the most part -rrb- chiller .
1,a subtle and well-crafted -lrb- for the part -rrb- chiller .
1,the entire movie establishes a wonderfully creepy mood .
1,entire movie establishes a wonderfully creepy mood .
0,"too stagey , talky -- and long -- for its own good ."
0,"too , talky -- and long -- for its own good ."
1,"chicago offers much colorful eye candy , including the spectacle of gere in his dancing shoes , hoofing and crooning with the best of them ."
1,"chicago much eye candy , including the spectacle of gere in his dancing shoes , hoofing and crooning with the best of them ."
1,"very amusing , not the usual route in a thriller , and the performances are odd and pixilated and sometimes both ."
1,"very amusing , not the usual route in a , and the performances are odd and pixilated and sometimes both ."
1,despite its flaws ... belinsky is still able to create an engaging story that keeps you guessing at almost every turn .
1,despite flaws ... belinsky is still able to create an engaging story keeps you guessing at almost every turn .
1,it 's better than the phantom menace .
1,it ' better than the phantom menace .
0,the whole talking-animal thing is grisly .
0,the talking-animal thing is grisly .
1,"a gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable ."
1,"a gem a romantic crime comedy that turns out to be clever , amusing and unpredictable ."
1,"the trick when watching godard is to catch the pitch of his poetics , savor the pleasure of his sounds and images , and ponder the historical , philosophical , and ethical issues that intersect with them ."
1,"the trick when godard is to the pitch of his poetics , savor the pleasure of his sounds and images , and ponder the historical , philosophical , and ethical issues that intersect with ."
1,"this rush to profits has created a predictably efficient piece of business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you had n't seen , which , in this day and age , is of course the point ."
1,"this rush profits has a predictably efficient piece of business notable largely its overwhelming creepiness , for an eagerness to create you wish you had n't seen , which , in this day and age , is of course the point ."
0,"-lrb- johnnie to and wai ka fai are -rrb- sure to find an enthusiastic audience among american action-adventure buffs , but the film 's interests may be too narrow to attract crossover viewers ."
0,"-lrb- johnnie to and wai ka fai are -rrb- sure to find an audience among american action-adventure buffs , but the film 's interests may be to attract crossover viewers ."
0,"this mild-mannered farce , directed by one of its writers , john c. walsh , is corny in a way that bespeaks an expiration date passed a long time ago ."
0,"mild-mannered farce , directed by one of its writers , john c. walsh , is corny in way that bespeaks an expiration date passed a long time ago ."
0,"swinging , the film makes it seem , is not a hobby that attracts the young and fit ."
0,"swinging , film makes it seem , is not a hobby that attracts the young and fit ."
0,"by the time you reach the finale , you 're likely wondering why you 've been watching all this strutting and posturing ."
0,"by the time you reach the , you 're likely wondering why you 've been watching all this and posturing ."
0,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going .
0,a dumb movie with dumb characters doing dumb things and you have to really dumb not see where this is going .
0,"wendigo wants to be a monster movie for the art-house crowd , but it falls into the trap of pretention almost every time ."
0,"wendigo wants be a monster for the art-house crowd , but it falls into the trap of pretention almost every time ."
0,"narratively , trouble every day is a plodding mess ."
0,"narratively , every day is a plodding mess ."
0,it 's horribly depressing and not very well done .
0,it 's depressing and not very well done .
0,there 's no energy .
0,'s no energy .
0,"priggish , lethargically paced parable of renewal ."
0,", lethargically paced parable of renewal ."
1,leigh makes these lives count .
1,leigh makes lives count .
1,"too damn weird to pass up , and for the blacklight crowd , way cheaper -lrb- and better -rrb- than pink floyd tickets ."
1,"too damn to pass up , and for the blacklight crowd , way cheaper -lrb- and better -rrb- than pink tickets ."
0,... silly humbuggery ...
0,... humbuggery ...
1,"that jack nicholson makes this man so watchable is a tribute not only to his craft , but to his legend ."
1,"that jack nicholson makes this man so watchable is a tribute not only to his , but his legend ."
0,... silly humbuggery ...
0,knockaround guys plays like a student film by two guys who desperately want to be quentin tarantino when they grow up .
0,guys plays a student film by two guys who desperately want to be quentin tarantino when they grow up .
0,"it plods along methodically , somehow under the assumption that its `` dead wife communicating from beyond the grave '' framework is even remotely new or interesting ."
0,"it along methodically , somehow under the assumption that its `` dead wife communicating from beyond the grave '' framework is even new or interesting ."
0,"snoots will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , but rarely does an established filmmaker so ardently waste viewers ' time with a gobbler like this ."
0,"snoots will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , rarely does an established filmmaker so ardently viewers ' time with a gobbler this ."
0,do n't be fooled by the impressive cast list - eye see you is pure junk .
0,do be fooled by the impressive cast list - eye see you is pure junk .
1,elvira fans could hardly ask for more .
1,elvira fans could ask for more .
1,"by not averting his eyes , solondz forces us to consider the unthinkable , the unacceptable , the unmentionable ."
1,"by not averting his eyes , forces us to consider the unthinkable , the unacceptable , the unmentionable ."
0,"wes craven 's presence is felt ; not the craven of ' a nightmare on elm street ' or ` the hills have eyes , ' but the sad schlock merchant of ` deadly friend . '"
