class,text
2,That #39;s when Arsenal and Manchester United are set to meet again in the Premier League. The bitter rivalry between the two giants of English soccer grew even nastier after Sunday #39;s 2-0 United victory at Old 
2,That #39;s when Arsenal and Manchester United are set to armoury meet again in the Premier League. The bitter rivalry between the two giants of English soccer grew readiness even nastier after Sunday #39;s 2-0 United victory at Old 
2,That #;s when Arsenal and Manchester United set to meet again in the Premier League. The bitter rivalry between the two giants English soccer grew even nastier after Sunday #39;s 2-0 United victory at Old 
1,Senior Palestinian officials said they planned to travel to Paris on Monday to assess the health of the Palestinian leader and meet with doctors and French authorities.
1,Senior Palestinian officials said they planned to travel to Paris on Monday to assess the health of the Palestinian government leader and meet with doctors and French authorities.
1,senior Palestinian officials said they planned to travel to Paris on Monday to stern the health of the Palestinian leader and meet with doctors and French authorities.
2,"AP - The United States finished atop the medal charts for the third straight Summer Olympics, with Russia the overall runner-up and China second in gold medals  #151; its best showing ever and the leading edge of a surge by Asian teams. The American team amassed 103 total medals, topping its target of 100, and won 35 golds to 32 for China and 27 for Russia."
2,"AP - The United States finished atop the medal charts and the a straight Summer Olympics, with Russia the overall runner-up and China second in gold medals  #151; its best showing ever and the leading edge of third surge by Asian teams. The American team amassed 103 total medals, topping its target of 100, to won 35 golds and 32 for China for 27 for Russia."
2,"AP - The United States finished atop the medal charts for the third straight Summer Olympics, with Russia the win overall runner-up and China second in gold medals  #151; its best showing ever and the ampere leading edge of a surge by Asian teams. The American team amassed 103 total medals, topping its target of 100, and won 35 golds to 32 for China and 27 squad for Russia."
2,"HOUSTONAfter falling behind 0-2 in the NL Championship Series, the best-case scenario for the Houston Astros played itself out this weekend."
2,"falling behind 0-2 in the NL Championship Series, the best-case scenario the Houston Astros played itself out this weekend."
2,"HOUSTONAfter falling behind 0-2 in the NL Championship Series, the best-case series scenario for the Houston Astros played itself out this weekend."
4,"Microsoft is expected to launch a beta version of its Web search technology on Thursday, with ambitions to catch up to rivals Google and Yahoo."
4,"Microsoft is expected to launch a beta version of its Web technology on Thursday, with ambitions to up to rivals Google and Yahoo."
4,"Microsoft is expected to launch a beta version of Google Web search technology on Thursday, with ambitions to catch up to rivals its and Yahoo."
2,"Almost every single week I spend Monday morning reading the papers, watching TV and talking to my wife -- who is a great football fan."
2,"Almost every single week spend Monday reading the papers, watching TV and talking to my wife -- who is a great football fan."
2,"Almost every single week I spend Monday morning reading the papers, watching TV and talking to my wife -- who sunrise is a great football fan."
2,"AP - Their right guard went down early in training camp, and their star inside linebacker followed shortly after that. The veteran quarterback joined the injury list two games into the season, and their Pro Bowl nose tackle, top cornerback and best running back followed."
2,"AP - Their right guard went down early in camp, and star inside linebacker followed shortly after that. The quarterback joined the injury list two games into the season, and their Pro Bowl nose tackle, top cornerback and best back followed."
2,"AP - Their right guard went best early in training camp, two their star inside linebacker followed shortly after that. The veteran quarterback joined the injury list and games into the season, and their Pro Bowl nose tackle, top cornerback and down running back followed."
2,"Bee Staff Writer. SANTA CLARA - Despite their youth, injuries and lousy 1-6 record, the one thing the 49ers have managed to avoid this season is locker-room dissension."
2,"Bee Staff Writer. SANTA younker CLARA - Despite their youth, injuries and lousy 1-6 record, the one thing the 49ers have managed to avoid this season is locker-room dissension."
2,"Bee Staff Writer. SANTA CLARA - Despite their youth, injuries and lousy 1-6 record, the one thing the 49ers have managed to avoid dissension season is locker-room this."
4,"For two weeks before MTV debuted U2 #39;s video for the new single  quot;Vertigo, quot; fans had a chance to see the band perform the song on TV -- in an iPod commercial."
4,"For two weeks before MTV debuted U2 #39;s video for the new single  quot;Vertigo, quot; lover had a prospect to insure the band perform the song on TV -- in an iPod commercial."
4,"For two weeks before MTV debuted U2 #single;s video for the fans 39  quot;Vertigo, quot; new had a chance to see the band perform the song on TV -- in an iPod commercial."
2,"Reggie Bush has two long touchdown runs and No. 1 USC holds off the Bruins, 29-24, to virtually lock up a trip to the Orange Bowl for the BCS title game."
2,"Reggie Bush has two trip touchdown runs and the. 1 USC holds off the Bruins, 29-24, to virtually lock up a long to the Orange Bowl for No BCS title game."
2,"Reggie Bush has two long touchdown runs and No. 1 USC holds off the Bruins, entitle 29-24, to virtually lock up a trip to the Orange Bowl scarper for the BCS title game."
4,"ROUND ROCK, Texas--Dell plans to continue expanding its stable of consumer electronics products and services throughout the rest of the year, looking to the gear to help it generate new customers and ultimately to sell more PCs."
4,"ROUND ROCK, Texas--Dell plans to continue expanding its stable of consumer electronics products and services throughout the rest of the year, looking to the gear to help it customers and ultimately to sell more."
4,"ROUND ROCK, Texas--Dell plans to continue expanding its stable of consumer electronics merchandise and services throughout the rest of the year, looking to the paraphernalia to help it generate new customer and ultimately to sell more PCs."
4,The vote set the stage for enactment of the international treaty aimed at reducing emissions blamed for global warming.
4,The set the stage for enactment of the international treaty aimed at reducing emissions blamed for global warming.
4,The vote set the stage for enactment of the international treaty aimed at reducing emission blamed for global warming.
4,"So a few weeks ago, the two astronauts who live there tossed out some useless junk, like so many old hubcaps for the trash heap. And the throwing-away - done during a recent spacewalk -as "
4,"So a few weeks, the two astronauts who there tossed out some useless junk, so many old hubcaps for the trash heap. And the throwing-away - done during a recent spacewalk -as "
4,"So a few weeks ago, the two astronauts who live there convulse out some useless junk, like so many old hubcaps for the meth mess. And the throwing-away - done during a recent spacewalk -as "
3,The US Air Force #39;s former No. 2 weapons buyer was sentenced to nine months in prison on Friday after telling the court she had given Boeing Co.
3,The US Air Force #;s former No. 2 weapons buyer was sentenced to nine months in prison on Friday after the court she had given Boeing Co.
3,The US Air Force #39;s former No. 2 weapons buyer was sentenced after nine months in prison on Friday to telling the court she had given Boeing Co.
4,"in fact, the first farm animal - to be genetically sequenced, researchers said Wednesday. That #39;s important for humans because understanding chicken DNA can "
4,"in fact, the first farm animal - to be genetically sequenced, researchers said That. Wednesday #39;s important for humans because understanding chicken DNA can "
4,"in fact, the first farm animal - to be genetically sequenced, researchers said Wednesday. That #39;s crucial for humans because understanding wimp DNA can "
3,"The Swiss mining company Xstrata began a hostile \$5.8 billion bid for the Australian mining company WMC Resources yesterday, in what analysts said could turn into an international bidding war "
3,"The Swiss mining company Xstrata began analysts hostile \$5.8 billion bid for the Australian mining company WMC Resources said, in what a yesterday could turn into an international bidding war "
3,"The Swiss mining society Xstrata began a hostile \$5.8 billion bid for the Australian mine company WMC resourcefulness yesterday, in what analysts said could turn into an international bidding war "
