class,text
4,DNA methylation has been linked to many important biological phenomena .
4,DNA methylation has been linked to many important biologically phenomena .
4,DNA methylation has been linked to many important biology phenomena .
3,Clinical benefit was lower in patients with de-novo Thr790Met and exon 20 insertion mutation .
4,"Additionally , it was investigated if cheek cell FA composition correlates with the FA composition of plasma , red blood cells ( RBC ) and peripheral blood mononuclear cells ( PBMC ) before and during both interventions ."
4,"Additionally , it was investigated if cheek cell FA composition correlates with the FA makeup of plasma , rosso blood cells ( RBC ) and outlying blood mononuclear cells ( PBMC ) before and during both interventions ."
4,Knowledge among critical care nurses and their adherence to evidence-based guidelines for preventing ventilator-associated pneumonia is reported to be low .
4,Expertise among critical care nurses and their adherence to evidence-based directives for preventing ventilator-associated pneumonia is reported to be low .
4,Knowledge among critical care nurses and their adherence to evidence-based guidance for impeding ventilator-associated pneumonia is reported to be low .
4,"Apart , it was investigate if cheek cell FA composition correlates with the FA composition of plasma , rojo blood cells ( RBC ) and peripheral blood mononuclear cells ( PBMC ) before and during both interventions ."
1,The primary outcome was complete ulcer healing .
1,The primaries outcome was complete ulcer healing .
0,The purpose of this study was to determine whether 24 months of combined denosumab and teriparatide will increase hip and spine BMD more than either individual agent .
0,The objective of this study was to determine whether 24 months of combined denosumab and teriparatide will rising hip and spine BMD more than either individual agent .
0,The purpose of this explored was to determine whether 24 months of combined denosumab and teriparatide will raise hip and spine BMD more than either individual agent .
1,The primary outcome was complete ulcer curative .
4,Comparing individuals with SIS to those without shoulder pathology may provide information on the effects of TSM specifically in those with SIS .
4,Comparing individuals with SIS to those sans shoulder pathology may delivering information on the effects of TSM specifically in those with SIS .
4,Comparing individuals with SIS to those without shoulder pathology may affords information on the effects of TSM especially in those with SIS .
4,"The objectives were to determine whether pulmonary rehabilitation increased physical activity as assessed by the International Physical Activity Questionnaire ( IPAQ ) , and improved quality of life and symptoms as assessed by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Borg dyspnea index ( BDI ) ."
4,"The objectives were to determine whether pulmonary rehabilitation hiked physical activity as appraisal by the International Physical Activity Questionnaire ( IPAQ ) , and improved quality of life and symptoms as estimation by the St George breathing questionnaire for IPF ( SGRQ-I ) and the Borg dyspnea index ( BDI ) ."
4,"The objectives were to determine whether pulmonary rehabilitation increased physical activity as appraisals by the Internationale Physical Activity Questionnaire ( IPAQ ) , and improved quality of lives and symptoms as appraisals by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Borg dyspnea index ( BDI ) ."
0,"To assess the relative bioavailability of a new subcutaneous ( SC ) diclofenac hydroxypropyl b-cyclodextrin ( HPbCD ) formulation administered to three body sites : quadriceps , gluteus , and abdomen ."
0,"To assess the relative bioavailability of a new subcutaneous ( SC ) diclofenac hydroxypropyl b-cyclodextrin ( HPbCD ) formulate administered to three body sites : quadriceps , gluteus , and stomach ."
0,The existing research findings regarding the effects of lemongrass ( Cymbopogon citratus ) tea on renal function indices are conflicting and inconclusive .
0,The existing research conclusions regarding the implications of lemongrass ( Cymbopogon citratus ) tea on renal function indices are conflicting and inconclusive .
0,The existing research findings regarding the influence of lemongrass ( Cymbopogon citratus ) tea on renal function indices are confrontational and inconclusive .
0,"To assess the relative bioavailability of a new subcutaneous ( SC ) diclofenac hydroxypropyl b-cyclodextrin ( HPbCD ) formulation manage to tre body sites : quadriceps , gluteus , and abdomen ."
4,Date 22nd July 2011 .
4,Date 22nd June 2011 .
4,Dated 22nd July 2011 .
0,The objective of this studying was to explored the ramifications of hypotonic and isotonic oral mannitol on intestinal distention and fluorine-18 fluorodeoxyglucose ( ( 18 ) F-FDG ) intake in PET/computed tomography ( CT ) imaging .
3,"In this population , BRCA-1 methylation was associated with a significant decrease in DFS events suggesting a better prognosis and potentially retained activity of DNA-damaging agents ."
3,"In this population , BRCA-1 methylation was associated with a significant declined in DFS events suggesting a better prophesy and potentially retained activity of DNA-damaging agents ."
1,"Additionally , PSD was applied once per week during the treatment ."
1,"Additionally , PSD was applied once per week during the processing ."
1,"Additionally , PSD was applied once per week during the treat ."
3,"In this population , BRCA-1 methylation was associated with a significant decrease in DFS happenings implying a better prognosis and potentially retained activity of DNA-damaging agents ."
3,These effects do not appear to explain the glucose-lowering effect of rosiglitazone .
3,Ces effects do not appear to explain the glucose-lowering effect of rosiglitazone .
3,These effects do not appear to clarifying the glucose-lowering effect of rosiglitazone .
3,Clinical benefit was lower in patients with de-novo Thr790Met and exon 20 insertion mutations .
3,Clinical benefit was lower in patient with de-novo Thr790Met and exon 20 insertion mutations .
1,123 older adults with chronic and primary insomnia .
1,123 aging adults with chronic and primary insomnia .
1,123 older adults with chronic and primary drowsiness .
4,"Standard Trauma Focused Cognitive Behavioral Therapy may be insufficient for children traumatized by exposure to interparental violence , given the pervasive impact of interparental violence on the family system ."
4,"Standard Trauma Focused Cognitive Behavioral Therapy may be insufficient for enfants traumatized by exposures to interparental violence , given the pervasive impact of interparental violence on the family system ."
4,These individual barriers might be addressed though patient navigation interventions .
4,Several studies indicate that increasing the alimentary limb length in gastric bypass surgery produces only a minor improvement of excess BMI loss .
4,Differing studies indicate that broaden the alimentary limb length in gastric bypass surgery produces only a minor improvement of excess BMI loss .
4,Several studies indicate that augmentation the alimentary limb length in gastric bypass surgeries produces only a minor improvement of excess BMI loss .
4,These individual barriers might be addressed whilst patient navigation interventions .
4,These individual barriers might be dealt though patient navigation interventions .
4,"The primary objective of this study was to assess the effect of teduglutide on gastric emptying of liquids in healthy subjects , as measured by the pharmacokinetics of acetaminophen ."
4,"The primary objective of this investigating was to assess the effect of teduglutide on gastric emptying of liquids in healthy item , as measured by the pharmacokinetics of acetaminophen ."
4,"The primary objective of this study was to assess the effect of teduglutide on gastric emptying of liquid in sano subjects , as measured by the pharmacokinetics of acetaminophen ."
4,Introducing of calcineurin inhibitors had led to improved survival rates in liver transplant recipients .
1,"After each LC , intervention group subjects received video-based coaching by a surgeon , utilizing an adaptation of the GROW ( Goals , Reality , Options , Wrap-up ) coaching model ."
1,"After each LC , interference group item received video-based coaching by a surgeon , utilizing an adaptation of the GROW ( Goals , Reality , Options , Wrap-up ) coaching model ."
1,"After each LC , intervention group questions received video-based coaching by a surgeon , use an adaptation of the GROW ( Goals , Reality , Options , Wrap-up ) coaching model ."
2,The accumulated expelled volumes for an hour were in favor of the ASCD group .
3,Meropenem at 1000mg over 30 minutes achieved a similar % TMIC to meropenem at 500mg given over 3 hours .
3,Meropenem at 1000mg over 30 minutes accomplished a similar % TMIC to meropenem at 500mg given over 3 hours .
3,Meropenem at 1000mg over 30 minutes achieved a similar % TMIC to meropenem at 500mg awarded over 3 hours .
2,The accumulated expelled volumes for an hora were in favor of the ASCD group .
2,The accumulated expelled volumes for an hour were in favor of the ASCD panels .
0,The objective of this study was to explore the effects of hypotonic and isotonic oral mannitol on intestinal distention and fluorine-18 fluorodeoxyglucose ( ( 18 ) F-FDG ) intake in PET/computed tomography ( CT ) imaging .
0,The objective of this examining was to explore the impact of hypotonic and isotonic oral mannitol on gastrointestinal distention and fluorine-18 fluorodeoxyglucose ( ( 18 ) F-FDG ) intake in PET/computed tomography ( CT ) imaging .
3,"Consistent with the hypothesis that ALS is a multisystem disorder , this deficit is related to disease in prefrontal regions ."
3,"Consistent with the hypothesis that ALS is a multisystem chaos , this deficit is related to disease in prefrontal regions ."
2,The mean LOS for the standard practice cohort was 5.3 4.6 days versus calculated LOS using the PCT guidance pathway of 3.7 2.8 days .
0,The aim of this study was to determine the efficacy of electrical stimulation when added to conventional physical therapy with regard to clinical and neurophysiologic changes in patients with Bell palsy .
0,The aims of this study was to defining the efficacy of electrical stimulation when added to conventional physical therapy with regard to clinical and neurophysiologic modifying in patients with Bell palsy .
0,The objective of this researches was to identifying the efficacy of electrical stimulation when added to conventional physical therapy with regard to clinical and neurophysiologic changes in patients with Bell palsy .
2,The mean LOS for the standard practice cohort was 5.3 4.6 days against calculated LOS utilised the PCT guidance pathway of 3.7 2.8 days .
2,The mean LOS for the standard practice cohort was 5.3 4.6 days versus calculate LOS using the PCT guidance path of 3.7 2.8 days .
3,"Consistent with the hypothesis that ALS is a multisystem disorder , this deficiency is related to disease in prefrontal regions ."
4,Calcium intake during growth is essential for future bone health but varies widely between individuals and populations .
4,Calcium admittance during growth is essential for future bone health but varies widely between individuals and populations .
4,Calcium intake during growth is essential for future bone health but varies amply between individuals and populations .
0,Study participants were randomly assigned to receive amantadine hydrochloride 100 mg twice daily versus equivalent placebo for 28 days .
0,Investigate participants were randomly assigned to receive amantadine hydrochloride 100 mg twice daily versus equivalent placebo for 28 days .
0,Study participants were randomly assign to receive amantadine hydrochloride 100 mg twice daily versus equivalent placebo for 28 days .
2,There were large discrepancies in the number of silicosis cases found .
2,There were gargantuan discrepancies in the number of silicosis cases found .
2,There were large discrepancies in the number of silicosis cases detected .
1,Patients in the trial group received clean liquid integral protein diet for 3 days before operation without mechanical bowel preparation .
1,Patients in the trial group received clean liquid integral protein diet for 3 days before operational without mechanical bowel formulated .
1,Patients in the trial group received clean liquid integral protein dietary for 3 days before operative without mechanical bowel preparation .
4,Blood collection through intravenous lines frequently causes spurious hemolysis .
3,Slight differences were seen among the reconstruction algorithms .
3,Slight differences were seen among the reconstruction algorithm .
3,Slight differences were seen among the redevelopment algorithms .
4,Blood collection through intravenous lines frequently causes fallacious hemolysis .
4,Blood collection through intravenous lines frequently causes misleading hemolysis .
3,The use of the heating device upon administration of short-acting insulin analogues in pump-treated type 1 diabetic patients was found to enhance insulin absorption .
3,The use of the heating device upon governance of short-acting insulin analogues in pump-treated type 1 diabetic patients was uncovered to enhance insulin absorption .
3,The used of the heating device afterward administration of short-acting insulin analogues in pump-treated type 1 diabetic patients was found to enhance insulin absorption .
0,To investigate effects of intra-abdominal pressure in pregnancy on the development of spinal blockade and incidence of hypotension during cesarean section .
0,To examines effects of intra-abdominal pressure in pregnancy on the development of spinal blocking and incidence of hypotension during cesarean section .
0,To investigate effects of intra-abdominal pressure in pregnancy on the development of marrow blockade and implications of hypotension during cesarean section .
4,"UMIN000014559 , UMIN Clinical Trials Registry , registered on 15 July 2014 ."
4,"UMIN000014559 , UMIN Clinical Trials Registry , inscribed on 15 July 2014 ."
4,"UMIN000014559 , UMIN Clinical Trials Registry , recorded on 15 July 2014 ."
0,To assess whether vaginal misoprostol or oral nonsteroidal anti-inflammatory drugs ( NSAIDs ) reduce pain during and 30 minutes after hysterosalpingography ( HSG ) .
0,To assess whether vaginal misoprostol or oral nonsteroidal anti-inflammatory drug ( NSAIDs ) slashes pain during and 30 minutes after hysterosalpingography ( HSG ) .
0,To assess whether vaginal misoprostol or oral nonsteroidal anti-inflammatory meds ( NSAIDs ) reduce pain during and 30 mins after hysterosalpingography ( HSG ) .
1,Five sham acupoints are used in the control group .
1,Five sham acupoints are used in the control clustered .
3,These data demonstrate that the acarbose/metformin FDC is bioequivalent to the loose combination of these agents .
3,We suggest that one definitive local treatment modality combined with neoadjuvant chemotherapy is adequate to treat resectable stage IIIA/N2 non-small-cell lung cancer .
3,We suggest that one conclusive local treatment modality combined with neoadjuvant chemotherapy is adequate to treating resectable stage IIIA/N2 non-small-cell lung cancer .
3,We suggest that one definitive local processing modality combined with neoadjuvant chemotherapy is adequate to treat resectable stage IIIA/N2 non-small-cell dragon cancer .
3,These data demonstrate that the acarbose/metformin FDC is bioequivalent to the loose conjunction of these agents .
3,These data proves that the acarbose/metformin FDC is bioequivalent to the loose combination of these agents .
1,Five sham acupoints are used in the oversight group .
2,"Furthermore , this main effect was not particularly pronounced when the ballgame was played online ."
1,"An acute resistance exercise protocol was administered at 0 , 6 , and 12 weeks of training ."
3,"PUFA requirements of children with SAM are not met by current formulations of RUTF , or by an RUTF with elevated short-chain n-3 PUFA without additional preformed long-chain n-3 PUFA ."
3,"PUFA requirements of children with SAM are not met by underway formulations of RUTF , or by an RUTF with elevated short-chain n-3 PUFA without extra preformed long-chain n-3 PUFA ."
3,"PUFA requirements of enfant with SAM are not complied by current formulations of RUTF , or by an RUTF with elevated short-chain n-3 PUFA without additional preformed long-chain n-3 PUFA ."
1,"An acute resistance exercise protocol was administering at 0 , 6 , and 12 weeks of training ."
1,"In addition , for all eye drop treatment groups , open-label ranibizumab was administered as needed ."
1,"In addition , for all eye drop therapy groups , open-label ranibizumab was administered as needed ."
1,"In addition , for all eye drop treatment groups , open-label ranibizumab was administers as needed ."
1,"An acute resistance exercise protocol was managed at 0 , 6 , and 12 weeks of training ."
0,The treatment of bipolar disorder type I ( BD-I ) with a comorbid cocaine dependence disorder ( CDD ) is a challenge in current psychiatric practice .
0,The treating of bipolar disorder genera I ( BD-I ) with a comorbid cocaine dependence disorder ( CDD ) is a challenge in current psychiatric practice .
0,The treatment of bipolar disorder genre I ( BD-I ) with a comorbid cocaine dependence disorder ( CDD ) is a challenge in currents psychiatric practice .
4,"To actually change physicians ' practice , a tailored strategy aimed at barriers that hinder physicians in abandoning the use of erythropoietin and perioperative blood salvage was systematically developed ."
4,"To actually alteration physicians ' practice , a readjusted strategy aimed at barriers that hinder physicians in abandoning the use of erythropoietin and perioperative blood salvage was systematically developed ."
4,"To actually change physicians ' practice , a tailored strategies aimed at barriers that hinder physicians in abandon the use of erythropoietin and perioperative blood salvage was systematically developed ."
3,"Furthermore , optimally programmed AVD reduces BNP and improves exercise tolerance and functional class ."
3,"Furthermore , optimally programmed AVD lessened BNP and improves exercise tolerance and functional class ."
3,"Furthermore , optimally programmed AVD narrowing BNP and improves exercise tolerance and functional class ."
3,"The time of the pain beginning was 8.31 4.58 min in the treatment group and 7.10 3.54 min in the placebo group , which was not significantly different ( P = 0.266 ) ."
3,"The period of the pain beginning was 8.31 4.58 min in the treating panels and 7.10 3.54 min in the placebo group , which was not significantly different ( P = 0.266 ) ."
3,"The time of the grief start was 8.31 4.58 min in the treatment group and 7.10 3.54 min in the placebo group , which was not immensely different ( P = 0.266 ) ."
0,To assess the efficacy of trabeculectomy with a biodegradable Ologen implant ( OLO ) versus mitomycin C ( MMC ) in patients in a prospective randomized clinical trial .
0,Of assess the efficacy of trabeculectomy with a biodegradable Ologen implant ( OLO ) versus mitomycin C ( MMC ) in patients in a prospective randomized clinical trials .
0,Pour assess the efficacy of trabeculectomy with a biodegradable Ologen implant ( OLO ) versus mitomycin C ( MMC ) in sufferers in a prospective randomized clinical trial .
0,The present study aimed to compare the postoperative contrast sensitivity functions between wavefront-guided LASIK eyes and their contralateral wavefront-guided PRK eyes .
0,The present explored destined to compare the postoperative contrast sensitivity functions between wavefront-guided LASIK eyes and their contralateral wavefront-guided PRK eyes .
0,The present exploring targets to compare the postoperative contrast sensitivity functions between wavefront-guided LASIK eyes and their contralateral wavefront-guided PRK eyes .
0,The aims of the present study were to assess the efficacy and safety of BT injection and combined treatment with BT injection and lowered dose glyceryltrinitrate ( GTN ) cream for the treatment of CAF .
