class,text
4,"However, the presence of lymph nodes could not necessarily predict the metastatic involvement of these lymph nodes."
23, Both the incidence and frequency of vomiting in the scopolamine-treated group were significantly (P less than 0.05) lower than in the control group.
23,The incidence and frequency of vomiting in the scopolamine-treated group was significantly lower (P less than 0.05) than in the control group.
21, We report the case of a young adult involved in a car accident who had these findings.
21,We report the case of a young adult involved in a car accident that had these results.
16, Blood supplied by the intersegmental arteries drained via the pulmonary arteries of the right lung into main and left pulmonary arteries.
16,Blood provided by intersegmental arteries flows through the lung arteries of the right lung into the main and left pulmonary arteries.
13,Appendectomy during pregnancy: a Swedish registry study of 778 cases.
13,Appendectomy during pregnancy: a study of the Swedish register of 778 cases.
4, Our preliminary results show that diffusion-weighted MR imaging can be useful in distinguishing between arachnoid cysts and epidermoid tumors.
4,Our preliminary results show that diffusion-weighted MR imaging can be useful in distinguishing arachnoid cysts from epidermoid tumours.
2," Overall, 30% (13/43) of all adenovirus hexon-positive specimens were enteric serotypes, and by extrapolation, enteric adenoviruses were identified in an equal percentage of children (2%) with and without diarrhea."
2,"Overall, 30% (13/43) of all hexon positive adenovirus samples were enteric serotypes and, by extrapolation, enteric adenoviruses were identified in an equal percentage of children (2%) with or without diarrhoea."
16," As a result, patients may have profound changes in arterial blood gases and prolongation of adaptation and recovery even with low levels of physical activity."
16,"Therefore, patients may experience profound changes in arterial blood gases and prolong adaptation and recovery even with low levels of physical activity."
4, Our results justify a broader clinical trial to evaluate the effects of the MCVAC regimen followed by PBSCT.
4,Our findings warrant a broader clinical trial to assess the effects of the MCVAC regimen followed by the CTBMP.
10," In addition to CD, 16% of patients had oral dystonia, 12% mandibular dystonia, 10% hand/arm dystonia, and 10% had blepharospasm."
10,"In addition to the CD, 16% of patients had oral dystonia, 12% had mandibular dystonia, 10% had hand/arm dystonia and 10% had blepharospasm."
4," The mean operative times were 54, 59, and 56 minutes for Groups 1, 2, and 3, respectively."
4,"The average operating time was 54, 59 and 56 minutes for groups 1, 2 and 3, respectively."
9, Previous studies have identified two bacterial factors involved in enteropathogenic Escherichia coli (EPEC) infection.
9,Previous studies have identified two bacterial factors involved in enteropathogenic Escherichia coli (EPEC) infection.
12, The mean capacity of the reservoirs was 500 +/- 83 ml.
12,The average capacity of the tanks was 500 +/- 83 ml.
12," Four patients in the forty to forty-nine age group had elevated PSA determinations, and 7 had abnormal findings on DRE."
12,Four patients aged 40 to 49 years had high PSA determinations and 7 had abnormal ERD results.
9, CONCLUSION: There is sufficient evidence to show that the noise from low-level flights is harmful to human health.
9,CONCLUSION: There is sufficient evidence to demonstrate that noise from low-level flights is harmful to human health.
4,Bronchioloalveolar carcinoma of the lung and congenital cystic adenomatoid malformation.
4,Bronchioloalveolar carcinoma of malformation of the lungs and congenital cystic adenomatoids.
20," In both IgA and membranoproliferative glomerulonephritis, the data are more sparse."
20,"In IgA and membranoproliferative glomerulonephritis, data are rarer."
2," An autosomal recessive autoimmune myocardial disease (amd) gene (possibly more than one gene), which determined susceptibility to CVB3-induced chronic myocarditis in the A/J and DBA/2J inbred mouse strains, was mapped to a segment of chromosome 14."
2,"An autoimmune autoimmune gene of myocardial disease (amd) (possibly more than one gene), which determined the susceptibility to chronic myocarditis induced by CVB3 in strains of inbreeding mice A/J and DBA/2J, was mapped on a segment of chromosome 14."
10," For this end, ratios were calculated among a number of metabolites of the main demethylation pathway of caffeine."
10,"For this purpose, ratios were calculated among a number of metabolites in the main route of caffeine demethylation."
7, Mandibular reconstruction at the time of tumor resection remains a surgical dilemma.
7,Mandibular reconstruction at the time of tumour resection remains a surgical dilemma.
12, These manifestations of systemic toxicity may contribute to the development of pulmonary edema during therapy.
12,These manifestations of systemic toxicity may contribute to the development of pulmonary oedema during treatment.
22," A second experiment was performed with 58 animals fed five different mixtures of fats, all at 14% of total calories."
22,"A second experiment was carried out with 58 animals fed five different mixtures of fat, all at 14% of total calories."
17, No previous report of this association has been found in a survey of the literature.
17,No previous report of this association was found in a literature study.
17," Thereafter, the polarity of the treatment electrode on the wound was changed every 3 days until the wound progressed to a stage II classification."
17,"Subsequently, the polarity of the treatment electrode on the wound was changed every 3 days until the wound moved to a Phase II classification."
7," In these methods, the raised true columella worsens the dorsal dislocation of the lateral crura of the alar cartilages and the lateral and dorsal displacement of the alar domes."
7,"In these methods, the true high crown worsens the dorsal dislocation of the lateral crust of the alar cartilage and the lateral and dorsal displacement of the alar domes."
4, A total of 65 patients underwent extraperitoneal pelvic staging lymphadenectomy before radiotherapy.
4,A total of 65 patients underwent extraperitoneal lymphadectomy in the pelvis prior to radiation therapy.
23," Two hundred forty-seven cases of Chagas' heart disease and 345 seropositive subjects with normal ECG (controls) were selected in a population survey in Goiania, Brazil."
23,"Two hundred and forty-seven cases of Chagas heart disease and 345 HIV-positive subjects with normal ECG (controls) were selected from a population survey in Goiania, Brazil."
22," This direct patient-xenograft correlation further validates the usefulness of the nude mouse model in the search for effective therapies for malignant mesothelioma, a tumor characterized by frequent refractoriness to most available agents."
22,"This direct patient-xenograft correlation still validates the usefulness of the nude mouse model in the search for effective therapies for malignant mesothelioma, a tumor characterized by frequent refraction to most available agents."
11, Nine of the 11 patients with hypopyon were positive for HLA B27.
11,Nine of the 11 patients with hypopyon were positive for HLA B27.
15, The present study was undertaken to determine the effects of high-dose interleukin-2 administration in normal rats.
15,This study was undertaken to determine the effects of administration of a high dose of interleukin-2 in normal rats.
3, This case supports an aetiological role for toxoplasmosis in the pathogenesis of some cases of dermatomyositis.
3,This case supports an aetiological role of toxoplasmosis in the pathogenesis of certain cases of dermatomyosite.
22," Restoration of flow within 16 minutes always resulted in full return of function, whereas with occlusion times of greater than 27 minutes all animals remained paralyzed."
22,"The restoration of flow within 16 minutes has always resulted in a complete return of function, while with occlusion times greater than 27 minutes, all animals remained paralyzed."
13," They do, however, recommend vaginal apex irradiation for these patients."
13,"However, they recommend the vaginal irradiation of apex for these patients."
15, This corrected phenotype is later expressed in daughter cells.
15,This corrected phenotype is later expressed in female cells.
17," In addition, we assigned the type VII collagen gene (COL7A1) to chromosome 3 by hybridization to a panel of human x rodent somatic cell hybrids."
17,"In addition, the type VII collagen gene (COL7A1) was assigned to chromosome 3 by hybridization to a panel of human somatic x rodent hybrids."
4, We undertook a longitudinal prospective study in which the native kidneys of 30 dialysis patients were surveyed by serial CT during a 7-year period to study the natural history of acquired renal cystic disease and the frequency of associated complications.
4,A prospective longitudinal study was undertaken in which the native kidneys of 30 patients on dialysis were examined with serial CT for a period of 7 years to study the natural history of acquired renal cystic disease and the frequency of associated complications.
4, All patients received irradiation to the whole brain with parallel opposed fields.
14, Head-up tilt may be less useful in youthful subjects with vasovagal syncope than in other subjects.
14,Head inclination may be less useful in young subjects with vasovagal syncope than in other subjects.
4,All patients received whole brain irradiation with parallel opposite fields.
8, The majority were young female patients.
8,The majority were young patients.
8, Respiratory syncytial virus was the commonest pathogen identified and was found in 32 cases (37%).
8,The syncytial respiratory virus was the most common pathogen identified and was found in 32 cases (37%).
17, Only four patients were atopic.
21," The cases of three patients who had those findings are presented; in all three, the differential diagnosis between the vascular and skeletal injuries was difficult."
