class,text
2,"NEW YORK Sept. 3, 2004 - Kevin Brown #39;s frustrating season finally reached a boiling point, and now his hot temper could cost the New York Yankees at the most important time."
2,"NEW YORK Sept. 3, 2004 - Kevin Riggins #56;s frustrating season finally reached a boiling point, and now his hot temper could cost the New York Yankees at the most important time."
2,"NEW YORK Sept. 3, 2004 - Nadeen Brown #67;s frustrating season finally reached a boiling point, and now his hot temper could cost the New York Yankees at the most important time."
2,"NEW YORK Sept. 3, 2556 - Shiela Brown #6;s frustrating season finally reached a boiling point, and now his hot temper could cost the New York Yankees at the most important time."
2,"NEW YORK Sept. 6, 2353 - Kevin Brown #41;s frustrating season finally reached a boiling point, and now his hot temper could cost the New York Yankees at the most important time."
3,"Qualcomm Inc. may change the way it recognizes royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 million, the company said on Friday."
3,"Qualcomm Inc. may change the way it recognizes royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 one hundred and twenty-eight thousand, four hundred and ninety-three, the company said on Friday."
3,"Qualcomm Inc. may change the way it recognizes royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 one million, five hundred and ninety-five thousand and thirty-five, the company said on Friday."
3,"Qualcomm Inc. may change the way it recognizes royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 one million, six hundred and eighty-seven thousand, nine hundred and fifty-four, the company said on Friday."
3,"Qualcomm Inc. may change the way it recognizes royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 seven hundred and fifty-eight thousand, five hundred and ninety-six, the company said on Friday."
3,"American Airlines expects soaring jet fuel prices to push its expenses up more than \$1 billion in 187 from last year #55;s level, parent AMR Corp."
3,"American Airlines expects soaring jet fuel prices to push its expenses up more than \$1 billion in 3675 from last year #10;s level, parent AMR Corp."
3,"American Airlines expects soaring jet fuel prices to push its expenses up more than \$1 five hundred and twenty-one million, five hundred and fifty-five thousand, eight hundred and sixty-four in 2004 from last year #39;s level, parent AMR Corp."
3,"American Airlines expects soaring jet fuel prices to push its expenses up more than \$1 one billion, nine hundred and thirty million, three hundred and fifty-two thousand, three hundred and sixty-eight in 2004 from last year #39;s level, parent AMR Corp."
4,"Search Engine Marketing and Trademarks\\In todays competitive markets, its a well-known fact that trademarks and well-known brand names can achieve a much higher conversion rate than with generic keywords. That statement makes a lot of sense. In fact, the direct response television (DRTV) advertising industry estimates that about 21 of ..."
4,"Search Engine Marketing and Trademarks\\In todays competitive markets, its a well-known fact that trademarks and well-known brand names can achieve a much higher conversion rate than with generic keywords. That statement makes a lot of sense. In fact, the direct response television (DRTV) advertising industry estimates that about 22 of ..."
4,"Search Engine Marketing and Trademarks\\In todays competitive markets, its a well-known fact that trademarks and well-known brand names can achieve a much higher conversion rate than with generic keywords. That statement makes a lot of sense. In fact, the direct response television (DRTV) advertising industry estimates that about 32 of ..."
4,"Search Engine Marketing and Trademarks\\In todays competitive markets, its a well-known fact that trademarks and well-known brand names can achieve a much higher conversion rate than with generic keywords. That statement makes a lot of sense. In fact, the direct response television (DRTV) advertising industry estimates that about 4 of ..."
4,"Search Engine Marketing and Trademarks\\In todays competitive markets, its a well-known fact that trademarks and well-known brand names can achieve a much higher conversion rate than with generic keywords. That statement makes a lot of sense. In fact, the direct response television (DRTV) advertising industry estimates that about 40 of ..."
2,"Chelsea striker Mateja Kezman and club keeper Petr Cech have come out in support of team-mate Adrian Mutu.  quot;It was a shock for all of us, quot; said Kezman about Mutu failing a drug test."
2,"Chelsea striker Annalie Kezman and club keeper Petr Cech have come out in support of team-mate Zyair Philpot.  quot;It was a shock for all of us, quot; said Kezman about Mutu failing a drug test."
2,"Chelsea striker Mateja Geisler and club keeper Byron Cech have come out in support of team-mate Adrian Mutu.  quot;It was a shock for all of us, quot; said Shira about Mutu failing a drug test."
2,"Chelsea striker Mateja Kezman and club keeper Jaidah Rickard have come out in support of team-mate Adrian Mutu.  quot;It was a shock for all of us, quot; said Yan about Mutu failing a drug test."
2,"Chelsea striker Mateja Kezman and club keeper Petr Schwartz have come out in support of team-mate Stetson Mutu.  quot;It was a shock for all of us, quot; said Era about Mutu failing a drug test."
2,"GLYFADA, Greece - When the first notes of the national anthem of Israel pierced the night air, years of yearning came pouring out of Israelis at the Olympic Sailing Centre."
2,"GLYFADA, Greece - When the first notes of the national anthem of Cayman Islands pierced the night air, years of yearning came pouring out of Israelis at the Olympic Sailing Centre."
2,"GLYFADA, Greece - When the first notes of the national anthem of Chile pierced the night air, years of yearning came pouring out of Israelis at the Olympic Sailing Centre."
2,"GLYFADA, Greece - When the first notes of the national anthem of Côte d'Ivoire pierced the night air, years of yearning came pouring out of Israelis at the Olympic Sailing Centre."
