class,text
2,What does pH stand for ?
2,What does pH : stand for ?
5,How many consecutive baseball games did Lou Gehrig play ?
5,How many consecutive baseball games did Lou Gehrig play : ?
2,What does the T.S. stand for in T.S. Eliot 's name ?
2,What does the T.S. stand : for in T.S. Eliot 's name ?
0,What is color ?
0,"What , is color ?"
1,The Jewish alphabet is called what ?
1,The ! Jewish alphabet is called what ?
5,What is the cost of the drugs used in tuberculosis treatments ?
5,What is the ! cost of the drugs used in tuberculosis treatments ?
3,Who invented the horoscope ?
3,Who invented the ? horoscope ?
1,What does a deltiologist collect ?
1,What does ! a deltiologist collect ?
2,What does SIDS stand for ?
2,; What does SIDS stand for ?
0,What is saltpeter ?
0,What is ! saltpeter ?
5,How many head injuries are there in recreational ice skating each year ?
5,How many head injuries are there in . recreational : ice skating each year ?
5,When is the site www.questions.com going to open ?
5,When is the site www.questions.com going to open . ?
0,How is energy created ?
0,How is energy ? created ?
2,What is the abbreviated form of the National Bureau of Investigation ?
2,What is the abbreviated form of the ? National Bureau of Investigation ?
2,What is AFS ?
2,"What , is AFS ?"
0,"What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?"
0,"What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in : common . ?"
5,In what year did they build the Berlin Wall ?
5,! In what year did they ? build the Berlin Wall ?
4,In what part of the world is Mozambique ?
4,In what part of ! the world is Mozambique ?
5,The Olympic Games in which year allowed Nadia Comaneci to become popular ?
5,; The Olympic Games in which year ! allowed Nadia Comaneci to become popular ?
5,What year was the Avery Dennison company founded ?
5,What year was the ! Avery Dennison company founded ?
2,What is DTMF ?
2,What is DTMF . ?
3,"What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?"
3,"What TV character said ; `` One of these days , Alice , , pow , right in ; the kisser '' ?"
1,What terror of the sea did Johnny Horton sing about ?
1,What terror of the sea did Johnny Horton sing about ? ?
0,How can I transport files from one computer to another ?
0,How : can I transport files from one computer to . another ?
3,Who was the Charlie perfume woman ?
3,"Who was the Charlie perfume woman , ?"
4,What were the cities of Dickens 's A Tale of Two Cities ?
4,What were the cities of Dickens 's A Tale of Two ! Cities ?
4,What state full of milk and honey was the destination in The Grapes of Wrath ?
4,What state ? full of milk and honey was the destination in The Grapes of ? Wrath ?
5,How many different languages are spoken in Europe ?
5,How many different languages are spoken in ; Europe ?
3,Who does the advertizing for Frito-Lay ?
3,Who does the advertizing ! for Frito-Lay ?
5,How long does a dog sleep ?
5,How : long does a dog sleep ?
4,What sprawling U.S. state boasts the most airports ?
4,What sprawling U.S. state boasts the most ; airports ?
5,How long does it take the typical hen to lay 19 dozen eggs ?
5,How long does it take ; the typical hen to lay 19 dozen eggs ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
2,; What is the abbreviated term used for the National Bureau of Investigation ?
0,What is the difference between the Koran and The Bible ?
0,What is : the difference between the Koran and The Bible ? ?
4,Where did he get the title ?
