class,text
2,"I got the banana nutella cupcake and love the banana bread-like cupcake. However, the frosting is way too sweet and overpowers the banana flavor of the cupcake. As many reviewers have already mentioned, the cupcake is also over-priced at $3.75 each for the size and the lack of creativity.  With so many desert/snack places in Scottsdale, I am unlikely to come back here."
2,"I got the banana nutella cupcade and love the banana bread-like cupcake. However, the frosting is way too sweet and overpowers the banana flavor of the cuQcake. s many reviewers have already mentioned, the cupacke is also over-priced at $3.75 each for the size and the lack of creativity.  With so manW desert/snack placecs in Scottsdale, I am unlikely to come back here."
5,"Heard about this interesting steak house from Lindsay, my Yelping go to and I am grateful. What a fun night, feeling ""Mad Men ish as we walked through the kitchen when entering the restuarant.  Atmosphere was amazing and the food.... WOW. My fav had to be the amazing steak and bean chili/soup.... fantastic. Steaks were our of this world and the mushrooms... devine. When entering the restaurant we greeted by helpful eager staff ... with each one adding input into our experience.... especially Patti, our server. She was helpful, informative, fun and sealed the deal of a fantastic night. Thanks"
5,"Heaqd about this interesting setak house from Lindsay, my Yelcping Io to and I am grateful. What a fun night, feeling ""Md Men ish as we walked through the kitchen when entering the restuarant.  Atmosphere was amazing and the food.... WOW. My fHav had to be the amazing steak and bean chili/soup.... fantastic. Steaks were our of this world and the mushrooms... devine. When entering the restaurant we greeted by helpful eager stfaf ... with each one adding qnput into our experience.... especially Patti, our server. EShe was hQelpful, informative, fun and sealed the deal of a fantastic night. Thanks"
2,"What more can I say except it is over priced, greasy Mexican food! I have had better in Texas, the only thing that saved them from being a one star is their great salsa!"
2,"What more can I saT except it is over priced, greasy Mexican food! I have had better in Texas, the only Jhing that saved them from being a one star is their great slsa!"
5,"I am a big fan of this place, either to stop in on a slow Sunday just to see what they have.  Their stock rotates pretty frquently so always new interesting things to find.  So far Ive bought a vintage print, an awesome dress that I have received tons of compliments on, cool earrings, and some other kitchen items.  The staff are always friendly.  When you go, make sure you check out the Burt Reynolds beefcake poster they have behind the counter. Great strore!"
5,"I am a big afn of this place, eithr to stop in on a slow Sunday just to see what they have.  Their stock rotates pretty frquently so always new intKeresting things to find.  So far Ive bought a vintage print, an awesome dress that I have received tons of compliments on, cool eawrrings, and some other kktchen items.  The staff are always rfiendly.  When you go, make uure you check out the Burt Reynolds beefcake poster they have behind the counter. Gret strore!"
4,Check engine light came on in Wikieup late on Friday night.  One of my family members has had work done here before and recommended them.  They got me in on short notice and stayed late to finish the job.  Was reasonably priced too.
4,Chec engine light came on in Wikieup late on Friday night.  One of my famtly members has had work done here before and recommended them.  Tbhey gt me in on short notice and stayed late to finish the job.  Was reasonably priced too.
3,Decent airport with a limited variety of food choices and a strange layout. It feels a little outdated but I was only at the airport for a quick layover.
3,Decent airoprt with a limited variety of food choices and a strange layout. It eels a little outdated but I was only at the airport for a quick layover.
5,Best Subway anywhere. Super-friendly staff and always really clean!
5,Best ESubway anywhere. Super-friendly staff and always really clean!
3,"good coffee, friendly staff, good food.  they forgot to bring out the bagel I had ordered, but were very apologetic about it.  I will go here again."
3,"good coffee, frOiendly staff, good food.  they forgot to bring out the bagel I had ordered, but were very apologeitc about it.  I will go here again."
4,"There really isnt a better time to go to Sapporo than RIGHT NOW to enjoy their every day summer happy hour for cheap, good quality food & drinks. There are great discounts on beer, wine, and cocktails including the awesome mango martini, and several very popular appetizers, rolls, and sushi.  I adore the chicken skewers and sliders, but my favorite are the diver scallops.  I dont think they are on the happy hour menu but they rock! Teppanyaki here is also very fun for a group and the N Scottsdale crowd is great for people watching.  Whether for a date or girls/guys night out, Sapporos energetic vibe has a lot of fun to offer."
