class,text
4,Where are the headquarters of Eli Lilly ?
4,Where is Windsor Castle ?
4,Where is Windsor Castle ?
5,What percentage of the world 's plant and animal species can be found in the Amazon forests ?
5,What percentage of the world 's plant and animal species can be found in the Amazon forests ?
0,How can someone become a federal agent ?
0,How can someone become a federal agent ?
0,What is saltpeter ?
0,What is saltpeter ?
0,How can I get a CCT diagram ?
0,How can I get a CCT diagram ?
5,What is the cost of the drugs used in tuberculosis treatments ?
5,What is the cost of the drugs used in tuberculosis treatments ?
5,The Iraqis launched their attack on Kuwait on what day ?
5,How much did the minimum wage amount to in 1991 ?
3,What female painter produced primitives of rural New England life ?
3,What female painter produced primitives of rural New England life ?
0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
5,How many chairs are shown in Vincent Van Gogh 's 188 work The Artist 's Room in Arles ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
1,What mammal of North America is the world 's longest-lived for its size ?
1,What mammal of North America is the world 's longest-lived for its size ?
3,What 's Japan 's largest car manufacturer ?
5,How fast does the fastest car go ?
5,How fast does the fastest car go ?
4,What erupts every hour at Yellowstone National Park ?
4,What erupts every hour at Yellowstone National Park ?
0,How did the tradition of best man start ?
0,How did the tradition of best man start ?
2,What is the acronym for the National Bureau of Investigation ?
2,What is the acronym for the National Bureau of Investigation ?
0,Why do they call a hamburger a hamburger when there is no ham ?
0,Why do they call a hamburger a hamburger when there is no ham ?
5,How many different languages are spoken in Europe ?
5,How many different languages are spoken in Europe ?
0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
0,What 's the motto of the Boy Scouts ?
0,What 's the motto of the Boy Scouts ?
0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
3,"What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?"
0,What is porphyria ?
0,What is porphyria ?
2,What does ` PSI ' stand for ?
2,What does ` PSI ' stand for ?
0,What are the powers and weaknesses of Green Lantern 's ring ?
2,What 's the abbreviation for trinitrotoluene ?
2,What 's the abbreviation for trinitrotoluene ?
0,What are the powers and weaknesses of Green Lantern 's ring ?
5,When is a woman most fertile ?
5,When is a woman most fertile ?
0,What is the origin of Boxing Day ?
0,What is the origin of Boxing Day ?
1,What does a deltiologist collect ?
1,What does a deltiologist collect ?
1,What did the pyramid-builders of Egypt mainly eat ?
4,What is one of the cities that the University of Minnesota is located in ?
4,What are the four largest mountain ranges in the continental United States ?
4,What are the four largest mountain ranges in the continental United States ?
