class,text
1,the communication works
1,communication works
1,the communication 
1,the communication works
1,the works
1,it has lexmark technology
1,has lexmark technology
1,it has lexmark 
0,Difficult to adjust to low light settings.
0,Difficult to adjust to light settings.
1,"Style and substance, compact size, loaded with features."
1,"Style and substance, compact size, loaded features."
1,"Style and substance, compact, loaded with features."
0,Difficult to adjust to low light.
0,Support and parts are difficult.
0,Support and are difficult.
0,Support and parts are.
0,Price of Ink Cartridges
0,Price Ink Cartridges
0,Price of Cartridges
1,Great Camera for $900-$1200 range
1,Camera for $900-$1200 range
1,Great Camera $900-$1200 range
1,Simple &amp;amp; easy to use!
1,Simple &amp;; easy to use!
1,Simple &amp;amp; easy to!
1,"One piece design,contoured shape,performance,menus are intuitive,rugged."
1,"One design,contoured shape,performance,menus are intuitive,rugged."
1,"One piece design,contoured shape,performance,menus intuitive,rugged."
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses are among the best"
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses among the best"
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses are among best"
0,Battery Problems; Hard to Find
0,Battery Problems; Hard Find
0,Battery Problems; Hard to 
0,"vibrating ringer is somewhat ""weak"""
0,"ringer is somewhat ""weak"""
0,"vibrating is somewhat ""weak"""
1,"For the price, it is a great printer"
1,"For the price, is a great printer"
1,"For the price, it is a great "
1,"Good reception, assignable ringtones, easy to read screen and navigation, good bat life"
1,"Good reception, assignable ringtones, easy read screen and navigation, good bat life"
1,"Good reception, assignable ringtones, easy to read screen and navigation, good life"
1,"Inexpensive, fun software, 3.0 has a flash!"
1,"Inexpensive, fun software, 3.0 a flash!"
1,"Inexpensive, fun software,.0 has a flash!"
1,"Astounding Photo-quality prints, fast, quiet, sleek, economic (ink), versatile"
1,"Astounding Photo-quality prints, fast, quiet, sleek, economic (), versatile"
1,"Astounding Photo-quality prints,, quiet, sleek, economic (ink), versatile"
0,no print preview built into the driver/print quality greatly deteriorates over time
0,no print preview built into driver/print quality greatly deteriorates over time
0,no print preview built into the driver/print quality deteriorates over time
0,A bit slow when processing
0,A bit slow processing
0,A bit slow when 
1,"12 ppm, 600x 600 resolution, AFFORDABLE!"
1,"12 ppm, 600 resolution, AFFORDABLE!"
1,"12 ppm, 600x resolution, AFFORDABLE!"
0,"Flash, Pictures, Software, Drivers"
0,", Pictures, Software, Drivers"
0,"Flash, Pictures, Software, "
1,"This phone is small, a unique color, and has a nice color screen."
1,"This phone is small, a unique color, and a nice color screen."
1,"This phone is small, a unique color, and has nice color screen."
0,None yet...
0,None yet...
0,None...
0,yet...
0,None!
0,None!
0,"older, size"
0,", size"
1,"Smart design, reliable battery life, and clear calls."
1,"Smart design, battery life, and clear calls."
0,"No Digita OS, ships with little memory, no time-lapse timer."
0,"Digita OS, ships with little memory, no time-lapse timer."
0,"No Digita OS, ships with little memory, no time-lapse."
1,Easy to use
1,Easy to 
1,Easy to use
1,Easy use
1,to use
1,Cheap
1,Cheap
0,"Battery life, form factor."
0,"Battery life, factor."
0,"Battery life, form."
0,Goes through batteries very fast
0,Goes batteries very fast
0,Goes through batteries fast
1,Inexpensive and Reliable
1,Inexpensive Reliable
1,Inexpensive and 
1,Inexpensive and Reliable
1,and Reliable
1,Print job and Ink level monitor
1,Print and Ink level monitor
1,Print job Ink level monitor
1,"Relatively inexpensive, holds a lot of pictures"
1,"Relatively inexpensive, holds a lot pictures"
1,"Relatively inexpensive, holds lot of pictures"
1,High quality for the money.
1,High for the money.
1,High quality for money.
1,overall beauty
1,beauty
1,overall 
1,overall beauty
0,slow computer = slow uploading of images 
0,computer = slow uploading of images 
0,slow = slow uploading of images 
0,no battery indicator.
0,battery indicator.
0,no battery indicator.
0,no battery.
0,no indicator.
1,"Quiet printing at an affordable price, by a name you can trust."
1,"Quiet at an affordable price, by a name you can trust."
1,"Quiet printing an affordable price, by a name you can trust."
1,Good reception. MP3 and Bluetooth capable.
1,Good reception. MP3 and Bluetooth.
1,Good reception. MP3 and capable.
0,"High purchase price, high cost per page for ink, heavy, and bulky."
0,"High purchase price, cost per page for ink, heavy, and bulky."
0,"High purchase price, high cost per for ink, heavy, and bulky."
1,"small size, digital viewfinder, memory stick, great picture quality"
1,"size, digital viewfinder, memory stick, great picture quality"
1,"small size, digital viewfinder, memory stick, great picture "
0,"Loud, Slow To Start Up"
0,", Slow To Start Up"
0,"Loud, Slow Start Up"
1,"MP3 player, camera, good antenna, video camera, lots of memory space."
1,"MP3 player, camera, antenna, video camera, lots of memory space."
1,"MP3 player, camera, good antenna, video camera, lots memory space."
0,pay long distance for tech support
0,pay distance for tech support
0,pay long distance for support
0,could use more memory
0,could more memory
0,could use memory
0,none
0,none
1,"nice quality output (especially on coated paper), quiet"
1,"nice output (especially on coated paper), quiet"
1,"Fits in jeans coin pocket, conversation starter everywhere"
1,"Fits in coin pocket, conversation starter everywhere"
