class,text
1,"Not only is it much cost effective (you can use regular trash rather than Refills at $ a pop), it is easier to use and clean, and has a larger capacity."
1,"Not only is it much more cost effective (you can use regular trash bags rather than Refills at $ pop), it is easier use and clean, and has a larger capacity."
1,"Not only it more cost effective (you can use regular trash bags rather than Refills at $5 a pop), it is easier to use and clean, and has a larger."
1,"Whichever it may be, I'm happy I've made this purchase.  "
1,"Whichever it be, I'm happy I've made this purchase.  "
1,"Whichever it may be, I'm I've made this purchase.  "
1,"Whichever it may be, I'm happy made this purchase.  "
1,"Whichever it may, I'm happy I've made this purchase.  "
1,This is a MUST HAVE product all new moms!
1,"Not only is it much more cost effective (you can use regular trash bags rather than Refills at $5 a pop), it is easier to use and clean, and has a larger capacity."
1, its definately an outstanding laptop .
1, definately an outstanding laptop .
1, its an outstanding laptop .
1, its definately an laptop .
1, its definately outstanding laptop .
1,"Not only is it more cost effective (you can use regular trash rather than Refills at $5 pop), it is easier to use and clean, and has a larger capacity."
0,"also , the carrying case that came with mine covers up the display , so even though the side controls are reachable , i have to open it up to see the display . "
0,"also , the carrying case that came with mine covers up display , so even though the side controls reachable , have to open it up to see the display . "
0,"also , the carrying case that came with mine covers up the display , so even though the side controls are , have to open it up to see display . "
0,"also , the carrying case that came with mine covers up the display , so the side are reachable , i have to open it up to see the display . "
0,"also , the carrying that with mine covers up the display , so even though the side are reachable , i have to open it up to see the display . "
1,the zen has minimal stoppage between tracks ; when listening to music that continues from one track to the next the gap is just a hesitation - a slightly audible click ; if i am not listening for the progress from one track to the next i do n't even notice the click . 
1,the zen has minimal stoppage between ; when listening to music that continues from one track to the next gap is just a hesitation - a slightly audible ; if i am listening for the progress from one track to the next i do even notice the click . 
1,the zen has minimal stoppage between tracks ; when listening to music that continues from one track to the the gap just a hesitation - a slightly audible click ; if am not listening for the progress from track to the i do n't even notice the click . 
1,the zen has minimal stoppage between tracks ; when listening to music that continues from track to next gap is just a - a slightly audible ; if i am not listening for the progress from one track to the next i do n't even notice the click . 
1,zen has minimal stoppage between tracks ; when listening to music continues one track to the next the gap is just hesitation - a slightly audible click ; if am not listening for the progress from one track to the next i do n't even notice the click . 
0,Video recording is limited at just 9 seconds.
0,Video recording is at just 9 seconds.
0,Video recording is limited just 9 seconds.
0,Video recording limited at just 9 seconds.
0,recording is limited at just 9 seconds.
1,i highly recommend this camera to anybody looking for a compact camera that can take good quality pictures. 
1,i highly recommend this camera to anybody looking a compact camera that can take good quality pictures. 
1,i highly recommend this camera to anybody looking for compact camera that can take good quality pictures. 
1,i highly recommend this camera to looking for a compact camera that can take good quality pictures. 
1,i recommend this camera to anybody looking for a compact camera that can take good quality pictures. 
0,"well , within 45 days the video output quit working ( both rca & optic ) . "
0,"well , within 45 days the video output quit working ( both rca & ) . "
0,"well , within 45 days the video output quit working ( rca & optic ) . "
0,"well , within 45 days video output quit working ( both rca & optic ) . "
0,"well , within days the video output quit working ( both rca & optic ) . "
0,"also , the carrying case that came with mine covers up the display , so even though the side controls are reachable , i have to open it up to see the display . "
0,", the carrying case that came with mine covers up the display , so even though side controls are reachable , i have to open up to see the display . "
0,"also , carrying case that came with mine covers up the display , even though the side controls are reachable , i to open it up to see the display . "
0,"also , carrying case that came with mine up the display , so even though the side controls are reachable , i have to open it to see the display . "
0,"also , the carrying case that came with mine covers up the , so even though the side controls are reachable , i have to open it up to the . "
1,the zen has minimal stoppage between tracks ; when listening to music that continues from one track to the next the gap is just a hesitation - a slightly audible click ; if i am not listening for the progress from one track to the next i do n't even notice the click . 
1,has minimal stoppage between tracks ; when listening to music that from one track to the next the gap is just hesitation - a slightly audible click ; if i am not listening for the progress from one track to the i do n't even notice the click . 
1,the zen has minimal stoppage between tracks ; when listening to music that continues from one track to the next gap is just a hesitation - a slightly audible click ; if i am not for progress one track to the next i n't even notice the click . 
1,the zen has minimal stoppage between tracks ; when to music that from one to the next the gap is just a hesitation - a slightly audible click ; if i am not listening for the progress from track to the next i do n't even notice the . 
0,"their network coverage is very sporadic , and the network always seems overloaded , resulting in very unpleasant calling experience . "
0,"their network coverage is sporadic , and the network always seems overloaded , resulting in very unpleasant calling experience . "
0,"their network coverage is very sporadic , and the network always overloaded , resulting in very unpleasant calling experience . "
0,"their network coverage is very sporadic , and the network always seems overloaded , resulting in very calling experience . "
0,"their network coverage is very sporadic , the network always seems overloaded , resulting in very unpleasant calling experience . "
0,"The headphone jack gave out after only a couple weeks of use, and the stock earbuds were replaced same day with some high end sony's I'd been having. "
0,"The headphone jack gave after only a couple weeks of use, and the earbuds were replaced same day with some high end sony's I'd been having. "
0,"The headphone jack gave out after a couple weeks of use, and the stock earbuds were replaced same with some high end sony's I'd been having. "
0,"The headphone jack gave out after only a couple weeks of use, and the stock earbuds were replaced same day with some high end sony's been. "
0,"headphone jack gave after only a couple weeks of use, and the stock earbuds were replaced same day with some high end sony's I'd been having. "
1,I think it's great.
0," I tried to use these with my laptop -LRB- Dell Inspiron 1720 -RRB- but could n't get rid of the buzzing noise others have mentioned , no matter how far I moved them from the computer or where I plugged them in ."
0," I to use these with my laptop -LRB- Dell Inspiron 1720 -RRB- but could n't get rid of the buzzing noise others have mentioned , matter how far I moved them from the or where I plugged in ."
0," I tried to use these with my -LRB- Dell Inspiron -RRB- but could n't get rid of the buzzing noise others have mentioned , no matter how far I moved them from the computer or where plugged them ."
0," I tried to use these with my laptop -LRB- Dell Inspiron 1720 -RRB- but could n't rid of the buzzing noise others mentioned , no matter how far I moved them from the computer or where them in ."
0," tried to use these with -LRB- Dell Inspiron 1720 -RRB- but could n't get rid of the buzzing noise others have mentioned , no matter how far moved them from the computer or where I plugged them in ."
0," However, the battery life isn't as good as I would like. "
0," However, battery life isn't as good as I would like. "
0," However, the battery isn't as good as I would like. "
0," However, the battery life isn't as as I would like. "
0," However, the battery life isn't as good as I would. "
1,"On the contrary, I'm quite pleased with my upgrade."
1,"On contrary, I'm quite pleased with my upgrade."
1,"On the contrary, I'm pleased with my upgrade."
1,"On the contrary, I'm quite pleased my upgrade."
1,"the contrary, I'm quite pleased with my upgrade."
0,"well , within 45 days the video output quit working ( both rca & optic ) . "
0,"well , within 45 days the video output quit ( both rca & optic ) . "
0,"well , within 45 days the video quit working ( both rca & optic ) . "
0,"well , within 45 the video output quit working ( both rca & optic ) . "
0," Unfortunately , I just could not get it to work ."
0," Unfortunately , I just could not get it work ."
0," Unfortunately , I just could not it to work ."
0," Unfortunately , I just not get it to work ."
0," Unfortunately , just could not get it to work ."
1,"the software runs smooth , it 's nice to look at , it 's very organized , easy to follow and makes things very simple . "
1,"runs smooth , it 's nice to look at , it 's very organized , easy to follow and makes things very simple . "
1,"software runs smooth , 's nice to look at , it 's very organized , easy to follow and makes things very simple . "
1,"the software runs smooth , it 's nice to at , it 's very organized , easy to follow and makes very simple . "
1,"the software runs smooth , it 's to look , it 's very organized , easy to follow and makes things very simple . "
1,This is a MUST HAVE product for all new moms!
1,This a MUST HAVE product for all new moms!
1,This is MUST HAVE product for all new moms!
1,This is a HAVE product for all new moms!
1,"it has a handsfree loudspeaker, conference and transfer!"
1,"has a handsfree loudspeaker, conference and transfer!"
1,"it a handsfree loudspeaker, conference and transfer!"
1,"it has a loudspeaker, conference and transfer!"
1,"it has handsfree loudspeaker, conference and transfer!"
1,NIS 2003 worked like a charm last year.
1,NIS 2003 like a charm last year.
1,NIS 2003 worked like a charm year.
1,NIS 2003 worked like charm last year.
1,NIS worked like a charm last year.
1,zen has minimal stoppage between tracks ; when listening to music that continues from one track to the next the is just a hesitation - a slightly audible click ; if i am for the progress from track to the next i do n't even notice the click . 
1,What makes it so great is the versatility and the number of features it has.
1,What makes it so great is the and the number of features it has.
1,What makes it so great is the versatility and the number of it has.
1,What makes it so great is the versatility and the of features it has.
1,What makes it so great the versatility and the number of features it has.
1, Really easy to use.
1, Really easy to.
1,"Whichever it may be, I'm happy I've made this purchase.  "
1,"Whichever it be, I'm happy I've made this purchase.  "
1,"Whichever it may be, I'm I've made this purchase.  "
1,"Whichever it may be, I'm happy I've this purchase.  "
1,"Whichever it may, I'm happy I've made this purchase.  "
1, Really easy use.
1, Really to use.
1, easy to use.
1,"These tasks are faster and easier than in prior versions, and I found the menu to be much more navigable."
1,"These are faster and easier than in prior versions, I found the menu to be much more navigable."
0,my only significant complaint is sound quality . 
0,my only complaint is sound quality . 
0,my only significant complaint is quality . 
0,my only significant complaint is sound . 
0,my only significant is sound quality . 
1,"These tasks are faster and easier than in prior versions, found the menu to be much more navigable."
1,"These tasks are faster and easier than in versions, and found the menu to be much more navigable."
0," The router has obviously problems with static IP addresses , firewalls and numerous other programs ."
0," The router has obviously problems with IP addresses , firewalls and numerous other programs ."
0," The router has obviously problems with static IP addresses , and numerous other programs ."
0," The router has obviously problems with static addresses , firewalls and numerous other programs ."
0," The router has obviously with static IP addresses , firewalls and numerous other programs ."
1,"For a sleeker, smaller and more ""average"" MP3 player the Nitrus is great but the iPod blows it out of the water - the interface is great and the design is wonderful."
1,"For a sleeker, and more ""average"" MP3 the Nitrus is great but the iPod blows it out of the water - the interface is great the design is wonderful."
1,"For a sleeker, smaller and more ""average"" MP3 player the Nitrus is but iPod blows it out of the water - the interface is great and the design wonderful."
1,"For a sleeker, smaller and more ""average"" player the Nitrus is great but the iPod blows it out the water - the interface is great the design is wonderful."
1,"For a, smaller and more ""average"" MP3 player the Nitrus is great but the iPod blows it out of the water - the interface great and the design wonderful."
1,I it's great.
1,I think great.
1,"These tasks are faster and than in prior versions, and I found the menu be much more navigable."
1,I think it's.
0," There isn't much features on the iPod at all, except games."
1, Excellent monitor .
1, Excellent .
1,think it's great.
0," There isn't much features on iPod at all, except games."
1, Excellent monitor .
1,"the nokia 6610 is a relatively new phone , and what a great phone it is . "
1,"the nokia 6610 is a relatively new , and what a great phone it is . "
1,"the nokia 6610 is a relatively new phone , and a great phone it is . "
1,"the nokia 6610 is a relatively new phone , and what a phone it is . "
1,"the nokia 6610 is a relatively new phone , and what great phone it is . "
0," There isn't much features on the at all, except games."
1, monitor .
0,"one beef is the scroll , it does n't work as well as i 'd like . "
0," There much features on the iPod at all, except games."
0,"one beef is the scroll , does n't work as well as i 'd like . "
0,"one beef is the scroll , it does n't work as well as i ' like . "
0," isn't much features on the iPod at all, except games."
1," These issues aside, the iPod is kind of like the cell phone in that once you have one, you can't be without one."
1," These aside, the iPod kind of like the cell phone in that once you have one, you can't be without one."
1," These issues aside, the iPod is kind of like cell phone in once you have one, you can't be without one."
1," These issues aside, the iPod is kind of like the cell phone that once you have one, can't be without one."
1," These issues aside, the iPod is of like the phone in that once you have one, you can't be without one."
1,The thought of not having to buy refills and just using regular bags is awesome!
1,The thought of having to buy refills and just using regular bags is awesome!
1,The thought of not having to buy refills and just using regular bags awesome!
1,The thought of not having to buy refills and just using regular is awesome!
1,The thought of not having to refills and just using regular bags is awesome!
1,"Very good ""every day"" camera. Fits nicely in the pocket of my jeans and takes quality photos."
1,"Very good ""every day"" camera. Fits nicely in the pocket my jeans and takes quality photos."
1,"Very good ""every day"" camera. Fits nicely in the pocket of my jeans and takes photos."
1,"Very good ""every day"" camera. Fits nicely in the pocket of my jeans takes quality photos."
1,"Very good ""every"" camera. Fits nicely in the pocket of my jeans and takes quality photos."
1,The Zen offered a great alternative. 
1,The Zen a great alternative. 
1,The Zen offered a alternative. 
1,The Zen offered great alternative. 
1,Zen offered a great alternative. 
0,"2 . the scroll button is n't the best , as it sometimes can be hard to select . "
0,"2 . the scroll button is n't the best , as it can be hard to select . "
0,"2 . the scroll button is n't the best , as it sometimes be hard to select . "
0,"2 . the scroll button is n't the best , as it sometimes can be hard select . "
0,"2 . the scroll button is n't the best , as it sometimes can be hard to . "
1,"you can create playlists , drag & drop songs and playlists to your player , and rip directly from cd to your player . "
1,"you can create playlists , & drop and playlists to your player , and rip directly from cd to your player . "
1,"you can create playlists , drag & drop playlists to your player , and rip directly from cd to your player . "
1,"you can create playlists , drag & drop songs and playlists to your player , rip directly from cd to player . "
1,"you can create playlists , drag & drop songs and to your player , and rip from cd to your player . "
0,Now it will start smelling if you leave it with diapers in it for an extended period but all of them will!
0,Now it will smelling if you leave it diapers in it for an extended period but all of them will!
0,Now it will start smelling if you leave it with diapers in it for an but all of them will!
0,Now it will start smelling if you leave it with diapers in it for extended period but all of them!
0,Now it will start smelling you leave it with diapers in it for an extended period but all of will!
0, The customer support is very rude .
0, The customer is very rude .
0,"however , my hard drive did fail , and i have not dropped it once . "
0,", my hard drive did fail , and i have not dropped it once . "
0,"however , my hard drive did fail , and i have dropped it once . "
0,"however , my hard drive did fail , and i have not it once . "
0,"however , my hard drive fail , and i have not dropped it once . "
0, The customer support is very .
0, The customer support very rude .
0, The support is very rude .
0,"software - music match jukebox is n't the greatest , the search funtion is n't fast even when accessing it with the hotkey shortcut . "
0,"software - match jukebox is n't the greatest , the funtion is n't fast even when accessing it with the hotkey shortcut . "
0,"software - music match jukebox is n't the greatest , search funtion is n't fast even when it with the hotkey shortcut . "
1, The speaker arived in excellent condition .
1, The arived in excellent condition .
1, The speaker arived excellent condition .
1, The speaker arived in excellent .
1, The speaker in excellent condition .
0," Hooked up to the D-Link extreme N , connected speed dropped to 18mbps and wireless down to 8mbps ."
0," Hooked up to D-Link extreme N , connected speed dropped to 18mbps and wireless down to 8mbps ."
0," Hooked up to the D-Link extreme N , connected speed dropped 18mbps and wireless down to 8mbps ."
0," Hooked up to the D-Link extreme N , connected speed dropped to 18mbps wireless down to 8mbps ."
0," Hooked up to the D-Link extreme N , connected speed to 18mbps and wireless down to 8mbps ."
0,i called apex 's support number numerous times but it just kept ringing . 
0,i apex 's support number numerous times but it just kept ringing . 
0,i called 's support number numerous times but it just kept ringing . 
0,i called apex ' support number numerous times but it just kept ringing . 
0,i called apex 's support number numerous times but just kept ringing . 
1," If I were to rate these speakers on my listening needs , I would give a 2.5 stars , but I 'm giving 4 because I think they do the job that most people want them for ."
1," If I were to rate these speakers on listening needs , I would give a 2.5 stars , but I 'm giving 4 because I think they do the that people want them for ."
1," If I were to rate these speakers on my listening needs , I would give a 2. stars , but I ' giving 4 because I think they do the job that most people them for ."
1," If I were to rate these speakers on my listening needs , I would give a 2.5 stars , I 'm giving 4 because I they the job that most people want them for ."
1," If I were to rate these speakers on my listening needs , I would give a.5 stars , but I 'm giving 4 because I think they do the job that want them for ."
1,"you can do other different things with it such as choose what kind of "" now playing "" interface , you can see the interface as modern or classical . "
1,"you can different things with it such as choose what kind of "" now playing "" interface , you can see the interface as modern or classical . "
1,"you can do other different things it such as choose what of "" now playing "" interface , you can see the interface as modern or classical . "
1,"you can do other different things with it such as choose what kind "" now playing "" interface , you see the interface as modern or classical . "
1,"you can do other different things with it such as choose what kind of "" now playing "" , you can see the interface as or classical . "
0,"well , within days the video output quit working ( both rca & optic ) . "
0,"I thought given all the ""10"" reviews about this camera that I would buy it in spite of being a bit pricey. "
0,"I thought given all the """" reviews about this camera that I would buy it in spite of being a bit. "
0,"I thought given all the ""10"" reviews this camera that I would buy in spite of being a bit pricey. "
0,"I thought given the ""10"" about this camera that I would buy it in spite of being a bit pricey. "
0,"thought given all the ""10"" reviews about this that I would buy it in spite of being a bit pricey. "
0,"It barely holds anything and mine just puts a bunch of thread fuzzies all over the player, because the bag is cheap and seems to be coming apart.  "
0,"It barely anything and mine just puts a bunch of thread fuzzies all over player, because the bag is cheap and seems to be coming apart.  "
0,"After 10 years, I now downloaded McCaffee's product after calling their support....they answered quickly, and for free, and were very helpful."
0,"10 years, I now downloaded McCaffee's product after calling their support....they answered quickly, and for, and were very helpful."
0,"After 10 years, I now downloaded McCaffee's product after calling their support....they answered quickly, for, and were very helpful."
0,"After 10 years, I now downloaded McCaffee's product after calling their....they answered quickly, and for, and were very helpful."
0,"After 10 years, I now downloaded product calling their support....they answered quickly, and for free, and were very helpful."
0,"It barely holds anything and mine just puts a bunch of fuzzies all over the, because the bag is cheap and seems to be coming apart.  "
0,"It barely holds anything and mine just puts a bunch of thread fuzzies over the player, because bag is cheap and seems to be coming apart.  "
0,"It barely holds anything and mine puts a of thread fuzzies all over the player, because the bag is cheap and seems to be coming apart.  "
0,"The program brings more problems than a virus, albeit not as major problems, just not what you expect for 70 bucks."
0,"The brings more problems than a virus, not as major problems, just not what you expect for 70 bucks."
0,"The program brings more problems than a virus, albeit not as major problems, just not you expect for 70."
0,"The program brings more problems than a, albeit not as major problems, just not what you for 70 bucks."
0,"program brings more problems than a virus, albeit not as major problems, just not what you expect for bucks."
1,the phones are awesome . 
1,phones are awesome . 
0," However, the battery life isn't as good as I would like. "
0," However, the battery isn't as good as I would like. "
0," However, the battery life as good as I would like. "
0," However, the battery life isn't as good I would like. "
0," However, the battery life isn't as good as would like. "
1,the are awesome . 
1,the phones are . 
1,the phones awesome . 
0,"Unfortunately, Linksys does not write the best documentation.  "
0,"Unfortunately, Linksys does not write best documentation.  "
0,"Unfortunately, Linksys does not write the best.  "
0,"Unfortunately, Linksys does write the best documentation.  "
0,"Unfortunately, Linksys not write the best documentation.  "
0,"software - music match jukebox is n't the greatest , the is n't fast even when accessing it with the hotkey shortcut . "
0,"software - music match jukebox is n't the greatest , the search funtion is n't fast even when with the hotkey shortcut . "
0,"Also, when I dial an ""800"" number like an airline, it will not allow me to use number keys to navigatee the prerecorded menu."
0,", when I dial an ""800"" number like an airline, it will not allow me to use number keys to navigatee the menu."
0,"Also, I dial an ""800"" number like an airline, it not allow me to use number keys to navigatee the prerecorded menu."
