class,text
1,"My big Greek wedding is not only the best date film of the year, it's also a -- dare say twice -- deliciously charming -- and totally American, I could add -- slice of comedial happiness."
1,"My big Greek wedding is not only the best date film of the year, it's also a -- dare say twice -- deliciously charming -- and totally American, I could add -- slice of comedial happiness."
0,a great script brought down by lousy direction .
0,A great script brings down the wrong direction.
0,A great script brings down the wrong direction.
0,A great script brings down the wrong direction.
0,A great script brings down the wrong direction.
1,"on the granger movie gauge of 1 to 10 , the powerpuff girls is a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience ."
1,"on the movie barber gauge from 1 to 10, the powerpuff girls is a fast, frenzied, funny, even punny 6 -- specifically intended for a level school audience."
1,"on the movie barber gauge from 1 to 10, the powerpuff girls is a fast, frenzied, funny, even punny 6 -- specifically intended for a level school audience."
1,"on the movie barber gauge from 1 to 10, the powerpuff girls is a fast, frenzied, funny, even punny 6 -- specifically intended for a level school audience."
1,"on the movie barber gauge from 1 to 10, the powerpuff girls is a fast, frenzied, funny, even punny 6 -- specifically intended for a level school audience."
1,"amy and matthew have a bit of a phony relationship , but the film works in spite of it ."
1,"Amy and matthew have a little false relationship, but the film works despite it."
1,"Amy and matthew have a little false relationship, but the film works despite it."
1,"Amy and matthew have a little false relationship, but the film works despite it."
1,"Amy and matthew have a little false relationship, but the film works despite it."
1,kinnear ... gives his best screen performance with an oddly winning portrayal of one of life 's ultimate losers .
1,Kinnear... gives his best screen performance with a strangely winning image of one of the ultimate losers of life.
1,Kinnear... gives his best screen performance with a strangely winning image of one of the ultimate losers of life.
1,Kinnear... gives his best screen performance with a strangely winning image of one of the ultimate losers of life.
1,Kinnear... gives his best screen performance with a strangely winning image of one of the ultimate losers of life.
1,but mr. polanski creates images even more haunting than those in mr. spielberg 's 1993 classic .
1,But M. polanski created images that were even more haunting than those of Mr. spielberg's 1993 classic.
1,But M. polanski created images that were even more haunting than those of Mr. spielberg's 1993 classic.
1,But M. polanski created images that were even more haunting than those of Mr. spielberg's 1993 classic.
1,But M. polanski created images that were even more haunting than those of Mr. spielberg's 1993 classic.
0,daughter from danang reveals that efforts toward closure only open new wounds .
0,Danang's daughter reveals that efforts to close only open new wounds.
0,Danang's daughter reveals that efforts to close only open new wounds.
0,Danang's daughter reveals that efforts to close only open new wounds.
0,Danang's daughter reveals that efforts to close only open new wounds.
1,"this is an extraordinary film , not least because it is japanese and yet feels universal ."
1,"It is an extraordinary film, especially because it is Japanese and yet feels universal."
1,"It is an extraordinary film, especially because it is Japanese and yet feels universal."
1,"It is an extraordinary film, especially because it is Japanese and yet feels universal."
1,"It is an extraordinary film, especially because it is Japanese and yet feels universal."
0,bad movie .
0,Bad movie.
0,Bad movie.
0,Bad movie.
0,Bad movie.
0,"franco is an excellent choice for the walled-off but combustible hustler , but he does not give the transcendent performance sonny needs to overcome gaps in character development and story logic ."
0,"Franco is an excellent choice for the walled but combustible oyster, but it does not give the transcendent performance sonny needs to overcome the gaps in the development of the characters and the logic of history."
0,"Franco is an excellent choice for the walled but combustible oyster, but it does not give the transcendent performance sonny needs to overcome the gaps in the development of the characters and the logic of history."
0,"Franco is an excellent choice for the walled but combustible oyster, but it does not give the transcendent performance sonny needs to overcome the gaps in the development of the characters and the logic of history."
0,"Franco is an excellent choice for the walled but combustible oyster, but it does not give the transcendent performance sonny needs to overcome the gaps in the development of the characters and the logic of history."
0,"unfortunately , that 's precisely what arthur dong 's family fundamentals does ."
0,"Unfortunately, this is precisely what the fundamentals of Arthur Dong's family do."
