class,text
8, Shunting of pleural effusions is well tolerated and has good success rates in properly selected patients.
8,Shunting of pleural effusions is well tolerated and has good success rates in properly selected patients.
8,Shunting of pleural effusions is well tolerated and has good success rates in properly selected patients.
8,Shunting of pleural effusions is well tolerated and has good success rates in properly selected patients.
8,Shunting of pleural effusions is well tolerated and has good success rates in properly selected patients.
5,Problems encountered in leg shortening.
5,Problems encountered in shortening the legs.
5,Problems encountered in shortening the legs.
5,Problems encountered in shortening the legs.
5,Problems encountered in shortening the legs.
15,Heparin-induced thrombocytopenia: a case report.
15,Heparin-induced thrombocytopenia: a case report.
15,Heparin-induced thrombocytopenia: a case report.
15,Heparin-induced thrombocytopenia: a case report.
15,Heparin-induced thrombocytopenia: a case report.
9," Although the incidence of hypothyroidism in this group of Reinke's oedema patients is higher than expected in a normal population, it is similar to that in an age and sex matched control group, reflecting the prevalence of hypothyroidism in middle aged women."
9,"Although the incidence of hypothyroidism in this group of patients with Reinke edema is higher than expected in a normal population, it is similar to that observed in a control group of age and gender, reflecting the prevalence of hypothyroidism in middle-aged women."
9,"Although the incidence of hypothyroidism in this group of patients with Reinke edema is higher than expected in a normal population, it is similar to that observed in a control group of age and gender, reflecting the prevalence of hypothyroidism in middle-aged women."
9,"Although the incidence of hypothyroidism in this group of patients with Reinke edema is higher than expected in a normal population, it is similar to that observed in a control group of age and gender, reflecting the prevalence of hypothyroidism in middle-aged women."
9,"Although the incidence of hypothyroidism in this group of patients with Reinke edema is higher than expected in a normal population, it is similar to that observed in a control group of age and gender, reflecting the prevalence of hypothyroidism in middle-aged women."
14, OBJECTIVE--To determine the prognosis and adverse prognostic factors in patients with retinal infarction due to presumed atheromatous thromboembolism or cardiogenic embolism.
14,OBJECTIVE--Determine prognosis and adverse prognostic factors in patients with retinal infarction due to suspected aheromatous thromboembolism or cardiogenic embolism.
14,OBJECTIVE--Determine prognosis and adverse prognostic factors in patients with retinal infarction due to suspected aheromatous thromboembolism or cardiogenic embolism.
14,OBJECTIVE--Determine prognosis and adverse prognostic factors in patients with retinal infarction due to suspected aheromatous thromboembolism or cardiogenic embolism.
14,OBJECTIVE--Determine prognosis and adverse prognostic factors in patients with retinal infarction due to suspected aheromatous thromboembolism or cardiogenic embolism.
15, We conclude that levotryptophan-associated EF and localized scleroderma were present before the presumed date of contaminated levotryptophan availability.
15,We conclude that PA associated with levotryptophan and localized sclerodermia were present prior to the suspected date of availability of contaminated levotryptophan.
15,We conclude that PA associated with levotryptophan and localized sclerodermia were present prior to the suspected date of availability of contaminated levotryptophan.
15,We conclude that PA associated with levotryptophan and localized sclerodermia were present prior to the suspected date of availability of contaminated levotryptophan.
15,We conclude that PA associated with levotryptophan and localized sclerodermia were present prior to the suspected date of availability of contaminated levotryptophan.
1, Sixteen patients with coccidioidomycosis were treated with itraconazole for one year.
1,Sixteen coccidioidomycosis patients were treated with itraconazole for one year.
1,Sixteen coccidioidomycosis patients were treated with itraconazole for one year.
1,Sixteen coccidioidomycosis patients were treated with itraconazole for one year.
1,Sixteen coccidioidomycosis patients were treated with itraconazole for one year.
2,Disseminated strongyloidiasis with central nervous system involvement diagnosed antemortem in a patient with acquired immunodeficiency syndrome and Burkitts lymphoma.
2,Disseminated in case of fortyloidia with central nervous system disease diagnosed antemortem in a patient with acquired immunodeficiency syndrome and Burkitt lymphoma.
2,Disseminated in case of fortyloidia with central nervous system disease diagnosed antemortem in a patient with acquired immunodeficiency syndrome and Burkitt lymphoma.
2,Disseminated in case of fortyloidia with central nervous system disease diagnosed antemortem in a patient with acquired immunodeficiency syndrome and Burkitt lymphoma.
2,Disseminated in case of fortyloidia with central nervous system disease diagnosed antemortem in a patient with acquired immunodeficiency syndrome and Burkitt lymphoma.
14," To assess the effect of intravenous thrombolysis on the incidence of ventricular late potentials, 223 consecutive patients surviving a first AMI were included in the present study: 59 patients (53 men, 6 women, mean age +/- standard deviation 55 +/- 10 years) received intravenous recombinant tissue-type plasminogen activator (100 mg over 3 hours, group A) and 164 patients (123 men, 41 women, mean age 61 +/- 11 years) received conventional medical treatment (group B)."
14,"To assess the effect of intravenous thrombolysis on the incidence of late ventricular potentials, 223 consecutive patients surviving a first AMI were included in this study: 59 patients (53 men, 6 women, mean age +/- standard deviation 55 +/- 10 years) received a tissue-type recombinant plasminogen activator (100 mg over 3 hours, group A) and 164 patients (123 men, 41 women, mean age 61 +/- 11 years) received conventional medical treatment (group B)."
14,"To assess the effect of intravenous thrombolysis on the incidence of late ventricular potentials, 223 consecutive patients surviving a first AMI were included in this study: 59 patients (53 men, 6 women, mean age +/- standard deviation 55 +/- 10 years) received a tissue-type recombinant plasminogen activator (100 mg over 3 hours, group A) and 164 patients (123 men, 41 women, mean age 61 +/- 11 years) received conventional medical treatment (group B)."
14,"To assess the effect of intravenous thrombolysis on the incidence of late ventricular potentials, 223 consecutive patients surviving a first AMI were included in this study: 59 patients (53 men, 6 women, mean age +/- standard deviation 55 +/- 10 years) received a tissue-type recombinant plasminogen activator (100 mg over 3 hours, group A) and 164 patients (123 men, 41 women, mean age 61 +/- 11 years) received conventional medical treatment (group B)."
14,"To assess the effect of intravenous thrombolysis on the incidence of late ventricular potentials, 223 consecutive patients surviving a first AMI were included in this study: 59 patients (53 men, 6 women, mean age +/- standard deviation 55 +/- 10 years) received a tissue-type recombinant plasminogen activator (100 mg over 3 hours, group A) and 164 patients (123 men, 41 women, mean age 61 +/- 11 years) received conventional medical treatment (group B)."
16, Vaginal leakage indicating ruptured membranes occurred in 16 women.
16,Vaginal leaks indicating membrane rupture were observed in 16 women.
16,Vaginal leaks indicating membrane rupture were observed in 16 women.
16,Vaginal leaks indicating membrane rupture were observed in 16 women.
16,Vaginal leaks indicating membrane rupture were observed in 16 women.
14, A granulomatous giant cell vasculitis of the temporal artery was observed in a biopsy specimen from a patient with corresponding clinical symptoms.
14,Giant granulomatous vasculitis of the temporal artery was observed in a biopsy sample of a patient with corresponding clinical symptoms.
14,Giant granulomatous vasculitis of the temporal artery was observed in a biopsy sample of a patient with corresponding clinical symptoms.
14,Giant granulomatous vasculitis of the temporal artery was observed in a biopsy sample of a patient with corresponding clinical symptoms.
14,Giant granulomatous vasculitis of the temporal artery was observed in a biopsy sample of a patient with corresponding clinical symptoms.
20," These men were from a cohort of 6,705 homosexual and bisexual men originally recruited for studies of sexually transmitted hepatitis B in San Francisco in 1978-80."
20,"These men were from a cohort of 6,705 gay and bisexual men originally recruited for sexually transmitted hepatitis B studies in San Francisco in 1978-80."
20,"These men were from a cohort of 6,705 gay and bisexual men originally recruited for sexually transmitted hepatitis B studies in San Francisco in 1978-80."
20,"These men were from a cohort of 6,705 gay and bisexual men originally recruited for sexually transmitted hepatitis B studies in San Francisco in 1978-80."
20,"These men were from a cohort of 6,705 gay and bisexual men originally recruited for sexually transmitted hepatitis B studies in San Francisco in 1978-80."
10,Controlling stability of a complex movement system.
10,Control the stability of a complex movement system.
10,Control the stability of a complex movement system.
10,Control the stability of a complex movement system.
10,Control the stability of a complex movement system.
21,Medical and dental students' attitudes about the AIDS epidemic.
21,The attitudes of medical and dental students towards the AIDS epidemic.
21,The attitudes of medical and dental students towards the AIDS epidemic.
21,The attitudes of medical and dental students towards the AIDS epidemic.
21,The attitudes of medical and dental students towards the AIDS epidemic.
21," Reconstructed knees from six sheep of each group were evaluated at 12, 26, and 52 weeks postreconstruction with respect to clinical assessment, gross pathology, mechanical properties, and histology."
21,"The reconstructed knees of six sheep in each group were assessed at 12, 26 and 52 weeks after reconstruction in terms of clinical assessment, gross pathology, mechanical properties and histology."
21,"The reconstructed knees of six sheep in each group were assessed at 12, 26 and 52 weeks after reconstruction in terms of clinical assessment, gross pathology, mechanical properties and histology."
21,"The reconstructed knees of six sheep in each group were assessed at 12, 26 and 52 weeks after reconstruction in terms of clinical assessment, gross pathology, mechanical properties and histology."
21,"The reconstructed knees of six sheep in each group were assessed at 12, 26 and 52 weeks after reconstruction in terms of clinical assessment, gross pathology, mechanical properties and histology."
10, The most common cause of perioperative stroke is embolism.
10,The most common cause of perioperative stroke is embolism.
10,The most common cause of perioperative stroke is embolism.
10,The most common cause of perioperative stroke is embolism.
10,The most common cause of perioperative stroke is embolism.
1," In patients without concomitant HP colonization, the thickness of the mucus gel was 0.162 +/- 0.045 mm, 0.175 +/- 0.067 mm, and 0.161 +/- 0.064 mm in duodenum, antrum, and corpus, respectively."
1,"In patients without concomitant HP colonization, the thickness of mucus gel was 0.162 +/- 0.045 mm, 0.175 +/- 0.067 mm and 0.161 +/- 0.064 mm in duodenum, anterior and corpus, respectively."
1,"In patients without concomitant HP colonization, the thickness of mucus gel was 0.162 +/- 0.045 mm, 0.175 +/- 0.067 mm and 0.161 +/- 0.064 mm in duodenum, anterior and corpus, respectively."
1,"In patients without concomitant HP colonization, the thickness of mucus gel was 0.162 +/- 0.045 mm, 0.175 +/- 0.067 mm and 0.161 +/- 0.064 mm in duodenum, anterior and corpus, respectively."
1,"In patients without concomitant HP colonization, the thickness of mucus gel was 0.162 +/- 0.045 mm, 0.175 +/- 0.067 mm and 0.161 +/- 0.064 mm in duodenum, anterior and corpus, respectively."
19, Our findings suggest that the methyl group at the beta-carbon of Val281 is required for heme incorporation and consequently enzymatic activity.
19,Our results suggest that the Val281 beta-carbon methyl group is necessary for the incorporation of heme and therefore enzymatic activity.
19,Our results suggest that the Val281 beta-carbon methyl group is necessary for the incorporation of heme and therefore enzymatic activity.
19,Our results suggest that the Val281 beta-carbon methyl group is necessary for the incorporation of heme and therefore enzymatic activity.
19,Our results suggest that the Val281 beta-carbon methyl group is necessary for the incorporation of heme and therefore enzymatic activity.
3," Many bacterial, viral, and parasitic organisms cause acute infectious diarrhea; appropriate antimicrobial therapy requires the accurate, rapid identification of the offending enteropathogen."
